#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
0CO,2017-04-01 00:15,-105.7639,39.7939,14.00,5.00,66.82,110.00,33.00,0.00,29.90,M,M,42.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010015Z AUTO 11033G42KT OVC001 M10/M15 A2990 RMK AO2 LTG DSNT SW PWINO
0CO,2017-04-01 00:35,-105.7639,39.7939,14.00,5.00,66.82,110.00,39.00,0.00,29.89,M,M,45.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010035Z AUTO 11039G45KT OVC001 M10/M15 A2989 RMK AO2 PWINO
0CO,2017-04-01 00:55,-105.7639,39.7939,14.00,5.00,66.82,110.00,35.00,0.00,29.91,M,M,41.00,OVC,M,M,M,100.00,M,M,M,VCTS,K0CO 010055Z AUTO 11035G41KT VCTS OVC001 M10/M15 A2991 RMK AO2 LTG DSNT SW
0CO,2017-04-01 01:15,-105.7639,39.7939,14.00,5.00,66.82,M,M,0.00,29.91,M,M,M,OVC,M,M,M,100.00,M,M,M,M,K0CO 010115Z AUTO OVC001 M10/M15 A2991 RMK AO2 PWINO
0CO,2017-04-01 01:35,-105.7639,39.7939,14.00,3.20,61.51,110.00,31.00,0.00,29.92,M,M,M,OVC,M,M,M,100.00,M,M,M,M,K0CO 010135Z AUTO 11031KT OVC001 M10/M16 A2992 RMK AO2 PWINO
0CO,2017-04-01 01:55,-105.7639,39.7939,14.00,3.20,61.51,110.00,34.00,0.00,29.92,M,M,39.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010155Z AUTO 11034G39KT OVC001 M10/M16 A2992 RMK AO2 PWINO
0CO,2017-04-01 02:15,-105.7639,39.7939,14.00,3.20,61.51,110.00,28.00,0.00,29.93,M,M,36.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010215Z AUTO 11028G36KT OVC001 M10/M16 A2993 RMK AO2 PWINO
0CO,2017-04-01 02:35,-105.7639,39.7939,14.00,3.20,61.51,M,M,0.00,29.95,M,M,M,OVC,M,M,M,100.00,M,M,M,M,K0CO 010235Z AUTO OVC001 M10/M16 A2995 RMK AO2 LTG DSNT S PWINO
0CO,2017-04-01 02:55,-105.7639,39.7939,14.00,3.20,61.51,110.00,26.00,0.00,29.95,M,M,M,OVC,M,M,M,100.00,M,M,M,M,K0CO 010255Z AUTO 11026KT OVC001 M10/M16 A2995 RMK AO2 PWINO
0CO,2017-04-01 03:15,-105.7639,39.7939,14.00,3.20,61.51,110.00,28.00,0.00,29.96,M,M,34.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010315Z AUTO 11028G34KT OVC001 M10/M16 A2996 RMK AO2 PWINO
0CO,2017-04-01 03:33,-105.7639,39.7939,14.00,3.20,61.51,110.00,29.00,0.00,29.97,M,M,33.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010333Z AUTO 11029G33KT OVC001 M10/M16 A2997 RMK AO2 PWINO
0CO,2017-04-01 03:51,-105.7639,39.7939,14.00,3.20,61.51,110.00,26.00,0.00,29.97,M,M,M,OVC,M,M,M,100.00,M,M,M,M,K0CO 010351Z AUTO 11026KT OVC001 M10/M16 A2997 RMK AO2 PWINO
0CO,2017-04-01 04:15,-105.7639,39.7939,14.00,3.20,61.51,110.00,30.00,0.00,29.97,M,M,33.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010415Z AUTO 11030G33KT OVC001 M10/M16 A2997 RMK AO2 PWINO
0CO,2017-04-01 04:35,-105.7639,39.7939,12.20,3.20,66.58,110.00,28.00,0.00,29.97,M,M,32.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010435Z AUTO 11028G32KT OVC001 M11/M16 A2997 RMK AO2 PWINO
0CO,2017-04-01 04:55,-105.7639,39.7939,12.20,3.20,66.58,100.00,22.00,0.00,30.00,M,M,37.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010455Z AUTO 10022G37KT OVC001 M11/M16 A3000 RMK AO2 PWINO
0CO,2017-04-01 05:15,-105.7639,39.7939,12.20,1.40,61.25,110.00,26.00,0.00,30.00,M,M,30.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010515Z AUTO 11026G30KT OVC001 M11/M17 A3000 RMK AO2 PWINO
0CO,2017-04-01 05:35,-105.7639,39.7939,12.20,1.40,61.25,110.00,26.00,0.00,30.00,M,M,31.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010535Z AUTO 11026G31KT OVC001 M11/M17 A3000 RMK AO2 PWINO
0CO,2017-04-01 05:55,-105.7639,39.7939,12.20,1.40,61.25,110.00,29.00,0.00,30.00,M,M,38.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010555Z AUTO 11029G38KT OVC001 M11/M17 A3000 RMK AO2 PWINO
0CO,2017-04-01 06:15,-105.7639,39.7939,12.20,1.40,61.25,110.00,29.00,0.00,29.99,M,M,39.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010615Z AUTO 11029G39KT OVC001 M11/M17 A2999 RMK AO2 PWINO
0CO,2017-04-01 06:35,-105.7639,39.7939,12.20,1.40,61.25,110.00,32.00,0.00,30.01,M,M,35.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010635Z AUTO 11032G35KT OVC001 M11/M17 A3001 RMK AO2 LTG DSNT SE PWINO
0CO,2017-04-01 06:55,-105.7639,39.7939,10.40,1.40,66.35,110.00,28.00,0.00,30.01,M,M,35.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010655Z AUTO 11028G35KT OVC001 M12/M17 A3001 RMK AO2 LTG DSNT SE PWINO
0CO,2017-04-01 07:15,-105.7639,39.7939,10.40,-0.40,60.99,120.00,23.00,0.00,30.01,M,M,29.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010715Z AUTO 12023G29KT OVC001 M12/M18 A3001 RMK AO2 PWINO
0CO,2017-04-01 07:35,-105.7639,39.7939,10.40,-0.40,60.99,120.00,23.00,0.00,30.02,M,M,27.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010735Z AUTO 12023G27KT OVC001 M12/M18 A3002 RMK AO2 PWINO
0CO,2017-04-01 07:55,-105.7639,39.7939,10.40,-0.40,60.99,110.00,22.00,0.00,30.02,M,M,30.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010755Z AUTO 11022G30KT OVC001 M12/M18 A3002 RMK AO2 PWINO
0CO,2017-04-01 08:15,-105.7639,39.7939,10.40,-0.40,60.99,110.00,22.00,0.00,30.02,M,M,27.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010815Z AUTO 11022G27KT OVC001 M12/M18 A3002 RMK AO2 PWINO
0CO,2017-04-01 08:35,-105.7639,39.7939,10.40,1.40,66.35,110.00,23.00,0.00,30.03,M,M,M,OVC,M,M,M,100.00,M,M,M,M,K0CO 010835Z AUTO 11023KT OVC001 M12/M17 A3003 RMK AO2 LTG DSNT E PWINO
0CO,2017-04-01 08:55,-105.7639,39.7939,10.40,1.40,66.35,110.00,19.00,0.00,30.03,M,M,M,BKN,OVC,M,M,100.00,500.00,M,M,M,K0CO 010855Z AUTO 11019KT BKN001 OVC005 M12/M17 A3003 RMK AO2 LTG DSNT SE PWINO
0CO,2017-04-01 09:14,-105.7639,39.7939,12.20,1.40,61.25,110.00,21.00,0.00,30.03,M,M,26.00,OVC,M,M,M,300.00,M,M,M,M,K0CO 010914Z AUTO 11021G26KT OVC003 M11/M17 A3003 RMK AO2 PWINO
0CO,2017-04-01 09:35,-105.7639,39.7939,12.20,1.40,61.25,110.00,22.00,0.00,30.03,M,M,27.00,OVC,M,M,M,300.00,M,M,M,M,K0CO 010935Z AUTO 11022G27KT OVC003 M11/M17 A3003 RMK AO2 PWINO
0CO,2017-04-01 09:55,-105.7639,39.7939,12.20,1.40,61.25,110.00,23.00,0.00,30.03,M,M,29.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 010955Z AUTO 11023G29KT OVC001 M11/M17 A3003 RMK AO2 PWINO
0CO,2017-04-01 10:15,-105.7639,39.7939,12.20,3.20,66.58,120.00,18.00,0.00,30.03,M,M,25.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 011015Z AUTO 12018G25KT OVC001 M11/M16 A3003 RMK AO2 PWINO
0CO,2017-04-01 10:35,-105.7639,39.7939,12.20,3.20,66.58,120.00,18.00,0.00,30.05,M,M,29.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 011035Z AUTO 12018G29KT OVC001 M11/M16 A3005 RMK AO2 PWINO
0CO,2017-04-01 10:55,-105.7639,39.7939,12.20,3.20,66.58,130.00,25.00,0.00,30.06,M,M,29.00,OVC,M,M,M,100.00,M,M,M,M,K0CO 011055Z AUTO 13025G29KT OVC001 M11/M16 A3006 RMK AO2 PWINO
0CO,2017-04-01 11:15,-105.7639,39.7939,12.20,1.40,61.25,120.00,21.00,0.00,30.06,M,M,M,OVC,M,M,M,100.00,M,M,M,M,K0CO 011115Z AUTO 12021KT OVC001 M11/M17 A3006 RMK AO2 PWINO
