#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
0R0,2017-04-01 00:15,-89.8128,31.2970,69.80,-38.20,0.85,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010015Z AUTO 00000KT 10SM CLR 21/M39 A2990 RMK AO2
0R0,2017-04-01 00:35,-89.8128,31.2970,68.00,M,M,0.00,0.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010035Z AUTO 00000KT 10SM CLR 20/ A2991 RMK AO2
0R0,2017-04-01 00:55,-89.8128,31.2970,64.40,M,M,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010055Z AUTO 00000KT 10SM CLR 18/ A2992 RMK AO2
0R0,2017-04-01 01:15,-89.8128,31.2970,64.40,M,M,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010115Z AUTO 00000KT 10SM CLR 18/ A2993 RMK AO2
0R0,2017-04-01 01:35,-89.8128,31.2970,62.60,M,M,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010135Z AUTO 00000KT 10SM CLR 17/ A2993 RMK AO2
0R0,2017-04-01 01:55,-89.8128,31.2970,60.80,M,M,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010155Z AUTO 00000KT 10SM CLR 16/ A2994 RMK AO2
0R0,2017-04-01 02:15,-89.8128,31.2970,60.80,M,M,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010215Z AUTO 00000KT 10SM CLR 16/ A2994 RMK AO2
0R0,2017-04-01 02:35,-89.8128,31.2970,60.80,M,M,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010235Z AUTO 00000KT 10SM CLR 16/ A2995 RMK AO2
0R0,2017-04-01 02:55,-89.8128,31.2970,59.00,M,M,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010255Z AUTO 00000KT 10SM CLR 15/ A2996 RMK AO2
0R0,2017-04-01 03:15,-89.8128,31.2970,59.00,M,M,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K0R0 010315Z AUTO 00000KT 10SM CLR 15/ A2996 RMK AO2
