#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
12N,2017-04-01 00:54,-74.7367,41.0089,37.00,34.00,88.78,M,3.00,0.02,29.75,1008.20,M,M,M,M,M,M,M,M,M,M,M,K12N 010054Z AUTO VRB03KT 03/01 A2975 RMK AO1 SLP082 P0002 T00280011
12N,2017-04-01 01:54,-74.7367,41.0089,37.00,34.00,88.78,M,4.00,0.04,29.75,1008.10,M,M,M,M,M,M,M,M,M,M,M,K12N 010154Z AUTO VRB04KT 03/01 A2975 RMK AO1 SLP081 P0004 T00280011
12N,2017-04-01 02:54,-74.7367,41.0089,37.00,34.00,88.78,M,6.00,0.09,29.72,1007.10,M,M,M,M,M,M,M,M,M,M,M,K12N 010254Z AUTO VRB06KT 03/01 A2972 RMK AO1 SLP071 P0009 60015 T00280011 58008
12N,2017-04-01 03:54,-74.7367,41.0089,37.00,34.00,88.78,40.00,7.00,0.00,29.71,1006.80,M,M,M,M,M,M,M,M,M,M,M,K12N 010354Z AUTO 04007KT 360V070 03/01 A2971 RMK AO1 SLP068 T00280011
12N,2017-04-01 04:54,-74.7367,41.0089,37.00,34.00,88.78,40.00,7.00,0.00,29.69,1006.30,M,M,M,M,M,M,M,M,M,M,M,K12N 010454Z AUTO 04007KT 010V080 03/01 A2969 RMK AO1 SLP063 T00280011 400390022
12N,2017-04-01 05:54,-74.7367,41.0089,36.00,34.00,92.35,M,4.00,0.00,29.69,1006.00,M,M,M,M,M,M,M,M,M,M,M,K12N 010554Z AUTO VRB04KT 02/01 A2969 RMK AO1 SLP060 60015 T00220011 10033 20022 56011
12N,2017-04-01 06:54,-74.7367,41.0089,34.00,33.10,96.46,M,5.00,0.01,29.69,1006.30,M,M,M,M,M,M,M,M,M,M,M,K12N 010654Z AUTO VRB05KT 01/01 A2969 RMK AO1 SLP063 P0001 T00110006
12N,2017-04-01 07:54,-74.7367,41.0089,34.00,33.10,96.46,M,5.00,0.00,29.69,1006.10,M,M,M,M,M,M,M,M,M,M,M,K12N 010754Z AUTO VRB05KT 01/01 A2969 RMK AO1 SLP061 T00110006
12N,2017-04-01 08:54,-74.7367,41.0089,34.00,32.00,92.29,20.00,6.00,0.00,29.71,1006.90,M,M,M,M,M,M,M,M,M,M,M,K12N 010854Z AUTO 02006KT 01/00 A2971 RMK AO1 SLP069 60001 T00110000 53007
12N,2017-04-01 09:54,-74.7367,41.0089,34.00,33.10,96.46,M,5.00,0.01,29.73,1007.80,M,M,M,M,M,M,M,M,M,M,M,K12N 010954Z AUTO VRB05KT 01/01 A2973 RMK AO1 SLP078 P0001 T00110006
12N,2017-04-01 10:54,-74.7367,41.0089,35.10,33.10,92.32,360.00,7.00,0.01,29.76,1008.70,M,M,M,M,M,M,M,M,M,M,M,K12N 011054Z AUTO 36007KT 02/01 A2976 RMK AO1 SLP087 P0001 T00170006
12N,2017-04-01 11:54,-74.7367,41.0089,36.00,33.10,89.09,M,4.00,0.00,29.78,1009.30,M,M,M,M,M,M,M,M,M,M,M,K12N 011154Z AUTO VRB04KT 02/01 A2978 RMK AO1 SLP093 60003 70092 T00220006 10022 20011 51024
12N,2017-04-01 12:54,-74.7367,41.0089,37.00,34.00,88.78,M,6.00,0.00,29.80,1010.00,M,M,M,M,M,M,M,M,M,M,M,K12N 011254Z AUTO VRB06KT 03/01 A2980 RMK AO1 SLP100 T00280011
12N,2017-04-01 13:54,-74.7367,41.0089,39.90,34.00,79.25,360.00,6.00,0.00,29.82,1010.30,M,M,M,M,M,M,M,M,M,M,M,K12N 011354Z AUTO 36006KT 04/01 A2982 RMK AO1 SLP103 T00440011
12N,2017-04-01 14:54,-74.7367,41.0089,42.10,34.00,72.78,360.00,9.00,0.00,29.83,1010.90,M,18.00,M,M,M,M,M,M,M,M,M,K12N 011454Z AUTO 36009G18KT 340V040 06/01 A2983 RMK AO1 SLP109 T00560011 51017
