#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
1V4,2017-04-01 00:54,-72.0200,44.4200,32.00,32.00,100.00,M,M,0.05,30.00,1016.90,M,M,M,M,M,M,M,M,M,M,M,K1V4 010054Z AUTO 00/00 A3000 RMK AO1 SLP169 P0005 T00000000
1V4,2017-04-01 01:54,-72.0200,44.4200,30.90,30.90,100.00,M,M,0.06,29.99,1016.50,M,M,M,M,M,M,M,M,M,M,M,K1V4 010154Z AUTO M01/M01 A2999 RMK AO1 SLP165 P0006 T10061006
1V4,2017-04-01 02:54,-72.0200,44.4200,32.00,30.90,95.65,M,M,0.07,29.96,1015.60,M,M,M,M,M,M,M,M,M,M,M,K1V4 010254Z AUTO 00/M01 A2996 RMK AO1 SLP156 P0007 60018 T00001006 58012
1V4,2017-04-01 03:54,-72.0200,44.4200,30.90,30.90,100.00,M,M,0.06,29.94,1015.00,M,M,M,M,M,M,M,M,M,M,M,K1V4 010354Z AUTO M01/M01 A2994 RMK AO1 SLP150 P0006 T10061006
1V4,2017-04-01 04:54,-72.0200,44.4200,30.90,30.90,100.00,M,M,0.06,29.93,1014.40,M,M,M,M,M,M,M,M,M,M,M,K1V4 010454Z AUTO M01/M01 A2993 RMK AO1 SLP144 P0006 T10061006 400391017
1V4,2017-04-01 05:54,-72.0200,44.4200,30.90,30.90,100.00,M,M,0.05,29.92,1013.90,M,M,M,M,M,M,M,M,M,M,M,K1V4 010554Z AUTO M01/M01 A2992 RMK AO1 SLP139 P0005 60035 T10061006 10000 21006 56016
1V4,2017-04-01 06:54,-72.0200,44.4200,30.90,30.90,100.00,M,M,0.06,29.90,1013.40,M,M,M,M,M,M,M,M,M,M,M,K1V4 010654Z AUTO M01/M01 A2990 RMK AO1 SLP134 P0006 T10061006
1V4,2017-04-01 07:54,-72.0200,44.4200,32.00,32.00,100.00,M,M,0.06,29.89,1013.00,M,M,M,M,M,M,M,M,M,M,M,K1V4 010754Z AUTO 00/00 A2989 RMK AO1 SLP130 P0006 T00000000
1V4,2017-04-01 08:54,-72.0200,44.4200,32.00,32.00,100.00,M,M,0.04,29.88,1012.90,M,M,M,M,M,M,M,M,M,M,M,K1V4 010854Z AUTO 00/00 A2988 RMK AO1 SLP129 P0004 60016 T00000000 56011
1V4,2017-04-01 09:54,-72.0200,44.4200,32.00,32.00,100.00,M,M,0.00,29.89,1013.20,M,M,M,M,M,M,M,M,M,M,M,K1V4 010954Z AUTO 00/00 A2989 RMK AO1 SLP132 T00000000
1V4,2017-04-01 10:54,-72.0200,44.4200,32.00,32.00,100.00,M,M,0.03,29.91,1013.70,M,M,M,M,M,M,M,M,M,M,M,K1V4 011054Z AUTO 00/00 A2991 RMK AO1 SLP137 P0003 T00000000
1V4,2017-04-01 11:54,-72.0200,44.4200,32.00,30.90,95.65,M,M,0.02,29.92,1014.40,M,M,M,M,M,M,M,M,M,M,M,K1V4 011154Z AUTO 00/M01 A2992 RMK AO1 SLP144 P0002 60021 70069 T00001006 10006 21006 53014
