#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
20U,2017-04-01 00:15,-103.9821,46.9252,44.60,44.60,100.00,30.00,7.00,0.00,30.15,M,10.00,M,FEW,OVC,M,M,4400.00,5000.00,M,M,M,K20U 010015Z AUTO 03007KT 10SM FEW044 OVC050 07/07 A3015 RMK AO2
20U,2017-04-01 00:35,-103.9821,46.9252,44.60,44.60,100.00,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,4800.00,M,M,M,M,K20U 010035Z AUTO 00000KT 10SM OVC048 07/07 A3015 RMK AO2
20U,2017-04-01 00:55,-103.9821,46.9252,44.60,44.60,100.00,360.00,5.00,0.00,30.15,M,10.00,M,SCT,BKN,OVC,M,1000.00,4700.00,5500.00,M,M,K20U 010055Z AUTO 36005KT 10SM SCT010 BKN047 OVC055 07/07 A3015 RMK AO2
20U,2017-04-01 01:15,-103.9821,46.9252,44.60,44.60,100.00,360.00,9.00,0.00,30.16,M,10.00,M,FEW,OVC,M,M,400.00,1000.00,M,M,M,K20U 010115Z AUTO 36009KT 10SM FEW004 OVC010 07/07 A3016 RMK AO2
20U,2017-04-01 01:35,-103.9821,46.9252,42.80,42.80,100.00,20.00,5.00,0.00,30.16,M,8.00,M,BKN,OVC,M,M,400.00,1000.00,M,M,M,K20U 010135Z AUTO 02005KT 8SM BKN004 OVC010 06/06 A3016 RMK AO2
20U,2017-04-01 01:55,-103.9821,46.9252,42.80,42.80,100.00,10.00,6.00,0.00,30.16,M,8.00,M,OVC,M,M,M,300.00,M,M,M,M,K20U 010155Z AUTO 01006KT 8SM OVC003 06/06 A3016 RMK AO2
20U,2017-04-01 02:15,-103.9821,46.9252,42.80,42.80,100.00,20.00,5.00,0.00,30.17,M,6.00,M,OVC,M,M,M,300.00,M,M,M,BR,K20U 010215Z AUTO 02005KT 6SM BR OVC003 06/06 A3017 RMK AO2
20U,2017-04-01 02:35,-103.9821,46.9252,42.80,42.80,100.00,20.00,6.00,0.00,30.18,M,10.00,M,BKN,OVC,M,M,500.00,900.00,M,M,M,K20U 010235Z AUTO 02006KT 10SM BKN005 OVC009 06/06 A3018 RMK AO2
20U,2017-04-01 02:55,-103.9821,46.9252,42.80,42.80,100.00,360.00,6.00,0.00,30.19,M,9.00,M,SCT,OVC,M,M,500.00,1100.00,M,M,M,K20U 010255Z AUTO 36006KT 9SM SCT005 OVC011 06/06 A3019 RMK AO2
20U,2017-04-01 03:15,-103.9821,46.9252,42.80,42.80,100.00,20.00,5.00,0.00,30.19,M,10.00,M,BKN,OVC,M,M,500.00,1300.00,M,M,M,K20U 010315Z AUTO 02005KT 10SM BKN005 OVC013 06/06 A3019 RMK AO2
20U,2017-04-01 03:35,-103.9821,46.9252,42.80,42.80,100.00,30.00,5.00,0.00,30.20,M,6.00,M,OVC,M,M,M,400.00,M,M,M,BR,K20U 010335Z AUTO 03005KT 6SM BR OVC004 06/06 A3020 RMK AO2
20U,2017-04-01 03:55,-103.9821,46.9252,42.80,42.80,100.00,20.00,5.00,0.00,30.20,M,7.00,M,BKN,BKN,OVC,M,400.00,1700.00,3000.00,M,M,K20U 010355Z AUTO 02005KT 7SM BKN004 BKN017 OVC030 06/06 A3020 RMK AO2
20U,2017-04-01 04:15,-103.9821,46.9252,42.80,42.80,100.00,40.00,5.00,0.00,30.21,M,6.00,M,OVC,M,M,M,400.00,M,M,M,BR,K20U 010415Z AUTO 04005KT 6SM BR OVC004 06/06 A3021 RMK AO2
20U,2017-04-01 04:35,-103.9821,46.9252,42.80,42.80,100.00,30.00,4.00,0.00,30.20,M,5.00,M,BKN,OVC,M,M,400.00,1100.00,M,M,BR,K20U 010435Z AUTO 03004KT 5SM BR BKN004 OVC011 06/06 A3020 RMK AO2
20U,2017-04-01 04:55,-103.9821,46.9252,42.80,42.80,100.00,30.00,5.00,0.00,30.21,M,7.00,M,BKN,OVC,M,M,500.00,1100.00,M,M,M,K20U 010455Z AUTO 03005KT 7SM BKN005 OVC011 06/06 A3021 RMK AO2
20U,2017-04-01 05:15,-103.9821,46.9252,42.80,42.80,100.00,10.00,6.00,0.00,30.21,M,0.50,M,OVC,M,M,M,300.00,M,M,M,FG,K20U 010515Z AUTO 01006KT 1/2SM FG OVC003 06/06 A3021 RMK AO2
20U,2017-04-01 05:35,-103.9821,46.9252,42.80,42.80,100.00,10.00,6.00,0.00,30.22,M,0.50,M,OVC,M,M,M,200.00,M,M,M,FG,K20U 010535Z AUTO 01006KT 1/2SM FG OVC002 06/06 A3022 RMK AO2
20U,2017-04-01 05:55,-103.9821,46.9252,42.80,42.80,100.00,20.00,6.00,0.00,30.22,M,0.50,M,OVC,M,M,M,200.00,M,M,M,FG,K20U 010555Z AUTO 02006KT 1/2SM FG OVC002 06/06 A3022 RMK AO2
20U,2017-04-01 06:15,-103.9821,46.9252,41.00,41.00,100.00,50.00,5.00,0.00,30.22,M,2.00,M,OVC,M,M,M,300.00,M,M,M,BR,K20U 010615Z AUTO 05005KT 2SM BR OVC003 05/05 A3022 RMK AO2
20U,2017-04-01 06:35,-103.9821,46.9252,41.00,41.00,100.00,60.00,6.00,0.00,30.21,M,0.25,M,OVC,M,M,M,200.00,M,M,M,FG,K20U 010635Z AUTO 06006KT 1/4SM FG OVC002 05/05 A3021 RMK AO2
20U,2017-04-01 06:55,-103.9821,46.9252,41.00,41.00,100.00,60.00,4.00,0.00,30.22,M,0.25,M,OVC,M,M,M,200.00,M,M,M,FG,K20U 010655Z AUTO 06004KT 1/4SM FG OVC002 05/05 A3022 RMK AO2
20U,2017-04-01 07:15,-103.9821,46.9252,41.00,41.00,100.00,80.00,4.00,0.00,30.21,M,1.50,M,OVC,M,M,M,300.00,M,M,M,BR,K20U 010715Z AUTO 08004KT 1 1/2SM BR OVC003 05/05 A3021 RMK AO2
