#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
2C8,2017-04-01 00:15,-97.6320,48.7837,41.00,39.20,93.24,330.00,14.00,0.00,30.14,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,K2C8 010015Z AUTO 33014KT 10SM OVC007 05/04 A3014 RMK AO2
2C8,2017-04-01 00:35,-97.6320,48.7837,41.00,39.20,93.24,340.00,14.00,0.00,30.15,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,K2C8 010035Z AUTO 34014KT 10SM OVC007 05/04 A3015 RMK AO2
2C8,2017-04-01 00:55,-97.6320,48.7837,41.00,39.20,93.24,340.00,12.00,0.00,30.15,M,10.00,M,SCT,OVC,M,M,700.00,1300.00,M,M,M,K2C8 010055Z AUTO 34012KT 10SM SCT007 OVC013 05/04 A3015 RMK AO2
2C8,2017-04-01 01:15,-97.6320,48.7837,41.00,39.20,93.24,340.00,11.00,0.00,30.15,M,10.00,16.00,FEW,OVC,M,M,800.00,1200.00,M,M,M,K2C8 010115Z AUTO 34011G16KT 10SM FEW008 OVC012 05/04 A3015 RMK AO2
2C8,2017-04-01 01:35,-97.6320,48.7837,39.20,39.20,100.00,340.00,12.00,0.00,30.16,M,10.00,M,BKN,OVC,M,M,700.00,1300.00,M,M,M,K2C8 010135Z AUTO 34012KT 10SM BKN007 OVC013 04/04 A3016 RMK AO2
2C8,2017-04-01 01:55,-97.6320,48.7837,39.20,39.20,100.00,330.00,12.00,0.00,30.17,M,10.00,M,FEW,OVC,M,M,800.00,1300.00,M,M,M,K2C8 010155Z AUTO 33012KT 10SM FEW008 OVC013 04/04 A3017 RMK AO2
2C8,2017-04-01 02:15,-97.6320,48.7837,39.20,39.20,100.00,340.00,8.00,0.00,30.17,M,10.00,M,M,M,M,M,M,M,M,M,M,K2C8 010215Z AUTO 34008KT 10SM 04/04 A3017 RMK AO2
2C8,2017-04-01 02:35,-97.6320,48.7837,39.20,39.20,100.00,340.00,11.00,0.00,30.18,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,K2C8 010235Z AUTO 34011KT 10SM OVC016 04/04 A3018 RMK AO2
2C8,2017-04-01 02:55,-97.6320,48.7837,39.20,37.40,93.19,340.00,10.00,0.00,30.18,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,K2C8 010255Z AUTO 34010KT 10SM OVC015 04/03 A3018 RMK AO2
2C8,2017-04-01 03:15,-97.6320,48.7837,39.20,37.40,93.19,330.00,10.00,0.00,30.19,M,10.00,M,SCT,OVC,M,M,600.00,1600.00,M,M,M,K2C8 010315Z AUTO 33010KT 10SM SCT006 OVC016 04/03 A3019 RMK AO2
2C8,2017-04-01 03:35,-97.6320,48.7837,39.20,37.40,93.19,330.00,9.00,0.00,30.19,M,10.00,M,FEW,OVC,M,M,600.00,1700.00,M,M,M,K2C8 010335Z AUTO 33009KT 10SM FEW006 OVC017 04/03 A3019 RMK AO2
