#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
40B,2017-04-01 00:16,-69.5310,46.6090,28.40,22.10,76.95,0.00,0.00,0.00,30.07,1020.00,M,M,M,M,M,M,M,M,M,M,M,K40B 010016Z AUTO 00000KT M02/M05 A3007 RMK AO1 SLP200 T10201055 10066 21019 53003
40B,2017-04-01 01:16,-69.5310,46.6090,28.00,23.20,81.93,0.00,0.00,0.00,30.07,1020.00,M,M,M,M,M,M,M,M,M,M,M,K40B 010116Z AUTO 00000KT M02/M05 A3007 RMK AO1 SLP200 T10221049 52006
40B,2017-04-01 02:16,-69.5310,46.6090,28.60,22.50,77.62,0.00,0.00,0.00,30.05,1019.40,M,M,M,M,M,M,M,M,M,M,M,K40B 010216Z AUTO 00000KT M02/M05 A3005 RMK AO1 SLP194 T10191053 50000 P0000
40B,2017-04-01 03:16,-69.5310,46.6090,27.10,22.60,82.90,0.00,0.00,0.00,30.06,1019.50,M,M,M,M,M,M,M,M,M,M,M,K40B 010316Z AUTO 00000KT M03/M05 A3006 RMK AO1 SLP195 T10271052 58004 60000
40B,2017-04-01 04:16,-69.5310,46.6090,27.50,22.60,81.55,0.00,0.00,0.00,30.05,1019.20,M,M,M,M,M,M,M,M,M,M,M,K40B 010416Z AUTO 00000KT M02/M05 A3005 RMK AO1 SLP192 T10251052 56008
40B,2017-04-01 05:16,-69.5310,46.6090,26.40,22.30,84.26,0.00,0.00,0.00,30.04,1019.20,M,M,M,M,M,M,M,M,M,M,M,K40B 010516Z AUTO 00000KT M03/M05 A3004 RMK AO1 SLP192 T10311054 400661182 57004
40B,2017-04-01 06:17,-69.5310,46.6090,27.30,22.50,81.88,0.00,0.00,0.00,30.03,1018.90,M,M,M,M,M,M,M,M,M,M,M,K40B 010617Z AUTO 00000KT M03/M05 A3003 RMK AO1 SLP189 T10261053 11017 21031 57008 60000
40B,2017-04-01 07:16,-69.5310,46.6090,27.00,22.10,81.51,0.00,0.00,0.00,30.03,1018.80,M,M,M,M,M,M,M,M,M,M,M,K40B 010716Z AUTO 00000KT M03/M06 A3003 RMK AO1 SLP188 T10281055 57006
40B,2017-04-01 08:16,-69.5310,46.6090,27.10,21.70,79.81,0.00,0.00,0.00,30.02,1018.80,M,M,M,M,M,M,M,M,M,M,M,K40B 010816Z AUTO 00000KT M03/M06 A3002 RMK AO1 SLP188 T10271057 57007
40B,2017-04-01 09:16,-69.5310,46.6090,27.90,21.70,77.23,M,3.00,0.00,30.03,1019.10,M,M,M,M,M,M,M,M,M,M,M,K40B 010916Z AUTO VRB03KT M02/M06 A3003 RMK AO1 SLP191 T10231057 54001
40B,2017-04-01 10:16,-69.5310,46.6090,30.60,20.50,65.74,M,3.00,0.00,30.04,1019.40,M,M,M,M,M,M,M,M,M,M,M,K40B 011016Z AUTO VRB03KT M01/M06 A3004 RMK AO1 SLP194 T10081064 52003
40B,2017-04-01 11:16,-69.5310,46.6090,30.90,21.20,66.90,M,5.00,0.00,30.05,1019.90,M,M,M,M,M,M,M,M,M,M,M,K40B 011116Z AUTO VRB05KT M01/M06 A3005 RMK AO1 SLP199 T10061060 52009
40B,2017-04-01 12:17,-69.5310,46.6090,31.30,22.60,69.84,M,6.00,0.00,30.06,1020.20,M,M,M,M,M,M,M,M,M,M,M,K40B 011217Z AUTO VRB06KT 00/M05 A3006 RMK AO1 SLP202 T10041052 11003 21030 52010 70000
40B,2017-04-01 13:16,-69.5310,46.6090,32.20,18.30,56.09,M,4.00,0.00,30.05,1020.10,M,M,M,M,M,M,M,M,M,M,M,K40B 011316Z AUTO VRB04KT 00/M08 A3005 RMK AO1 SLP201 T00011076 51006
40B,2017-04-01 14:16,-69.5310,46.6090,33.30,11.80,40.42,100.00,7.00,0.00,30.05,1019.70,M,M,M,M,M,M,M,M,M,M,M,K40B 011416Z AUTO 10007KT 01/M11 A3005 RMK AO1 SLP197 T00071112 50001
40B,2017-04-01 15:16,-69.5310,46.6090,34.30,9.90,35.68,M,5.00,0.00,30.04,1019.40,M,M,M,M,M,M,M,M,M,M,M,K40B 011516Z AUTO VRB05KT 01/M12 A3004 RMK AO1 SLP194 T00131123 57007
40B,2017-04-01 16:16,-69.5310,46.6090,34.20,9.00,34.41,70.00,7.00,0.00,30.02,1018.80,M,M,M,M,M,M,M,M,M,M,M,K40B 011616Z AUTO 07007KT 030V110 01/M13 A3002 RMK AO1 SLP188 T00121128 57011
40B,2017-04-01 17:16,-69.5310,46.6090,36.00,12.00,36.62,0.00,0.00,0.00,30.02,1018.50,M,M,M,M,M,M,M,M,M,M,M,K40B 011716Z AUTO 00000KT 02/M11 A3002 RMK AO1 SLP185 T00221111 57010
40B,2017-04-01 18:17,-69.5310,46.6090,36.10,11.10,35.05,M,5.00,0.00,30.01,1018.10,M,M,M,M,M,M,M,M,M,M,M,K40B 011817Z AUTO VRB05KT 02/M12 A3001 RMK AO1 SLP181 T00231116 10027 21004 57011
40B,2017-04-01 19:16,-69.5310,46.6090,37.00,11.10,33.82,M,3.00,0.00,29.99,1017.60,M,M,M,M,M,M,M,M,M,M,M,K40B 011916Z AUTO VRB03KT 03/M12 A2999 RMK AO1 SLP176 T00281116 57011
40B,2017-04-01 20:16,-69.5310,46.6090,36.10,12.90,37.95,M,5.00,0.00,29.98,1017.10,M,13.00,M,M,M,M,M,M,M,M,M,K40B 012016Z AUTO VRB05G13KT 02/M11 A2998 RMK AO1 SLP171 T00231106 57012
40B,2017-04-01 21:16,-69.5310,46.6090,37.00,10.80,33.37,M,2.00,0.00,29.98,1017.10,M,M,M,M,M,M,M,M,M,M,M,K40B 012116Z AUTO VRB02KT 03/M12 A2998 RMK AO1 SLP171 T00281118 55008
40B,2017-04-01 22:16,-69.5310,46.6090,35.40,12.70,38.68,M,5.00,0.00,29.99,1017.30,M,M,M,M,M,M,M,M,M,M,M,K40B 012216Z AUTO VRB05KT 02/M11 A2999 RMK AO1 SLP173 T00191107 55001
40B,2017-04-01 23:16,-69.5310,46.6090,33.30,18.10,53.21,M,2.00,0.00,30.00,1017.70,M,M,M,M,M,M,M,M,M,M,M,K40B 012316Z AUTO VRB02KT 01/M08 A3000 RMK AO1 SLP177 T00071077 52007
