#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
6B0,2017-04-01 00:15,-73.0955,43.9855,33.40,28.60,82.33,170.00,13.00,0.00,29.95,M,2.50,20.00,SCT,BKN,OVC,M,1900.00,2500.00,3600.00,M,-SN,K6B0 010015Z AUTO 17013G20KT 130V190 2 1/2SM -SN SCT019 BKN025 OVC036 01/M02 A2995 RMK AO2 T00081019
6B0,2017-04-01 00:35,-73.0955,43.9855,33.30,28.60,82.66,180.00,10.00,0.00,29.95,M,3.00,16.00,OVC,M,M,M,2100.00,M,M,M,-SN,K6B0 010035Z AUTO 18010G16KT 140V210 3SM -SN OVC021 01/M02 A2995 RMK AO2 T00071019
6B0,2017-04-01 00:55,-73.0955,43.9855,33.10,28.80,84.01,190.00,7.00,0.00,29.94,M,4.00,14.00,BKN,OVC,M,M,1900.00,2400.00,M,M,-SN,K6B0 010055Z AUTO 19007G14KT 4SM -SN BKN019 OVC024 01/M02 A2994 RMK AO2 T00061018
6B0,2017-04-01 01:15,-73.0955,43.9855,33.30,28.40,81.99,190.00,10.00,0.01,29.93,M,3.00,17.00,BKN,OVC,M,M,2000.00,2600.00,M,M,-SN,K6B0 010115Z AUTO 19010G17KT 3SM -SN BKN020 OVC026 01/M02 A2993 RMK AO2 P0001 T00071020
6B0,2017-04-01 01:35,-73.0955,43.9855,33.10,28.80,84.01,190.00,12.00,0.01,29.93,M,2.50,21.00,BKN,OVC,M,M,2000.00,3600.00,M,M,-SN,K6B0 010135Z AUTO 19012G21KT 160V220 2 1/2SM -SN BKN020 OVC036 01/M02 A2993 RMK AO2 P0001 T00061018
6B0,2017-04-01 01:55,-73.0955,43.9855,33.30,28.00,80.65,190.00,9.00,0.02,29.93,M,4.00,16.00,SCT,OVC,M,M,2200.00,3800.00,M,M,-SN,K6B0 010155Z AUTO 19009G16KT 4SM -SN SCT022 OVC038 01/M02 A2993 RMK AO2 P0002 T00071022
6B0,2017-04-01 02:15,-73.0955,43.9855,33.30,28.00,80.65,170.00,7.00,0.01,29.92,M,3.00,19.00,SCT,OVC,M,M,3000.00,3800.00,M,M,-SN,K6B0 010215Z AUTO 17007G19KT 150V220 3SM -SN SCT030 OVC038 01/M02 A2992 RMK AO2 P0001 T00071022
6B0,2017-04-01 02:35,-73.0955,43.9855,33.10,28.00,81.30,200.00,7.00,0.01,29.92,M,4.00,18.00,SCT,OVC,M,M,3000.00,3800.00,M,M,-SN,K6B0 010235Z AUTO 20007G18KT 170V250 4SM -SN SCT030 OVC038 01/M02 A2992 RMK AO2 P0001 T00061022
6B0,2017-04-01 02:55,-73.0955,43.9855,33.10,28.00,81.30,180.00,10.00,0.01,29.91,M,5.00,17.00,OVC,M,M,M,3800.00,M,M,M,-SN,K6B0 010255Z AUTO 18010G17KT 150V210 5SM -SN OVC038 01/M02 A2991 RMK AO2 P0001 60003 T00061022
6B0,2017-04-01 03:15,-73.0955,43.9855,32.90,28.20,82.63,190.00,9.00,0.00,29.91,M,5.00,M,SCT,OVC,M,M,2400.00,3800.00,M,M,-SN,K6B0 010315Z AUTO 19009KT 150V210 5SM -SN SCT024 OVC038 01/M02 A2991 RMK AO2 T00051021
6B0,2017-04-01 03:35,-73.0955,43.9855,33.10,27.90,80.97,210.00,9.00,0.00,29.90,M,4.00,18.00,SCT,OVC,M,M,2400.00,4000.00,M,M,-SN,K6B0 010335Z AUTO 21009G18KT 180V240 4SM -SN SCT024 OVC040 01/M02 A2990 RMK AO2 T00061023
6B0,2017-04-01 03:55,-73.0955,43.9855,33.10,27.30,79.00,180.00,13.00,0.00,29.89,M,4.00,18.00,SCT,SCT,OVC,M,2200.00,3300.00,4000.00,M,-SN,K6B0 010355Z AUTO 18013G18KT 4SM -SN SCT022 SCT033 OVC040 01/M03 A2989 RMK AO2 T00061026
6B0,2017-04-01 04:15,-73.0955,43.9855,32.20,28.40,85.69,170.00,13.00,0.01,29.89,M,1.75,21.00,BKN,OVC,M,M,1000.00,1500.00,M,M,-SN,K6B0 010415Z AUTO 17013G21KT 140V220 1 3/4SM -SN BKN010 OVC015 00/M02 A2989 RMK AO2 P0001 T00011020
6B0,2017-04-01 04:35,-73.0955,43.9855,32.00,28.80,87.81,190.00,9.00,0.01,29.89,M,2.00,16.00,OVC,M,M,M,1200.00,M,M,M,-SN,K6B0 010435Z AUTO 19009G16KT 2SM -SN OVC012 00/M02 A2989 RMK AO2 P0001 T00001018
6B0,2017-04-01 04:55,-73.0955,43.9855,32.20,28.90,87.47,170.00,6.00,0.02,29.89,M,2.00,M,OVC,M,M,M,1200.00,M,M,M,-SN,K6B0 010455Z AUTO 17006KT 2SM -SN OVC012 00/M02 A2989 RMK AO2 P0002 T00011017 400301007
6B0,2017-04-01 05:15,-73.0955,43.9855,32.00,29.30,89.63,210.00,4.00,0.00,29.90,M,3.00,M,BKN,OVC,M,M,1400.00,2500.00,M,M,-SN,K6B0 010515Z AUTO 21004KT 3SM -SN BKN014 OVC025 00/M01 A2990 RMK AO2 T00001015
