#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
6L4,2017-04-01 00:15,-81.9159,37.8557,51.80,48.20,87.47,0.00,0.00,0.00,29.80,M,4.00,10.00,FEW,SCT,BKN,M,2800.00,3400.00,4000.00,M,BR,K6L4 010015Z AUTO 00000G10KT 4SM BR FEW028 SCT034 BKN040 11/09 A2980 RMK AO2
6L4,2017-04-01 00:35,-81.9159,37.8557,51.80,48.20,87.47,250.00,5.00,0.00,29.81,M,7.00,11.00,BKN,OVC,M,M,3400.00,4200.00,M,M,M,K6L4 010035Z AUTO 25005G11KT 7SM BKN034 OVC042 11/09 A2981 RMK AO2
6L4,2017-04-01 00:55,-81.9159,37.8557,51.80,48.20,87.47,250.00,4.00,0.00,29.82,M,10.00,10.00,BKN,BKN,OVC,M,3400.00,4000.00,4700.00,M,M,K6L4 010055Z AUTO 25004G10KT 10SM BKN034 BKN040 OVC047 11/09 A2982 RMK AO2
6L4,2017-04-01 01:15,-81.9159,37.8557,51.80,48.20,87.47,230.00,7.00,0.00,29.83,M,10.00,12.00,BKN,BKN,OVC,M,3300.00,4000.00,4600.00,M,M,K6L4 010115Z AUTO 23007G12KT 10SM BKN033 BKN040 OVC046 11/09 A2983 RMK AO2
6L4,2017-04-01 01:35,-81.9159,37.8557,51.80,48.20,87.47,230.00,7.00,0.00,29.84,M,10.00,13.00,BKN,OVC,M,M,3200.00,3800.00,M,M,M,K6L4 010135Z AUTO 23007G13KT 10SM BKN032 OVC038 11/09 A2984 RMK AO2
6L4,2017-04-01 01:55,-81.9159,37.8557,50.00,48.20,93.50,240.00,6.00,0.00,29.85,M,3.00,M,BKN,OVC,M,M,2700.00,3200.00,M,M,-RA,K6L4 010155Z AUTO 24006KT 3SM -RA BKN027 OVC032 10/09 A2985 RMK AO2
6L4,2017-04-01 02:15,-81.9159,37.8557,50.00,50.00,100.00,240.00,8.00,0.00,29.85,M,5.00,15.00,BKN,OVC,M,M,2600.00,3000.00,M,M,BR,K6L4 010215Z AUTO 24008G15KT 5SM BR BKN026 OVC030 10/10 A2985 RMK AO2
6L4,2017-04-01 02:35,-81.9159,37.8557,50.00,50.00,100.00,250.00,10.00,0.00,29.86,M,3.00,15.00,OVC,M,M,M,2400.00,M,M,M,BR,K6L4 010235Z AUTO 25010G15KT 220V280 3SM BR OVC024 10/10 A2986 RMK AO2
6L4,2017-04-01 02:55,-81.9159,37.8557,50.00,50.00,100.00,0.00,0.00,0.00,29.86,M,1.75,11.00,OVC,M,M,M,2200.00,M,M,M,BR,K6L4 010255Z AUTO 00000G11KT 1 3/4SM BR OVC022 10/10 A2986 RMK AO2
6L4,2017-04-01 03:15,-81.9159,37.8557,50.00,50.00,100.00,260.00,9.00,0.00,29.86,M,3.00,M,BKN,OVC,M,M,2200.00,2800.00,M,M,-RA,K6L4 010315Z AUTO 26009KT 3SM -RA BKN022 OVC028 10/10 A2986 RMK AO2
