#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
8A0,2017-04-01 00:15,-86.2558,34.2291,M,M,M,350.00,5.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010015Z AUTO 35005KT 10SM CLR A2990 RMK AO2
8A0,2017-04-01 00:35,-86.2558,34.2291,M,M,M,350.00,6.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010035Z AUTO 35006KT 10SM CLR A2990 RMK AO2
8A0,2017-04-01 00:55,-86.2558,34.2291,M,M,M,350.00,5.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010055Z AUTO 35005KT 10SM CLR A2991 RMK AO2
8A0,2017-04-01 01:15,-86.2558,34.2291,M,M,M,340.00,5.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010115Z AUTO 34005KT 10SM CLR A2992 RMK AO2
8A0,2017-04-01 01:35,-86.2558,34.2291,M,M,M,340.00,4.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010135Z AUTO 34004KT 10SM CLR A2992 RMK AO2
8A0,2017-04-01 01:55,-86.2558,34.2291,M,M,M,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010155Z AUTO 00000KT 10SM CLR A2992 RMK AO2
8A0,2017-04-01 02:15,-86.2558,34.2291,M,M,M,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010215Z AUTO 00000KT 10SM CLR A2993 RMK AO2
8A0,2017-04-01 02:35,-86.2558,34.2291,M,M,M,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010235Z AUTO 00000KT 10SM CLR A2993 RMK AO2
8A0,2017-04-01 02:55,-86.2558,34.2291,M,M,M,330.00,3.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010255Z AUTO 33003KT 10SM CLR A2994 RMK AO2
8A0,2017-04-01 03:15,-86.2558,34.2291,M,M,M,320.00,3.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010315Z AUTO 32003KT 10SM CLR A2994 RMK AO2
8A0,2017-04-01 03:35,-86.2558,34.2291,M,M,M,330.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010335Z AUTO 33003KT 10SM CLR A2995 RMK AO2
8A0,2017-04-01 03:55,-86.2558,34.2291,M,M,M,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010355Z AUTO 00000KT 10SM CLR A2995 RMK AO2
8A0,2017-04-01 04:15,-86.2558,34.2291,M,M,M,340.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010415Z AUTO 34005KT 10SM CLR A2996 RMK AO2
8A0,2017-04-01 04:35,-86.2558,34.2291,M,M,M,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010435Z AUTO 00000KT 10SM CLR A2996 RMK AO2
8A0,2017-04-01 04:55,-86.2558,34.2291,M,M,M,330.00,3.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010455Z AUTO 33003KT 10SM CLR A2996 RMK AO2
8A0,2017-04-01 05:15,-86.2558,34.2291,M,M,M,350.00,4.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010515Z AUTO 35004KT 10SM CLR A2997 RMK AO2
8A0,2017-04-01 05:35,-86.2558,34.2291,M,M,M,360.00,6.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010535Z AUTO 36006KT 10SM CLR A2997 RMK AO2
8A0,2017-04-01 05:55,-86.2558,34.2291,M,M,M,10.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010555Z AUTO 01005KT 10SM CLR A2998 RMK AO2
8A0,2017-04-01 06:15,-86.2558,34.2291,M,M,M,10.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010615Z AUTO 01005KT 10SM CLR A2998 RMK AO2
8A0,2017-04-01 06:35,-86.2558,34.2291,M,M,M,20.00,6.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010635Z AUTO 02006KT 10SM CLR A2999 RMK AO2
8A0,2017-04-01 06:55,-86.2558,34.2291,M,M,M,10.00,6.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010655Z AUTO 01006KT 10SM CLR A2999 RMK AO2
8A0,2017-04-01 07:15,-86.2558,34.2291,M,M,M,10.00,7.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010715Z AUTO 01007KT 10SM CLR A2999 RMK AO2
8A0,2017-04-01 07:35,-86.2558,34.2291,M,M,M,360.00,6.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010735Z AUTO 36006KT 10SM CLR A3000 RMK AO2
8A0,2017-04-01 07:55,-86.2558,34.2291,M,M,M,10.00,5.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,K8A0 010755Z AUTO 01005KT 10SM CLR A3000 RMK AO2
