#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AAF,2017-04-01 00:00,-85.0274,29.7276,M,M,M,280.00,6.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010000Z AUTO 28006KT 10SM CLR A2987 RMK MADISHF
AAF,2017-04-01 00:05,-85.0274,29.7276,M,M,M,290.00,6.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010005Z AUTO 29006KT 10SM CLR A2987 RMK MADISHF
AAF,2017-04-01 00:10,-85.0274,29.7276,M,M,M,280.00,6.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010010Z AUTO 28006KT 10SM CLR A2987 RMK MADISHF
AAF,2017-04-01 00:15,-85.0274,29.7276,M,M,M,290.00,8.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010015Z AUTO 29008KT 10SM CLR A2987 RMK MADISHF
AAF,2017-04-01 00:20,-85.0274,29.7276,M,M,M,280.00,7.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010020Z AUTO 28007KT 10SM CLR A2988 RMK MADISHF
AAF,2017-04-01 00:25,-85.0274,29.7276,M,M,M,280.00,7.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010025Z AUTO 28007KT 10SM CLR A2988 RMK MADISHF
AAF,2017-04-01 00:30,-85.0274,29.7276,M,M,M,280.00,7.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010030Z AUTO 28007KT 10SM CLR A2987 RMK MADISHF
AAF,2017-04-01 00:35,-85.0274,29.7276,M,M,M,280.00,5.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010035Z AUTO 28005KT 10SM CLR A2987 RMK MADISHF
AAF,2017-04-01 00:40,-85.0274,29.7276,M,M,M,270.00,6.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010040Z AUTO 27006KT 10SM CLR A2988 RMK MADISHF
AAF,2017-04-01 00:45,-85.0274,29.7276,M,M,M,270.00,5.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010045Z AUTO 27005KT 10SM CLR A2988 RMK MADISHF
AAF,2017-04-01 00:50,-85.0274,29.7276,M,M,M,280.00,6.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010050Z AUTO 28006KT 10SM CLR A2989 RMK MADISHF
AAF,2017-04-01 00:53,-85.0274,29.7276,68.00,64.00,87.03,280.00,5.00,0.00,29.89,1012.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010053Z AUTO 28005KT 10SM CLR 20/18 A2989 RMK AO2 SLP120 T02000178
AAF,2017-04-01 00:55,-85.0274,29.7276,M,M,M,270.00,5.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010055Z AUTO 27005KT 10SM CLR A2989 RMK MADISHF
AAF,2017-04-01 01:00,-85.0274,29.7276,M,M,M,270.00,5.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010100Z AUTO 27005KT 10SM CLR A2989 RMK MADISHF
AAF,2017-04-01 01:05,-85.0274,29.7276,M,M,M,270.00,4.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010105Z AUTO 27004KT 10SM CLR A2988 RMK MADISHF
AAF,2017-04-01 01:10,-85.0274,29.7276,M,M,M,270.00,4.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010110Z AUTO 27004KT 10SM CLR A2989 RMK MADISHF
AAF,2017-04-01 01:15,-85.0274,29.7276,M,M,M,280.00,4.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010115Z AUTO 28004KT 10SM CLR A2989 RMK MADISHF
AAF,2017-04-01 01:20,-85.0274,29.7276,M,M,M,280.00,5.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010120Z AUTO 28005KT 10SM CLR A2989 RMK MADISHF
AAF,2017-04-01 01:25,-85.0274,29.7276,M,M,M,270.00,5.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010125Z AUTO 27005KT 10SM CLR A2990 RMK MADISHF
AAF,2017-04-01 01:30,-85.0274,29.7276,M,M,M,270.00,6.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010130Z AUTO 27006KT 10SM CLR A2990 RMK MADISHF
AAF,2017-04-01 01:35,-85.0274,29.7276,M,M,M,270.00,5.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010135Z AUTO 27005KT 10SM CLR A2990 RMK MADISHF
AAF,2017-04-01 01:40,-85.0274,29.7276,M,M,M,270.00,5.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAF 010140Z AUTO 27005KT 10SM CLR A2991 RMK MADISHF
