#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AAT,2017-04-01 00:00,-120.5644,41.4914,M,M,M,10.00,16.00,M,30.13,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,KAAT 010000Z AUTO 01016G21KT 10SM CLR A3013 RMK MADISHF
AAT,2017-04-01 00:05,-120.5644,41.4914,M,M,M,360.00,14.00,M,30.13,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,KAAT 010005Z AUTO 36014G19KT 10SM CLR A3013 RMK MADISHF
AAT,2017-04-01 00:10,-120.5644,41.4914,M,M,M,20.00,15.00,M,30.12,M,10.00,20.00,CLR,M,M,M,M,M,M,M,M,KAAT 010010Z AUTO 02015G20KT 10SM CLR A3012 RMK MADISHF
AAT,2017-04-01 00:15,-120.5644,41.4914,M,M,M,20.00,14.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010015Z AUTO 02014KT 10SM CLR A3012 RMK MADISHF
AAT,2017-04-01 00:20,-120.5644,41.4914,M,M,M,20.00,17.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010020Z AUTO 02017KT 10SM CLR A3012 RMK MADISHF
AAT,2017-04-01 00:25,-120.5644,41.4914,M,M,M,20.00,12.00,M,30.12,M,10.00,17.00,CLR,M,M,M,M,M,M,M,M,KAAT 010025Z AUTO 02012G17KT 10SM CLR A3012 RMK MADISHF
AAT,2017-04-01 00:30,-120.5644,41.4914,M,M,M,20.00,13.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010030Z AUTO 02013KT 10SM CLR A3012 RMK MADISHF
AAT,2017-04-01 00:35,-120.5644,41.4914,M,M,M,10.00,13.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010035Z AUTO 01013KT 10SM CLR A3012 RMK MADISHF
AAT,2017-04-01 00:40,-120.5644,41.4914,M,M,M,20.00,10.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010040Z AUTO 02010KT 10SM CLR A3012 RMK MADISHF
AAT,2017-04-01 00:45,-120.5644,41.4914,M,M,M,360.00,13.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010045Z AUTO 36013KT 10SM CLR A3011 RMK MADISHF
AAT,2017-04-01 00:50,-120.5644,41.4914,M,M,M,30.00,10.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010050Z AUTO 03010KT 10SM CLR A3011 RMK MADISHF
AAT,2017-04-01 00:55,-120.5644,41.4914,53.10,25.00,33.34,20.00,12.00,0.00,30.11,1019.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010055Z AUTO 02012KT 10SM CLR 12/M04 A3011 RMK AO2 SLP192 T01171039 TSNO
AAT,2017-04-01 01:00,-120.5644,41.4914,M,M,M,10.00,11.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010100Z AUTO 01011KT 10SM CLR A3011 RMK MADISHF
AAT,2017-04-01 01:05,-120.5644,41.4914,M,M,M,10.00,11.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010105Z AUTO 01011KT 10SM CLR A3011 RMK MADISHF
AAT,2017-04-01 01:10,-120.5644,41.4914,M,M,M,10.00,11.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010110Z AUTO 01011KT 10SM CLR A3011 RMK MADISHF
AAT,2017-04-01 01:15,-120.5644,41.4914,M,M,M,360.00,10.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010115Z AUTO 36010KT 10SM CLR A3011 RMK MADISHF
AAT,2017-04-01 01:20,-120.5644,41.4914,M,M,M,360.00,9.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010120Z AUTO 36009KT 10SM CLR A3011 RMK MADISHF
AAT,2017-04-01 01:25,-120.5644,41.4914,M,M,M,360.00,8.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010125Z AUTO 36008KT 10SM CLR A3011 RMK MADISHF
AAT,2017-04-01 01:30,-120.5644,41.4914,M,M,M,360.00,11.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010130Z AUTO 36011KT 10SM CLR A3012 RMK MADISHF
AAT,2017-04-01 01:35,-120.5644,41.4914,M,M,M,350.00,9.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAAT 010135Z AUTO 35009KT 10SM CLR A3012 RMK MADISHF
