#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ABI,2017-04-01 00:00,-99.6819,32.4113,M,M,M,M,M,M,29.62,M,10.00,29.00,CLR,M,M,M,M,M,M,M,M,KABI 010000Z AUTO /////G29KT 10SM CLR A2962 RMK MADISHF
ABI,2017-04-01 00:05,-99.6819,32.4113,M,M,M,M,M,M,29.63,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010005Z AUTO /////KT 10SM CLR A2963 RMK MADISHF
ABI,2017-04-01 00:10,-99.6819,32.4113,M,M,M,M,M,M,29.62,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010010Z AUTO /////KT 10SM CLR A2962 RMK MADISHF
ABI,2017-04-01 00:15,-99.6819,32.4113,M,M,M,M,M,M,29.63,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010015Z AUTO /////KT 10SM CLR A2963 RMK MADISHF
ABI,2017-04-01 00:20,-99.6819,32.4113,M,M,M,M,M,M,29.63,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010020Z AUTO /////KT 10SM CLR A2963 RMK MADISHF
ABI,2017-04-01 00:25,-99.6819,32.4113,M,M,M,150.00,18.00,M,29.63,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010025Z AUTO 15018KT 10SM CLR A2963 RMK MADISHF
ABI,2017-04-01 00:30,-99.6819,32.4113,M,M,M,160.00,20.00,M,29.63,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010030Z AUTO 16020KT 10SM CLR A2963 RMK MADISHF
ABI,2017-04-01 00:35,-99.6819,32.4113,M,M,M,160.00,18.00,M,29.63,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010035Z AUTO 16018KT 10SM CLR A2963 RMK MADISHF
ABI,2017-04-01 00:40,-99.6819,32.4113,M,M,M,150.00,18.00,M,29.63,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010040Z AUTO 15018KT 10SM CLR A2963 RMK MADISHF
ABI,2017-04-01 00:45,-99.6819,32.4113,M,M,M,140.00,19.00,M,29.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010045Z AUTO 14019KT 10SM CLR A2964 RMK MADISHF
ABI,2017-04-01 00:50,-99.6819,32.4113,M,M,M,140.00,18.00,M,29.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010050Z AUTO 14018KT 10SM CLR A2964 RMK MADISHF
ABI,2017-04-01 00:52,-99.6819,32.4113,78.10,46.00,32.15,150.00,18.00,0.00,29.64,1001.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010052Z 15018KT 10SM CLR 26/08 A2964 RMK AO2 PK WND 16033/0026 SLP015 T02560078 $
ABI,2017-04-01 00:55,-99.6819,32.4113,M,M,M,150.00,20.00,M,29.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010055Z AUTO 15020KT 10SM CLR A2964 RMK MADISHF
ABI,2017-04-01 01:00,-99.6819,32.4113,M,M,M,150.00,17.00,M,29.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010100Z AUTO 15017KT 10SM CLR A2964 RMK MADISHF
ABI,2017-04-01 01:05,-99.6819,32.4113,M,M,M,150.00,22.00,M,29.64,M,10.00,27.00,CLR,M,M,M,M,M,M,M,M,KABI 010105Z AUTO 15022G27KT 10SM CLR A2964 RMK MADISHF
ABI,2017-04-01 01:10,-99.6819,32.4113,M,M,M,150.00,17.00,M,29.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010110Z AUTO 15017KT 10SM CLR A2964 RMK MADISHF
ABI,2017-04-01 01:15,-99.6819,32.4113,M,M,M,150.00,19.00,M,29.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010115Z AUTO 15019KT 10SM CLR A2965 RMK MADISHF
ABI,2017-04-01 01:20,-99.6819,32.4113,M,M,M,150.00,18.00,M,29.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010120Z AUTO 15018KT 10SM CLR A2965 RMK MADISHF
ABI,2017-04-01 01:25,-99.6819,32.4113,M,M,M,150.00,17.00,M,29.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010125Z AUTO 15017KT 10SM CLR A2965 RMK MADISHF
ABI,2017-04-01 01:30,-99.6819,32.4113,M,M,M,150.00,17.00,M,29.66,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010130Z AUTO 15017KT 10SM CLR A2966 RMK MADISHF
ABI,2017-04-01 01:35,-99.6819,32.4113,M,M,M,150.00,17.00,M,29.66,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010135Z AUTO 15017KT 10SM CLR A2966 RMK MADISHF
ABI,2017-04-01 01:40,-99.6819,32.4113,M,M,M,150.00,16.00,M,29.66,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010140Z AUTO 15016KT 10SM CLR A2966 RMK MADISHF
ABI,2017-04-01 01:45,-99.6819,32.4113,M,M,M,150.00,17.00,M,29.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010145Z AUTO 15017KT 10SM CLR A2967 RMK MADISHF
ABI,2017-04-01 01:50,-99.6819,32.4113,M,M,M,150.00,14.00,M,29.67,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,KABI 010150Z AUTO 15014G19KT 10SM CLR A2967 RMK MADISHF
ABI,2017-04-01 01:52,-99.6819,32.4113,73.90,48.00,39.87,150.00,15.00,0.00,29.67,1002.70,10.00,25.00,CLR,M,M,M,M,M,M,M,M,KABI 010152Z 15015G25KT 10SM CLR 23/09 A2967 RMK AO2 PK WND 15028/0105 SLP027 T02330089 $
ABI,2017-04-01 01:55,-99.6819,32.4113,M,M,M,150.00,14.00,M,29.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010155Z AUTO 15014KT 10SM CLR A2967 RMK MADISHF
ABI,2017-04-01 02:00,-99.6819,32.4113,M,M,M,140.00,17.00,M,29.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010200Z AUTO 14017KT 10SM CLR A2967 RMK MADISHF
ABI,2017-04-01 02:05,-99.6819,32.4113,M,M,M,150.00,15.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010205Z AUTO 15015KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:10,-99.6819,32.4113,M,M,M,150.00,16.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010210Z AUTO 15016KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:15,-99.6819,32.4113,M,M,M,150.00,19.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010215Z AUTO 15019KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:20,-99.6819,32.4113,M,M,M,140.00,19.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010220Z AUTO 14019KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:25,-99.6819,32.4113,M,M,M,150.00,18.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010225Z AUTO 15018KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:30,-99.6819,32.4113,M,M,M,140.00,20.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010230Z AUTO 14020KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:35,-99.6819,32.4113,M,M,M,150.00,19.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010235Z AUTO 15019KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:40,-99.6819,32.4113,M,M,M,150.00,20.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010240Z AUTO 15020KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:45,-99.6819,32.4113,M,M,M,150.00,20.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010245Z AUTO 15020KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:50,-99.6819,32.4113,M,M,M,140.00,22.00,M,29.68,M,10.00,28.00,CLR,M,M,M,M,M,M,M,M,KABI 010250Z AUTO 14022G28KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 02:52,-99.6819,32.4113,72.00,48.00,42.51,150.00,21.00,0.00,29.68,1002.80,10.00,28.00,CLR,M,M,M,M,M,M,M,M,KABI 010252Z 15021G28KT 10SM CLR 22/09 A2968 RMK AO2 PK WND 15029/0217 SLP028 T02220089 51018 $
ABI,2017-04-01 02:55,-99.6819,32.4113,M,M,M,150.00,22.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010255Z AUTO 15022KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:00,-99.6819,32.4113,M,M,M,150.00,21.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010300Z AUTO 15021KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:05,-99.6819,32.4113,M,M,M,150.00,21.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010305Z AUTO 15021KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:10,-99.6819,32.4113,M,M,M,150.00,18.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010310Z AUTO 15018KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:15,-99.6819,32.4113,M,M,M,150.00,19.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010315Z AUTO 15019KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:20,-99.6819,32.4113,M,M,M,150.00,22.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010320Z AUTO 15022KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:25,-99.6819,32.4113,M,M,M,150.00,20.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010325Z AUTO 15020KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:30,-99.6819,32.4113,M,M,M,150.00,18.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010330Z AUTO 15018KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:35,-99.6819,32.4113,M,M,M,150.00,19.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010335Z AUTO 15019KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:40,-99.6819,32.4113,M,M,M,150.00,20.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010340Z AUTO 15020KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:45,-99.6819,32.4113,M,M,M,150.00,21.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010345Z AUTO 15021KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:50,-99.6819,32.4113,M,M,M,150.00,20.00,M,29.68,M,10.00,25.00,CLR,M,M,M,M,M,M,M,M,KABI 010350Z AUTO 15020G25KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 03:52,-99.6819,32.4113,70.00,50.00,49.03,150.00,20.00,0.00,29.68,1002.80,10.00,27.00,CLR,M,M,M,M,M,M,M,M,KABI 010352Z 15020G27KT 10SM CLR 21/10 A2968 RMK AO2 PK WND 15030/0319 SLP028 T02110100 $
ABI,2017-04-01 03:55,-99.6819,32.4113,M,M,M,150.00,20.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010355Z AUTO 15020KT 10SM CLR A2968 RMK MADISHF
ABI,2017-04-01 04:00,-99.6819,32.4113,M,M,M,150.00,21.00,M,29.68,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABI 010400Z AUTO 15021KT 10SM CLR A2968 RMK MADISHF
