#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ABQ,2017-04-01 00:00,-106.6155,35.0419,M,M,M,M,M,M,29.69,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KABQ 010000Z AUTO /////KT 10SM OVC095 A2969 RMK MADISHF
ABQ,2017-04-01 00:05,-106.6155,35.0419,M,M,M,M,M,M,29.69,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KABQ 010005Z AUTO /////KT 10SM OVC095 A2969 RMK MADISHF
ABQ,2017-04-01 00:10,-106.6155,35.0419,M,M,M,M,M,M,29.70,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KABQ 010010Z AUTO /////KT 10SM OVC095 A2970 RMK MADISHF
ABQ,2017-04-01 00:15,-106.6155,35.0419,M,M,M,M,M,M,29.70,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KABQ 010015Z AUTO /////KT 10SM OVC095 A2970 RMK MADISHF
ABQ,2017-04-01 00:20,-106.6155,35.0419,M,M,M,M,M,M,29.70,M,10.00,M,FEW,BKN,M,M,7000.00,10000.00,M,M,M,KABQ 010020Z AUTO /////KT 10SM FEW070 BKN100 A2970 RMK  VIRGA ALQDS MADISHF
ABQ,2017-04-01 00:23,-106.6155,35.0419,53.10,25.00,33.34,310.00,10.00,0.00,29.71,M,10.00,M,FEW,BKN,BKN,M,7000.00,10000.00,15000.00,M,M,KABQ 010023Z 31010KT 10SM FEW070 BKN100 BKN150 12/M04 A2971 RMK AO2 WSHFT 0003 VIRGA ALQDS T01171039
ABQ,2017-04-01 00:25,-106.6155,35.0419,M,M,M,300.00,11.00,M,29.72,M,10.00,M,FEW,BKN,M,M,7000.00,10000.00,M,M,M,KABQ 010025Z AUTO 30011KT 10SM FEW070 BKN100 A2972 RMK  VIRGA ALQDS MADISHF
ABQ,2017-04-01 00:30,-106.6155,35.0419,M,M,M,M,M,M,29.72,M,10.00,M,FEW,BKN,M,M,7000.00,10000.00,M,M,M,KABQ 010030Z AUTO /////KT 10SM FEW070 BKN100 A2972 RMK  VIRGA ALQDS MADISHF
ABQ,2017-04-01 00:35,-106.6155,35.0419,M,M,M,M,M,M,29.73,M,10.00,M,FEW,BKN,M,M,7000.00,10000.00,M,M,M,KABQ 010035Z AUTO /////KT 10SM FEW070 BKN100 A2973 RMK  VIRGA ALQDS MADISHF
ABQ,2017-04-01 00:40,-106.6155,35.0419,M,M,M,M,M,M,29.75,M,10.00,M,FEW,BKN,M,M,7000.00,10000.00,M,M,M,KABQ 010040Z AUTO /////KT 10SM FEW070 BKN100 A2975 RMK  VIRGA ALQDS MADISHF
ABQ,2017-04-01 00:45,-106.6155,35.0419,M,M,M,M,M,M,29.76,M,10.00,M,FEW,BKN,M,M,7000.00,10000.00,M,M,M,KABQ 010045Z AUTO /////KT 10SM FEW070 BKN100 A2976 RMK  VIRGA ALQDS MADISHF
ABQ,2017-04-01 00:50,-106.6155,35.0419,M,M,M,290.00,26.00,M,29.76,M,10.00,M,FEW,SCT,M,M,7000.00,10000.00,M,M,M,KABQ 010050Z AUTO 29026KT 10SM FEW070 SCT100 A2976 RMK  VIRGA ALQDS MADISHF
