#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ABR,2017-04-01 00:00,-98.4200,45.4500,M,M,M,50.00,5.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010000Z AUTO 05005KT 10SM CLR A3007 RMK MADISHF
ABR,2017-04-01 00:05,-98.4200,45.4500,M,M,M,50.00,6.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010005Z AUTO 05006KT 10SM CLR A3007 RMK MADISHF
ABR,2017-04-01 00:10,-98.4200,45.4500,M,M,M,40.00,4.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010010Z AUTO 04004KT 10SM CLR A3007 RMK MADISHF
ABR,2017-04-01 00:15,-98.4200,45.4500,M,M,M,40.00,4.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010015Z AUTO 04004KT 10SM CLR A3008 RMK MADISHF
ABR,2017-04-01 00:20,-98.4200,45.4500,M,M,M,30.00,5.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010020Z AUTO 03005KT 10SM CLR A3008 RMK MADISHF
ABR,2017-04-01 00:25,-98.4200,45.4500,M,M,M,40.00,5.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010025Z AUTO 04005KT 10SM CLR A3008 RMK MADISHF
ABR,2017-04-01 00:30,-98.4200,45.4500,M,M,M,30.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010030Z AUTO 03006KT 10SM CLR A3008 RMK MADISHF
ABR,2017-04-01 00:35,-98.4200,45.4500,M,M,M,40.00,5.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010035Z AUTO 04005KT 10SM CLR A3008 RMK MADISHF
ABR,2017-04-01 00:40,-98.4200,45.4500,M,M,M,40.00,5.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010040Z AUTO 04005KT 10SM CLR A3008 RMK MADISHF
ABR,2017-04-01 00:45,-98.4200,45.4500,M,M,M,40.00,5.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABR 010045Z AUTO 04005KT 10SM CLR A3009 RMK MADISHF
