#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ABY,2017-04-01 00:00,-84.1945,31.5355,M,M,M,270.00,5.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010000Z AUTO 27005KT 10SM CLR A2985 RMK MADISHF
ABY,2017-04-01 00:05,-84.1945,31.5355,M,M,M,280.00,4.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010005Z AUTO 28004KT 10SM CLR A2986 RMK MADISHF
ABY,2017-04-01 00:10,-84.1945,31.5355,M,M,M,290.00,4.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010010Z AUTO 29004KT 10SM CLR A2986 RMK MADISHF
ABY,2017-04-01 00:15,-84.1945,31.5355,M,M,M,280.00,4.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010015Z AUTO 28004KT 10SM CLR A2986 RMK MADISHF
ABY,2017-04-01 00:20,-84.1945,31.5355,M,M,M,280.00,3.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010020Z AUTO 28003KT 10SM CLR A2986 RMK MADISHF
ABY,2017-04-01 00:25,-84.1945,31.5355,M,M,M,290.00,3.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010025Z AUTO 29003KT 10SM CLR A2986 RMK MADISHF
ABY,2017-04-01 00:30,-84.1945,31.5355,M,M,M,300.00,3.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010030Z AUTO 30003KT 10SM CLR A2987 RMK MADISHF
ABY,2017-04-01 00:35,-84.1945,31.5355,M,M,M,300.00,3.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010035Z AUTO 30003KT 10SM CLR A2987 RMK MADISHF
ABY,2017-04-01 00:40,-84.1945,31.5355,M,M,M,290.00,4.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010040Z AUTO 29004KT 10SM CLR A2987 RMK MADISHF
ABY,2017-04-01 00:45,-84.1945,31.5355,M,M,M,290.00,4.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010045Z AUTO 29004KT 10SM CLR A2987 RMK MADISHF
ABY,2017-04-01 00:50,-84.1945,31.5355,M,M,M,280.00,4.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010050Z AUTO 28004KT 10SM CLR A2987 RMK MADISHF
ABY,2017-04-01 00:53,-84.1945,31.5355,66.90,51.10,56.82,280.00,4.00,0.00,29.88,1011.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KABY 010053Z AUTO 28004KT 10SM CLR 19/11 A2988 RMK AO2 SLP116 T01940106
