#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ACJ,2017-04-01 00:15,-84.1889,32.1108,71.60,46.40,40.57,290.00,4.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010015Z AUTO 29004KT 10SM CLR 22/08 A2987 RMK AO2
ACJ,2017-04-01 00:35,-84.1889,32.1108,69.80,46.40,43.13,290.00,4.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010035Z AUTO 29004KT 10SM CLR 21/08 A2987 RMK AO2
ACJ,2017-04-01 00:55,-84.1889,32.1108,69.80,46.40,43.13,290.00,3.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010055Z AUTO 29003KT 10SM CLR 21/08 A2989 RMK AO2
ACJ,2017-04-01 01:15,-84.1889,32.1108,66.20,48.20,52.25,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010115Z AUTO 00000KT 10SM CLR 19/09 A2990 RMK AO2
ACJ,2017-04-01 01:35,-84.1889,32.1108,66.20,48.20,52.25,290.00,3.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010135Z AUTO 29003KT 10SM CLR 19/09 A2991 RMK AO2
ACJ,2017-04-01 01:55,-84.1889,32.1108,66.20,46.40,48.83,290.00,4.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010155Z AUTO 29004KT 10SM CLR 19/08 A2992 RMK AO2
ACJ,2017-04-01 02:15,-84.1889,32.1108,64.40,48.20,55.63,280.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010215Z AUTO 28003KT 10SM CLR 18/09 A2992 RMK AO2
ACJ,2017-04-01 02:35,-84.1889,32.1108,62.60,48.20,59.26,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010235Z AUTO 00000KT 10SM CLR 17/09 A2993 RMK AO2
ACJ,2017-04-01 02:55,-84.1889,32.1108,59.00,50.00,72.01,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010255Z AUTO 00000KT 10SM CLR 15/10 A2994 RMK AO2
ACJ,2017-04-01 03:15,-84.1889,32.1108,59.00,48.20,67.33,290.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010315Z AUTO 29003KT 10SM CLR 15/09 A2995 RMK AO2
ACJ,2017-04-01 03:35,-84.1889,32.1108,62.60,48.20,59.26,280.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010335Z AUTO 28003KT 10SM CLR 17/09 A2995 RMK AO2
ACJ,2017-04-01 03:55,-84.1889,32.1108,60.80,48.20,63.15,290.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010355Z AUTO 29004KT 10SM CLR 16/09 A2995 RMK AO2
ACJ,2017-04-01 04:15,-84.1889,32.1108,60.80,48.20,63.15,290.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010415Z AUTO 29003KT 10SM CLR 16/09 A2995 RMK AO2
ACJ,2017-04-01 04:35,-84.1889,32.1108,60.80,48.20,63.15,280.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010435Z AUTO 28003KT 10SM CLR 16/09 A2995 RMK AO2
ACJ,2017-04-01 04:55,-84.1889,32.1108,55.40,48.20,76.66,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010455Z AUTO 00000KT 10SM CLR 13/09 A2996 RMK AO2
ACJ,2017-04-01 05:15,-84.1889,32.1108,59.00,48.20,67.33,290.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010515Z AUTO 29004KT 10SM CLR 15/09 A2996 RMK AO2
ACJ,2017-04-01 05:35,-84.1889,32.1108,59.00,48.20,67.33,290.00,4.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010535Z AUTO 29004KT 10SM CLR 15/09 A2996 RMK AO2
ACJ,2017-04-01 05:55,-84.1889,32.1108,53.60,51.80,93.60,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010555Z AUTO 00000KT 10SM CLR 12/11 A2996 RMK AO2
ACJ,2017-04-01 06:15,-84.1889,32.1108,53.60,51.80,93.60,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010615Z AUTO 00000KT 10SM CLR 12/11 A2997 RMK AO2
ACJ,2017-04-01 06:35,-84.1889,32.1108,53.60,51.80,93.60,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010635Z AUTO 00000KT 10SM CLR 12/11 A2997 RMK AO2
ACJ,2017-04-01 06:55,-84.1889,32.1108,53.60,53.60,100.00,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010655Z AUTO 00000KT 10SM CLR 12/12 A2997 RMK AO2
ACJ,2017-04-01 07:15,-84.1889,32.1108,53.60,53.60,100.00,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KACJ 010715Z AUTO 00000KT 10SM CLR 12/12 A2997 RMK AO2
