#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ACK,2017-04-01 00:00,-70.0603,41.2531,M,M,M,100.00,15.00,0.01,30.03,M,6.00,M,SCT,SCT,OVC,M,1200.00,1900.00,3600.00,M,-RA BR,KACK 010000Z AUTO 10015KT 6SM -RA BR SCT012 SCT019 OVC036 A3003 RMK P0001 MADISHF
ACK,2017-04-01 00:05,-70.0603,41.2531,M,M,M,100.00,16.00,0.01,30.03,M,5.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA BR,KACK 010005Z AUTO 10016KT 5SM -RA BR SCT012 BKN019 OVC036 A3003 RMK P0001 MADISHF
ACK,2017-04-01 00:09,-70.0603,41.2531,37.00,33.10,85.64,100.00,17.00,0.02,30.03,M,6.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA BR,KACK 010009Z 10017KT 6SM -RA BR SCT012 BKN019 OVC036 03/01 A3003 RMK AO2 P0002 T00280006
ACK,2017-04-01 00:10,-70.0603,41.2531,M,M,M,100.00,16.00,0.02,30.03,M,6.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA BR,KACK 010010Z AUTO 10016KT 6SM -RA BR SCT012 BKN019 OVC036 A3003 RMK P0002 MADISHF
ACK,2017-04-01 00:15,-70.0603,41.2531,M,M,M,100.00,18.00,0.02,30.02,M,7.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA,KACK 010015Z AUTO 10018KT 7SM -RA SCT012 BKN019 OVC036 A3002 RMK P0002 MADISHF
ACK,2017-04-01 00:20,-70.0603,41.2531,M,M,M,100.00,16.00,0.02,30.02,M,8.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA,KACK 010020Z AUTO 10016KT 8SM -RA SCT012 BKN019 OVC036 A3002 RMK P0002 MADISHF
ACK,2017-04-01 00:25,-70.0603,41.2531,M,M,M,100.00,17.00,0.02,30.02,M,8.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA,KACK 010025Z AUTO 10017KT 8SM -RA SCT012 BKN019 OVC036 A3002 RMK P0002 MADISHF
ACK,2017-04-01 00:30,-70.0603,41.2531,M,M,M,100.00,22.00,0.02,30.01,M,7.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA,KACK 010030Z AUTO 10022KT 7SM -RA SCT012 BKN019 OVC036 A3001 RMK P0002 MADISHF
ACK,2017-04-01 00:35,-70.0603,41.2531,M,M,M,100.00,20.00,0.03,30.01,M,7.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA,KACK 010035Z AUTO 10020KT 7SM -RA SCT012 BKN019 OVC036 A3001 RMK P0003 MADISHF
ACK,2017-04-01 00:40,-70.0603,41.2531,M,M,M,100.00,17.00,0.03,30.01,M,6.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA BR,KACK 010040Z AUTO 10017KT 6SM -RA BR SCT012 BKN019 OVC036 A3001 RMK P0003 MADISHF
ACK,2017-04-01 00:45,-70.0603,41.2531,M,M,M,100.00,19.00,0.03,30.01,M,6.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3600.00,M,-RA BR,KACK 010045Z AUTO 10019KT 6SM -RA BR SCT012 BKN019 OVC036 A3001 RMK P0003 MADISHF
ACK,2017-04-01 00:50,-70.0603,41.2531,M,M,M,100.00,19.00,0.04,30.00,M,5.00,M,BKN,OVC,M,M,1400.00,3399.00,M,M,-RA BR,KACK 010050Z AUTO 10019KT 5SM -RA BR BKN014 OVC033 A3000 RMK P0004 MADISHF
ACK,2017-04-01 00:53,-70.0603,41.2531,37.00,33.10,85.64,100.00,19.00,0.04,30.00,1016.00,5.00,25.00,SCT,OVC,M,M,1400.00,3400.00,M,M,-RA BR,KACK 010053Z 10019G25KT 5SM -RA BR SCT014 OVC034 03/01 A3000 RMK AO2 PK WND 11026/0041 SLP160 P0004 T00280006
ACK,2017-04-01 00:55,-70.0603,41.2531,M,M,M,100.00,19.00,M,30.00,M,5.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,-RA BR,KACK 010055Z AUTO 10019KT 5SM -RA BR SCT014 OVC033 A3000 RMK MADISHF
ACK,2017-04-01 01:00,-70.0603,41.2531,M,M,M,100.00,19.00,0.01,30.00,M,5.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,-RA BR,KACK 010100Z AUTO 10019KT 5SM -RA BR SCT014 OVC033 A3000 RMK P0001 MADISHF
ACK,2017-04-01 01:05,-70.0603,41.2531,M,M,M,100.00,21.00,0.01,30.00,M,6.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,-RA BR,KACK 010105Z AUTO 10021KT 6SM -RA BR SCT014 OVC033 A3000 RMK P0001 MADISHF
ACK,2017-04-01 01:10,-70.0603,41.2531,M,M,M,100.00,20.00,0.02,30.00,M,6.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,-RA BR,KACK 010110Z AUTO 10020KT 6SM -RA BR SCT014 OVC033 A3000 RMK P0002 MADISHF
ACK,2017-04-01 01:15,-70.0603,41.2531,M,M,M,100.00,21.00,0.02,29.99,M,6.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,RA BR,KACK 010115Z AUTO 10021KT 6SM RA BR SCT014 OVC033 A2999 RMK P0002 MADISHF
ACK,2017-04-01 01:20,-70.0603,41.2531,M,M,M,100.00,18.00,0.03,29.99,M,6.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,-RA BR,KACK 010120Z AUTO 10018KT 6SM -RA BR SCT014 OVC033 A2999 RMK P0003 MADISHF
ACK,2017-04-01 01:25,-70.0603,41.2531,M,M,M,100.00,21.00,0.04,29.99,M,5.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,RA BR,KACK 010125Z AUTO 10021KT 5SM RA BR SCT014 OVC033 A2999 RMK P0004 MADISHF
ACK,2017-04-01 01:30,-70.0603,41.2531,M,M,M,100.00,18.00,0.04,29.99,M,5.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,RA BR,KACK 010130Z AUTO 10018KT 5SM RA BR SCT014 OVC033 A2999 RMK P0004 MADISHF
ACK,2017-04-01 01:35,-70.0603,41.2531,M,M,M,100.00,21.00,0.05,29.98,M,5.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,RA BR,KACK 010135Z AUTO 10021KT 5SM RA BR SCT014 OVC033 A2998 RMK P0005 MADISHF
ACK,2017-04-01 01:40,-70.0603,41.2531,M,M,M,100.00,19.00,0.06,29.98,M,4.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,RA BR,KACK 010140Z AUTO 10019KT 4SM RA BR SCT014 OVC033 A2998 RMK P0006 MADISHF
ACK,2017-04-01 01:45,-70.0603,41.2531,M,M,M,100.00,20.00,0.07,29.98,M,4.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,RA BR,KACK 010145Z AUTO 10020KT 4SM RA BR SCT014 OVC033 A2998 RMK P0007 MADISHF
ACK,2017-04-01 01:50,-70.0603,41.2531,M,M,M,100.00,20.00,0.07,29.97,M,4.00,M,SCT,OVC,M,M,1400.00,3399.00,M,M,RA BR,KACK 010150Z AUTO 10020KT 4SM RA BR SCT014 OVC033 A2997 RMK P0007 MADISHF
ACK,2017-04-01 01:53,-70.0603,41.2531,37.00,33.10,85.64,100.00,21.00,0.08,29.97,1014.90,5.00,28.00,SCT,OVC,M,M,1400.00,3400.00,M,M,RA BR,KACK 010153Z AUTO 10021G28KT 5SM RA BR SCT014 OVC034 03/01 A2997 RMK AO2 PK WND 11028/0110 SLP149 P0008 T00280006
ACK,2017-04-01 01:55,-70.0603,41.2531,M,M,M,100.00,17.00,M,29.97,M,5.00,M,BKN,OVC,M,M,1400.00,2800.00,M,M,RA BR,KACK 010155Z AUTO 10017KT 5SM RA BR BKN014 OVC028 A2997 RMK MADISHF
ACK,2017-04-01 02:00,-70.0603,41.2531,37.00,33.10,85.64,100.00,20.00,0.01,29.97,M,5.00,27.00,BKN,OVC,M,M,1300.00,2800.00,M,M,-RA BR,KACK 010200Z AUTO 10020G27KT 5SM -RA BR BKN013 OVC028 03/01 A2997 RMK AO2 P0001 T00280006
ACK,2017-04-01 02:05,-70.0603,41.2531,M,M,M,100.00,21.00,0.02,29.96,M,5.00,M,BKN,OVC,M,M,1300.00,2800.00,M,M,RA BR,KACK 010205Z AUTO 10021KT 5SM RA BR BKN013 OVC028 A2996 RMK P0002 MADISHF
ACK,2017-04-01 02:10,-70.0603,41.2531,M,M,M,100.00,22.00,0.03,29.96,M,5.00,M,BKN,BKN,OVC,M,1300.00,1699.00,2800.00,M,RA BR,KACK 010210Z AUTO 10022KT 5SM RA BR BKN013 BKN016 OVC028 A2996 RMK P0003 MADISHF
ACK,2017-04-01 02:15,-70.0603,41.2531,M,M,M,100.00,22.00,0.03,29.96,M,5.00,M,BKN,OVC,M,M,1300.00,2700.00,M,M,RA BR,KACK 010215Z AUTO 10022KT 5SM RA BR BKN013 OVC027 A2996 RMK P0003 MADISHF
ACK,2017-04-01 02:20,-70.0603,41.2531,M,M,M,100.00,23.00,0.04,29.96,M,5.00,29.00,BKN,OVC,M,M,1300.00,2700.00,M,M,RA BR,KACK 010220Z AUTO 10023G29KT 5SM RA BR BKN013 OVC027 A2996 RMK P0004 MADISHF
ACK,2017-04-01 02:25,-70.0603,41.2531,M,M,M,100.00,20.00,0.05,29.95,M,5.00,M,BKN,OVC,M,M,1300.00,2700.00,M,M,RA BR,KACK 010225Z AUTO 10020KT 5SM RA BR BKN013 OVC027 A2995 RMK P0005 MADISHF
ACK,2017-04-01 02:30,-70.0603,41.2531,M,M,M,100.00,22.00,0.06,29.95,M,5.00,M,BKN,OVC,M,M,1300.00,2700.00,M,M,RA BR,KACK 010230Z AUTO 10022KT 5SM RA BR BKN013 OVC027 A2995 RMK P0006 MADISHF
ACK,2017-04-01 02:35,-70.0603,41.2531,M,M,M,100.00,21.00,0.07,29.94,M,4.00,M,BKN,OVC,M,M,1300.00,2700.00,M,M,RA BR,KACK 010235Z AUTO 10021KT 4SM RA BR BKN013 OVC027 A2994 RMK P0007 MADISHF
