#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ACY,2017-04-01 00:00,-74.5772,39.4576,M,M,M,200.00,7.00,M,29.64,M,1.25,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010000Z AUTO 20007KT 1 1/2SM BR OVC002 A2964 RMK MADISHF
ACY,2017-04-01 00:05,-74.5772,39.4576,M,M,M,200.00,8.00,M,29.64,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010005Z AUTO 20008KT 1SM BR OVC002 A2964 RMK MADISHF
ACY,2017-04-01 00:10,-74.5772,39.4576,M,M,M,190.00,7.00,M,29.64,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010010Z AUTO 19007KT 1SM BR OVC002 A2964 RMK MADISHF
ACY,2017-04-01 00:15,-74.5772,39.4576,M,M,M,180.00,8.00,M,29.64,M,0.50,M,OVC,M,M,M,200.00,M,M,M,FG,KACY 010015Z AUTO 18008KT 1/2SM FG OVC002 A2964 RMK MADISHF
ACY,2017-04-01 00:20,-74.5772,39.4576,M,M,M,170.00,8.00,M,29.64,M,0.50,M,VV ,M,M,M,200.00,M,M,M,FG,KACY 010020Z AUTO 17008KT 1/2SM FG VV002 A2964 RMK MADISHF
ACY,2017-04-01 00:25,-74.5772,39.4576,M,M,M,180.00,8.00,M,29.64,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010025Z AUTO 18008KT 1/2SM FG VV003 A2964 RMK MADISHF
ACY,2017-04-01 00:30,-74.5772,39.4576,M,M,M,170.00,9.00,M,29.64,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010030Z AUTO 17009KT 1SM BR OVC002 A2964 RMK MADISHF
ACY,2017-04-01 00:35,-74.5772,39.4576,M,M,M,160.00,9.00,M,29.63,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010035Z AUTO 16009KT 1SM BR OVC002 A2963 RMK MADISHF
ACY,2017-04-01 00:40,-74.5772,39.4576,M,M,M,160.00,8.00,M,29.63,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010040Z AUTO 16008KT 1SM BR OVC002 A2963 RMK MADISHF
ACY,2017-04-01 00:45,-74.5772,39.4576,M,M,M,170.00,6.00,M,29.63,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010045Z AUTO 17006KT 1SM BR OVC002 A2963 RMK MADISHF
ACY,2017-04-01 00:50,-74.5772,39.4576,M,M,M,180.00,7.00,M,29.63,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010050Z AUTO 18007KT 1SM BR OVC002 A2963 RMK MADISHF
ACY,2017-04-01 00:54,-74.5772,39.4576,54.00,53.10,96.76,170.00,6.00,0.00,29.63,1003.10,0.12,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010054Z 17006KT 1/8SM BR OVC002 12/12 A2963 RMK AO2 SFC VIS 3/4 SLP031 T01220117
ACY,2017-04-01 00:55,-74.5772,39.4576,M,M,M,170.00,6.00,M,29.63,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010055Z AUTO 17006KT 1SM BR OVC002 A2963 RMK MADISHF
ACY,2017-04-01 01:00,-74.5772,39.4576,M,M,M,160.00,6.00,M,29.63,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010100Z AUTO 16006KT 1SM BR OVC002 A2963 RMK MADISHF
ACY,2017-04-01 01:05,-74.5772,39.4576,M,M,M,170.00,6.00,M,29.62,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010105Z AUTO 17006KT 1SM BR OVC002 A2962 RMK MADISHF
ACY,2017-04-01 01:10,-74.5772,39.4576,M,M,M,180.00,5.00,M,29.62,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010110Z AUTO 18005KT 1SM BR OVC002 A2962 RMK MADISHF
ACY,2017-04-01 01:15,-74.5772,39.4576,M,M,M,180.00,4.00,M,29.62,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010115Z AUTO 18004KT 1SM BR OVC002 A2962 RMK MADISHF
ACY,2017-04-01 01:20,-74.5772,39.4576,M,M,M,160.00,5.00,M,29.62,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010120Z AUTO 16005KT 1SM BR OVC002 A2962 RMK MADISHF
ACY,2017-04-01 01:25,-74.5772,39.4576,M,M,M,130.00,4.00,M,29.61,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010125Z AUTO 13004KT 1SM BR OVC002 A2961 RMK MADISHF
ACY,2017-04-01 01:30,-74.5772,39.4576,M,M,M,0.00,0.00,M,29.61,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010130Z AUTO 00000KT 1SM BR OVC002 A2961 RMK MADISHF
ACY,2017-04-01 01:35,-74.5772,39.4576,M,M,M,120.00,3.00,M,29.61,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010135Z AUTO 12003KT 1SM BR OVC002 A2961 RMK MADISHF
ACY,2017-04-01 01:40,-74.5772,39.4576,M,M,M,0.00,0.00,M,29.61,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010140Z AUTO 00000KT 1SM BR OVC002 A2961 RMK MADISHF
ACY,2017-04-01 01:45,-74.5772,39.4576,M,M,M,160.00,3.00,M,29.61,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KACY 010145Z AUTO 16003KT 1SM BR OVC002 A2961 RMK MADISHF
ACY,2017-04-01 01:50,-74.5772,39.4576,M,M,M,150.00,3.00,M,29.61,M,0.75,M,OVC,M,M,M,300.00,M,M,M,BR,KACY 010150Z AUTO 15003KT 1SM BR OVC003 A2961 RMK MADISHF
ACY,2017-04-01 01:54,-74.5772,39.4576,54.00,53.10,96.76,140.00,3.00,0.00,29.61,1002.50,0.12,M,VV ,M,M,M,300.00,M,M,M,BR,KACY 010154Z 14003KT 1/8SM BR VV003 12/12 A2961 RMK AO2 SFC VIS 3/4 SLP025 T01220117
ACY,2017-04-01 01:55,-74.5772,39.4576,M,M,M,130.00,4.00,M,29.61,M,0.75,M,VV ,M,M,M,300.00,M,M,M,BR,KACY 010155Z AUTO 13004KT 1SM BR VV003 A2961 RMK MADISHF
ACY,2017-04-01 02:00,-74.5772,39.4576,M,M,M,130.00,4.00,M,29.60,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010200Z AUTO 13004KT 1/2SM FG VV003 A2960 RMK MADISHF
ACY,2017-04-01 02:05,-74.5772,39.4576,M,M,M,130.00,3.00,M,29.60,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010205Z AUTO 13003KT 1/2SM FG VV003 A2960 RMK MADISHF
ACY,2017-04-01 02:10,-74.5772,39.4576,M,M,M,0.00,0.00,M,29.60,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010210Z AUTO 00000KT 1/2SM FG VV003 A2960 RMK MADISHF
ACY,2017-04-01 02:15,-74.5772,39.4576,M,M,M,0.00,0.00,M,29.60,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010215Z AUTO 00000KT 1/2SM FG VV003 A2960 RMK MADISHF
ACY,2017-04-01 02:20,-74.5772,39.4576,M,M,M,150.00,3.00,M,29.60,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010220Z AUTO 15003KT 1/2SM FG VV003 A2960 RMK MADISHF
ACY,2017-04-01 02:25,-74.5772,39.4576,M,M,M,160.00,3.00,M,29.59,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010225Z AUTO 16003KT 1/2SM FG VV003 A2959 RMK MADISHF
ACY,2017-04-01 02:30,-74.5772,39.4576,M,M,M,0.00,0.00,M,29.59,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010230Z AUTO 00000KT 1/2SM FG VV003 A2959 RMK MADISHF
ACY,2017-04-01 02:35,-74.5772,39.4576,M,M,M,0.00,0.00,M,29.59,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010235Z AUTO 00000KT 1/2SM FG VV003 A2959 RMK MADISHF
ACY,2017-04-01 02:40,-74.5772,39.4576,M,M,M,0.00,0.00,M,29.58,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KACY 010240Z AUTO 00000KT 1/2SM FG VV003 A2958 RMK MADISHF
ACY,2017-04-01 02:45,-74.5772,39.4576,M,M,M,0.00,0.00,M,29.58,M,0.50,M,VV ,M,M,M,400.00,M,M,M,FG,KACY 010245Z AUTO 00000KT 1/2SM FG VV004 A2958 RMK MADISHF
