#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ADF,2017-04-01 00:00,-93.0661,34.0998,M,M,M,0.00,0.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010000Z AUTO 00000KT 10SM CLR A2984 RMK MADISHF
ADF,2017-04-01 00:05,-93.0661,34.0998,M,M,M,0.00,0.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010005Z AUTO 00000KT 10SM CLR A2984 RMK MADISHF
ADF,2017-04-01 00:10,-93.0661,34.0998,M,M,M,60.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010010Z AUTO 06003KT 10SM CLR A2985 RMK MADISHF
ADF,2017-04-01 00:15,-93.0661,34.0998,M,M,M,40.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010015Z AUTO 04003KT 10SM CLR A2984 RMK MADISHF
ADF,2017-04-01 00:20,-93.0661,34.0998,M,M,M,10.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010020Z AUTO 01003KT 10SM CLR A2984 RMK MADISHF
ADF,2017-04-01 00:25,-93.0661,34.0998,M,M,M,20.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010025Z AUTO 02003KT 10SM CLR A2984 RMK MADISHF
ADF,2017-04-01 00:30,-93.0661,34.0998,M,M,M,20.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010030Z AUTO 02003KT 10SM CLR A2985 RMK MADISHF
ADF,2017-04-01 00:35,-93.0661,34.0998,M,M,M,20.00,4.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010035Z AUTO 02004KT 10SM CLR A2985 RMK MADISHF
ADF,2017-04-01 00:40,-93.0661,34.0998,M,M,M,40.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010040Z AUTO 04003KT 10SM CLR A2985 RMK MADISHF
ADF,2017-04-01 00:45,-93.0661,34.0998,M,M,M,20.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010045Z AUTO 02003KT 10SM CLR A2985 RMK MADISHF
ADF,2017-04-01 00:50,-93.0661,34.0998,M,M,M,40.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010050Z AUTO 04003KT 10SM CLR A2985 RMK MADISHF
ADF,2017-04-01 00:55,-93.0661,34.0998,M,M,M,20.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010055Z AUTO 02003KT 10SM CLR A2985 RMK MADISHF
ADF,2017-04-01 00:56,-93.0661,34.0998,68.00,59.00,72.92,20.00,3.00,0.00,29.85,1011.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010056Z AUTO 02003KT 10SM CLR 20/15 A2985 RMK AO2 SLP113 T02000150
ADF,2017-04-01 01:00,-93.0661,34.0998,M,M,M,20.00,4.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010100Z AUTO 02004KT 10SM CLR A2985 RMK MADISHF
ADF,2017-04-01 01:05,-93.0661,34.0998,M,M,M,10.00,3.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010105Z AUTO 01003KT 10SM CLR A2986 RMK MADISHF
ADF,2017-04-01 01:10,-93.0661,34.0998,M,M,M,30.00,3.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010110Z AUTO 03003KT 10SM CLR A2986 RMK MADISHF
ADF,2017-04-01 01:15,-93.0661,34.0998,M,M,M,20.00,4.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010115Z AUTO 02004KT 10SM CLR A2986 RMK MADISHF
ADF,2017-04-01 01:20,-93.0661,34.0998,M,M,M,40.00,3.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010120Z AUTO 04003KT 10SM CLR A2986 RMK MADISHF
ADF,2017-04-01 01:25,-93.0661,34.0998,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADF 010125Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
