#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ADH,2017-04-01 00:15,-96.6712,34.8043,69.80,50.00,49.37,80.00,6.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010015Z AUTO 08006KT 10SM CLR 21/10 A2979 RMK AO2
ADH,2017-04-01 00:35,-96.6712,34.8043,68.00,50.00,52.51,70.00,5.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010035Z AUTO 07005KT 10SM CLR 20/10 A2979 RMK AO2
ADH,2017-04-01 00:55,-96.6712,34.8043,68.00,48.20,49.10,70.00,6.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010055Z AUTO 07006KT 10SM CLR 20/09 A2980 RMK AO2
ADH,2017-04-01 01:15,-96.6712,34.8043,64.40,50.00,59.50,50.00,4.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010115Z AUTO 05004KT 10SM CLR 18/10 A2981 RMK AO2
ADH,2017-04-01 01:35,-96.6712,34.8043,62.60,50.00,63.38,50.00,6.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010135Z AUTO 05006KT 10SM CLR 17/10 A2982 RMK AO2
ADH,2017-04-01 01:55,-96.6712,34.8043,62.60,50.00,63.38,60.00,6.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010155Z AUTO 06006KT 10SM CLR 17/10 A2982 RMK AO2
ADH,2017-04-01 02:15,-96.6712,34.8043,62.60,48.20,59.26,60.00,5.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010215Z AUTO 06005KT 10SM CLR 17/09 A2983 RMK AO2
ADH,2017-04-01 02:35,-96.6712,34.8043,60.80,48.20,63.15,60.00,4.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010235Z AUTO 06004KT 10SM CLR 16/09 A2984 RMK AO2
ADH,2017-04-01 02:55,-96.6712,34.8043,60.80,48.20,63.15,0.00,0.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010255Z AUTO 00000KT 10SM CLR 16/09 A2985 RMK AO2
ADH,2017-04-01 03:15,-96.6712,34.8043,59.00,48.20,67.33,40.00,5.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010315Z AUTO 04005KT 10SM CLR 15/09 A2986 RMK AO2
ADH,2017-04-01 03:35,-96.6712,34.8043,59.00,48.20,67.33,40.00,4.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010335Z AUTO 04004KT 10SM CLR 15/09 A2987 RMK AO2
ADH,2017-04-01 03:55,-96.6712,34.8043,59.00,46.40,62.92,40.00,4.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010355Z AUTO 04004KT 10SM CLR 15/08 A2988 RMK AO2
ADH,2017-04-01 04:15,-96.6712,34.8043,57.20,46.40,67.12,20.00,6.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010415Z AUTO 02006KT 10SM CLR 14/08 A2988 RMK AO2
ADH,2017-04-01 04:35,-96.6712,34.8043,55.40,46.40,71.64,40.00,5.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010435Z AUTO 04005KT 10SM CLR 13/08 A2988 RMK AO2
ADH,2017-04-01 04:55,-96.6712,34.8043,55.40,46.40,71.64,40.00,4.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADH 010455Z AUTO 04004KT 10SM CLR 13/08 A2989 RMK AO2
