#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ADM,2017-04-01 00:15,-97.0195,34.3032,76.10,55.80,49.40,90.00,6.00,0.00,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010015Z AUTO 09006KT 10SM CLR 25/13 A2974 RMK AO2 T02450132
ADM,2017-04-01 00:35,-97.0195,34.3032,74.30,56.10,53.03,90.00,6.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010035Z AUTO 09006KT 10SM CLR 24/13 A2975 RMK AO2 T02350134
ADM,2017-04-01 00:55,-97.0195,34.3032,73.40,55.40,53.29,90.00,6.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010055Z 09006KT 10SM SKC 23/13 A2975
ADM,2017-04-01 01:15,-97.0195,34.3032,71.40,56.50,59.34,100.00,5.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010115Z AUTO 10005KT 10SM CLR 22/14 A2976 RMK AO2 T02190136
ADM,2017-04-01 01:35,-97.0195,34.3032,70.70,56.80,61.43,100.00,6.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010135Z AUTO 10006KT 10SM CLR 22/14 A2976 RMK AO2 T02150138
ADM,2017-04-01 01:55,-97.0195,34.3032,69.80,57.20,64.26,90.00,6.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010155Z 09006KT 10SM SKC 21/14 A2977
ADM,2017-04-01 02:15,-97.0195,34.3032,69.60,57.20,64.70,100.00,7.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010215Z AUTO 10007KT 10SM CLR 21/14 A2978 RMK AO2 T02090140
ADM,2017-04-01 02:35,-97.0195,34.3032,68.50,56.80,66.23,90.00,6.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010235Z AUTO 09006KT 10SM CLR 20/14 A2979 RMK AO2 T02030138
ADM,2017-04-01 02:55,-97.0195,34.3032,68.50,56.70,65.99,90.00,9.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010255Z AUTO 09009KT 10SM CLR 20/14 A2980 RMK AO2 T02030137
ADM,2017-04-01 03:15,-97.0195,34.3032,69.10,56.10,63.25,80.00,7.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010315Z AUTO 08007KT 10SM CLR 21/13 A2981 RMK AO2 T02060134
ADM,2017-04-01 03:30,-97.0195,34.3032,66.90,55.80,67.49,70.00,6.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010330Z AUTO 07006KT 10SM CLR 19/13 A2982 RMK AO2 T01940132
ADM,2017-04-01 03:50,-97.0195,34.3032,65.50,54.10,66.60,0.00,0.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010350Z AUTO 00000KT 10SM CLR 19/12 A2982 RMK AO2 T01860123
ADM,2017-04-01 04:10,-97.0195,34.3032,63.50,53.20,69.11,60.00,7.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010410Z AUTO 06007KT 10SM CLR 18/12 A2983 RMK AO2 T01750118
ADM,2017-04-01 04:35,-97.0195,34.3032,61.00,52.30,73.02,20.00,4.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010435Z AUTO 02004KT 10SM CLR 16/11 A2984 RMK AO2 T01610113
ADM,2017-04-01 04:55,-97.0195,34.3032,60.60,52.20,73.79,40.00,4.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010455Z AUTO 04004KT 10SM CLR 16/11 A2984 RMK AO2 T01590112
ADM,2017-04-01 05:15,-97.0195,34.3032,61.00,52.20,72.75,30.00,4.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010515Z AUTO 03004KT 10SM CLR 16/11 A2985 RMK AO2 T01610112
ADM,2017-04-01 05:35,-97.0195,34.3032,59.70,52.30,76.48,30.00,5.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010535Z AUTO 03005KT 10SM CLR 15/11 A2985 RMK AO2 T01540113
ADM,2017-04-01 05:55,-97.0195,34.3032,58.30,51.80,78.94,50.00,4.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010555Z AUTO 05004KT 10SM CLR 15/11 A2984 RMK AO2 T01460110 10254 20146 402660081
ADM,2017-04-01 06:15,-97.0195,34.3032,58.10,51.30,78.05,0.00,0.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010615Z AUTO 00000KT 10SM CLR 15/11 A2984 RMK AO2 T01450107
ADM,2017-04-01 06:35,-97.0195,34.3032,57.60,51.30,79.47,80.00,3.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010635Z AUTO 08003KT 10SM CLR 14/11 A2984 RMK AO2 LTG DSNT NW T01420107
ADM,2017-04-01 06:55,-97.0195,34.3032,58.10,51.80,79.51,80.00,4.00,0.00,29.84,M,5.00,M,CLR,M,M,M,M,M,M,M,HZ,KADM 010655Z AUTO 08004KT 5SM HZ CLR 15/11 A2984 RMK AO2 T01450110
ADM,2017-04-01 07:15,-97.0195,34.3032,58.10,51.30,78.05,0.00,0.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010715Z AUTO 00000KT 10SM CLR 15/11 A2984 RMK AO2 T01450107
ADM,2017-04-01 07:35,-97.0195,34.3032,56.30,50.20,79.95,0.00,0.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010735Z AUTO 00000KT 10SM CLR 14/10 A2984 RMK AO2 T01350101
ADM,2017-04-01 07:55,-97.0195,34.3032,56.30,50.70,81.45,0.00,0.00,0.00,29.84,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010755Z AUTO 00000KT 7SM CLR 14/10 A2984 RMK AO2 T01350104
ADM,2017-04-01 08:15,-97.0195,34.3032,53.80,49.30,84.68,0.00,0.00,0.00,29.84,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010815Z AUTO 00000KT 7SM CLR 12/10 A2984 RMK AO2 T01210096
ADM,2017-04-01 08:35,-97.0195,34.3032,55.00,50.20,83.82,0.00,0.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KADM 010835Z AUTO 00000KT 10SM CLR 13/10 A2984 RMK AO2 LTG DSNT N T01280101
