#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AEX,2017-04-01 00:00,-92.5586,31.3347,M,M,M,170.00,7.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010000Z AUTO 17007KT 10SM CLR A2984 RMK MADISHF
AEX,2017-04-01 00:05,-92.5586,31.3347,M,M,M,180.00,7.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010005Z AUTO 18007KT 10SM CLR A2984 RMK MADISHF
AEX,2017-04-01 00:10,-92.5586,31.3347,M,M,M,170.00,7.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010010Z AUTO 17007KT 10SM CLR A2984 RMK MADISHF
AEX,2017-04-01 00:15,-92.5586,31.3347,M,M,M,170.00,7.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010015Z AUTO 17007KT 10SM CLR A2984 RMK MADISHF
AEX,2017-04-01 00:20,-92.5586,31.3347,M,M,M,170.00,7.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010020Z AUTO 17007KT 10SM CLR A2984 RMK MADISHF
AEX,2017-04-01 00:25,-92.5586,31.3347,M,M,M,180.00,8.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010025Z AUTO 18008KT 10SM CLR A2984 RMK MADISHF
AEX,2017-04-01 00:30,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010030Z AUTO 17006KT 10SM CLR A2984 RMK MADISHF
AEX,2017-04-01 00:35,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010035Z AUTO 17006KT 10SM CLR A2984 RMK MADISHF
AEX,2017-04-01 00:40,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010040Z AUTO 17006KT 10SM CLR A2985 RMK MADISHF
AEX,2017-04-01 00:45,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010045Z AUTO 17006KT 10SM CLR A2985 RMK MADISHF
AEX,2017-04-01 00:50,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010050Z AUTO 17006KT 10SM CLR A2985 RMK MADISHF
AEX,2017-04-01 00:53,-92.5586,31.3347,71.10,57.90,63.05,170.00,7.00,0.00,29.85,1011.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010053Z 17007KT 10SM CLR 22/14 A2985 RMK AO2 SLP111 T02170144
AEX,2017-04-01 00:55,-92.5586,31.3347,M,M,M,170.00,7.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010055Z AUTO 17007KT 10SM CLR A2985 RMK MADISHF
AEX,2017-04-01 01:00,-92.5586,31.3347,M,M,M,170.00,7.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010100Z AUTO 17007KT 10SM CLR A2985 RMK MADISHF
AEX,2017-04-01 01:05,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010105Z AUTO 17006KT 10SM CLR A2985 RMK MADISHF
AEX,2017-04-01 01:10,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010110Z AUTO 17006KT 10SM CLR A2985 RMK MADISHF
AEX,2017-04-01 01:15,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010115Z AUTO 17006KT 10SM CLR A2985 RMK MADISHF
AEX,2017-04-01 01:20,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010120Z AUTO 17006KT 10SM CLR A2986 RMK MADISHF
AEX,2017-04-01 01:25,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010125Z AUTO 17006KT 10SM CLR A2986 RMK MADISHF
AEX,2017-04-01 01:30,-92.5586,31.3347,M,M,M,170.00,6.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010130Z AUTO 17006KT 10SM CLR A2986 RMK MADISHF
AEX,2017-04-01 01:35,-92.5586,31.3347,M,M,M,160.00,6.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010135Z AUTO 16006KT 10SM CLR A2986 RMK MADISHF
AEX,2017-04-01 01:40,-92.5586,31.3347,M,M,M,150.00,6.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010140Z AUTO 15006KT 10SM CLR A2986 RMK MADISHF
AEX,2017-04-01 01:45,-92.5586,31.3347,M,M,M,150.00,6.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010145Z AUTO 15006KT 10SM CLR A2987 RMK MADISHF
AEX,2017-04-01 01:50,-92.5586,31.3347,M,M,M,150.00,5.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010150Z AUTO 15005KT 10SM CLR A2987 RMK MADISHF
AEX,2017-04-01 01:53,-92.5586,31.3347,66.90,57.90,72.81,160.00,5.00,0.00,29.87,1011.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010153Z 16005KT 10SM CLR 19/14 A2987 RMK AO2 SLP118 T01940144
AEX,2017-04-01 01:55,-92.5586,31.3347,M,M,M,160.00,5.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010155Z AUTO 16005KT 10SM CLR A2987 RMK MADISHF
AEX,2017-04-01 02:00,-92.5586,31.3347,M,M,M,160.00,5.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010200Z AUTO 16005KT 10SM CLR A2987 RMK MADISHF
AEX,2017-04-01 02:05,-92.5586,31.3347,M,M,M,160.00,5.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010205Z AUTO 16005KT 10SM CLR A2987 RMK MADISHF
AEX,2017-04-01 02:10,-92.5586,31.3347,M,M,M,160.00,5.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010210Z AUTO 16005KT 10SM CLR A2988 RMK MADISHF
AEX,2017-04-01 02:15,-92.5586,31.3347,M,M,M,160.00,6.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010215Z AUTO 16006KT 10SM CLR A2988 RMK MADISHF
AEX,2017-04-01 02:20,-92.5586,31.3347,M,M,M,150.00,5.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010220Z AUTO 15005KT 10SM CLR A2988 RMK MADISHF
AEX,2017-04-01 02:25,-92.5586,31.3347,M,M,M,160.00,5.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010225Z AUTO 16005KT 10SM CLR A2988 RMK MADISHF
AEX,2017-04-01 02:30,-92.5586,31.3347,M,M,M,150.00,5.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010230Z AUTO 15005KT 10SM CLR A2988 RMK MADISHF
AEX,2017-04-01 02:35,-92.5586,31.3347,M,M,M,160.00,4.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010235Z AUTO 16004KT 10SM CLR A2988 RMK MADISHF
AEX,2017-04-01 02:40,-92.5586,31.3347,M,M,M,150.00,3.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010240Z AUTO 15003KT 10SM CLR A2989 RMK MADISHF
AEX,2017-04-01 02:45,-92.5586,31.3347,M,M,M,150.00,3.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010245Z AUTO 15003KT 10SM CLR A2989 RMK MADISHF
AEX,2017-04-01 02:50,-92.5586,31.3347,M,M,M,150.00,4.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010250Z AUTO 15004KT 10SM CLR A2989 RMK MADISHF
AEX,2017-04-01 02:53,-92.5586,31.3347,66.00,57.90,75.12,150.00,4.00,0.00,29.89,1012.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010253Z 15004KT 10SM CLR 19/14 A2989 RMK AO2 SLP126 T01890144 53019
AEX,2017-04-01 02:55,-92.5586,31.3347,M,M,M,150.00,4.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010255Z AUTO 15004KT 10SM CLR A2989 RMK MADISHF
AEX,2017-04-01 03:00,-92.5586,31.3347,M,M,M,140.00,5.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010300Z AUTO 14005KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:05,-92.5586,31.3347,M,M,M,140.00,5.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010305Z AUTO 14005KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:10,-92.5586,31.3347,M,M,M,140.00,5.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010310Z AUTO 14005KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:15,-92.5586,31.3347,M,M,M,140.00,5.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010315Z AUTO 14005KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:20,-92.5586,31.3347,M,M,M,140.00,4.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010320Z AUTO 14004KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:25,-92.5586,31.3347,M,M,M,140.00,4.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010325Z AUTO 14004KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:30,-92.5586,31.3347,M,M,M,140.00,4.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010330Z AUTO 14004KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:35,-92.5586,31.3347,M,M,M,150.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010335Z AUTO 15003KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:40,-92.5586,31.3347,M,M,M,150.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010340Z AUTO 15003KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:45,-92.5586,31.3347,M,M,M,160.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010345Z AUTO 16003KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:50,-92.5586,31.3347,M,M,M,140.00,4.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010350Z AUTO 14004KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 03:53,-92.5586,31.3347,64.00,57.90,80.54,130.00,5.00,0.00,29.90,1012.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010353Z 13005KT 10SM CLR 18/14 A2990 RMK AO2 SLP128 T01780144
AEX,2017-04-01 03:55,-92.5586,31.3347,M,M,M,140.00,5.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010355Z AUTO 14005KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 04:00,-92.5586,31.3347,M,M,M,140.00,4.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010400Z AUTO 14004KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 04:05,-92.5586,31.3347,M,M,M,140.00,4.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010405Z AUTO 14004KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 04:10,-92.5586,31.3347,M,M,M,150.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010410Z AUTO 15003KT 10SM CLR A2990 RMK MADISHF
AEX,2017-04-01 04:15,-92.5586,31.3347,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAEX 010415Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
