#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AHN,2017-04-01 00:00,-83.3264,33.9486,M,M,M,280.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010000Z AUTO 28006KT 10SM CLR A2983 RMK MADISHF
AHN,2017-04-01 00:05,-83.3264,33.9486,M,M,M,280.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010005Z AUTO 28006KT 10SM CLR A2983 RMK MADISHF
AHN,2017-04-01 00:10,-83.3264,33.9486,M,M,M,280.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010010Z AUTO 28005KT 10SM CLR A2983 RMK MADISHF
AHN,2017-04-01 00:15,-83.3264,33.9486,M,M,M,280.00,4.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010015Z AUTO 28004KT 10SM CLR A2983 RMK MADISHF
AHN,2017-04-01 00:20,-83.3264,33.9486,M,M,M,290.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010020Z AUTO 29005KT 10SM CLR A2983 RMK MADISHF
AHN,2017-04-01 00:25,-83.3264,33.9486,M,M,M,290.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010025Z AUTO 29005KT 10SM CLR A2983 RMK MADISHF
AHN,2017-04-01 00:30,-83.3264,33.9486,M,M,M,280.00,5.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010030Z AUTO 28005KT 10SM CLR A2984 RMK MADISHF
AHN,2017-04-01 00:35,-83.3264,33.9486,M,M,M,290.00,4.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010035Z AUTO 29004KT 10SM CLR A2984 RMK MADISHF
AHN,2017-04-01 00:40,-83.3264,33.9486,M,M,M,290.00,4.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010040Z AUTO 29004KT 10SM CLR A2984 RMK MADISHF
AHN,2017-04-01 00:45,-83.3264,33.9486,M,M,M,280.00,4.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010045Z AUTO 28004KT 10SM CLR A2984 RMK MADISHF
AHN,2017-04-01 00:50,-83.3264,33.9486,M,M,M,280.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010050Z AUTO 28003KT 10SM CLR A2985 RMK MADISHF
AHN,2017-04-01 00:51,-83.3264,33.9486,63.00,45.00,51.78,280.00,4.00,0.00,29.85,1010.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010051Z AUTO 28004KT 10SM CLR 17/07 A2985 RMK AO2 SLP103 T01720072
AHN,2017-04-01 00:55,-83.3264,33.9486,M,M,M,290.00,6.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010055Z AUTO 29006KT 10SM CLR A2985 RMK MADISHF
AHN,2017-04-01 01:00,-83.3264,33.9486,M,M,M,290.00,5.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010100Z AUTO 29005KT 10SM CLR A2985 RMK MADISHF
AHN,2017-04-01 01:05,-83.3264,33.9486,M,M,M,290.00,5.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010105Z AUTO 29005KT 10SM CLR A2986 RMK MADISHF
AHN,2017-04-01 01:10,-83.3264,33.9486,M,M,M,290.00,5.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010110Z AUTO 29005KT 10SM CLR A2986 RMK MADISHF
AHN,2017-04-01 01:15,-83.3264,33.9486,M,M,M,300.00,6.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010115Z AUTO 30006KT 10SM CLR A2986 RMK MADISHF
AHN,2017-04-01 01:20,-83.3264,33.9486,M,M,M,300.00,7.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010120Z AUTO 30007KT 10SM CLR A2986 RMK MADISHF
AHN,2017-04-01 01:25,-83.3264,33.9486,M,M,M,300.00,6.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010125Z AUTO 30006KT 10SM CLR A2987 RMK MADISHF
AHN,2017-04-01 01:30,-83.3264,33.9486,M,M,M,290.00,6.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010130Z AUTO 29006KT 10SM CLR A2987 RMK MADISHF
AHN,2017-04-01 01:35,-83.3264,33.9486,M,M,M,300.00,7.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010135Z AUTO 30007KT 10SM CLR A2987 RMK MADISHF
AHN,2017-04-01 01:40,-83.3264,33.9486,M,M,M,300.00,7.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010140Z AUTO 30007KT 10SM CLR A2988 RMK MADISHF
AHN,2017-04-01 01:45,-83.3264,33.9486,M,M,M,290.00,6.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010145Z AUTO 29006KT 10SM CLR A2988 RMK MADISHF
AHN,2017-04-01 01:50,-83.3264,33.9486,M,M,M,290.00,5.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010150Z AUTO 29005KT 10SM CLR A2988 RMK VRB05KT  MADISHF
AHN,2017-04-01 01:51,-83.3264,33.9486,62.10,45.00,53.45,M,5.00,0.00,29.88,1011.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010151Z AUTO VRB05KT 10SM CLR 17/07 A2988 RMK AO2 SLP115 T01670072 $
AHN,2017-04-01 01:55,-83.3264,33.9486,M,M,M,290.00,6.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010155Z AUTO 29006KT 10SM CLR A2988 RMK MADISHF
AHN,2017-04-01 02:00,-83.3264,33.9486,M,M,M,290.00,6.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010200Z AUTO 29006KT 10SM CLR A2988 RMK VRB06KT  MADISHF
AHN,2017-04-01 02:05,-83.3264,33.9486,M,M,M,290.00,7.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAHN 010205Z AUTO 29007KT 10SM CLR A2989 RMK MADISHF
