#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AIA,2017-04-01 00:00,-102.8000,42.0572,M,M,M,50.00,5.00,0.00,M,M,10.00,M,OVC,M,M,M,999.00,M,M,M,UP,KAIA 010000Z AUTO 05005KT 10SM UP OVC009 RMK P0000 CIG 8V13  MADISHF
AIA,2017-04-01 00:05,-102.8000,42.0572,M,M,M,50.00,6.00,0.00,M,M,10.00,M,OVC,M,M,M,999.00,M,M,M,UP,KAIA 010005Z AUTO 05006KT 10SM UP OVC009 RMK P0000 MADISHF
AIA,2017-04-01 00:10,-102.8000,42.0572,M,M,M,40.00,5.00,M,M,M,10.00,M,OVC,M,M,M,999.00,M,M,M,M,KAIA 010010Z AUTO 04005KT 10SM OVC009 RMK MADISHF
AIA,2017-04-01 00:15,-102.8000,42.0572,M,M,M,40.00,5.00,M,M,M,10.00,M,OVC,M,M,M,999.00,M,M,M,M,KAIA 010015Z AUTO 04005KT 10SM OVC009 RMK MADISHF
AIA,2017-04-01 00:20,-102.8000,42.0572,M,M,M,40.00,5.00,M,M,M,10.00,M,OVC,M,M,M,999.00,M,M,M,M,KAIA 010020Z AUTO 04005KT 10SM OVC009 RMK MADISHF
AIA,2017-04-01 00:25,-102.8000,42.0572,M,M,M,30.00,6.00,M,M,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KAIA 010025Z AUTO 03006KT 10SM OVC011 RMK CIG 5V13  MADISHF
AIA,2017-04-01 00:30,-102.8000,42.0572,M,M,M,30.00,6.00,M,M,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KAIA 010030Z AUTO 03006KT 10SM OVC009 RMK CIG 5V12  MADISHF
AIA,2017-04-01 00:35,-102.8000,42.0572,36.00,35.10,96.49,30.00,6.00,0.00,30.05,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KAIA 010035Z AUTO 03006KT 10SM OVC009 02/02 A3005 RMK AO2 UPB2355E09 CIG 005V013 P0000 T00220017
AIA,2017-04-01 00:40,-102.8000,42.0572,M,M,M,30.00,7.00,M,M,M,10.00,M,BKN,OVC,M,M,900.00,1200.00,M,M,M,KAIA 010040Z AUTO 03007KT 10SM BKN009 OVC012 RMK CIG 5V10  MADISHF
AIA,2017-04-01 00:45,-102.8000,42.0572,M,M,M,30.00,8.00,0.00,M,M,10.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,UP,KAIA 010045Z AUTO 03008KT 10SM UP BKN009 OVC013 RMK P0000 CIG 5V11  MADISHF
