#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AIG,2017-04-01 00:15,-89.1107,45.1542,44.20,20.50,38.50,20.00,6.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010015Z AUTO 02006KT 10SM CLR 07/M06 A2999 RMK AO2 T00681064
AIG,2017-04-01 00:35,-89.1107,45.1542,43.20,20.10,39.32,30.00,6.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010035Z AUTO 03006KT 10SM CLR 06/M07 A3000 RMK AO2 T00621066
AIG,2017-04-01 00:55,-89.1107,45.1542,40.80,22.10,46.95,20.00,5.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010055Z AUTO 02005KT 10SM CLR 05/M05 A3001 RMK AO2 T00491055
AIG,2017-04-01 01:15,-89.1107,45.1542,39.20,22.60,51.03,20.00,4.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010115Z AUTO 02004KT 10SM CLR 04/M05 A3002 RMK AO2 T00401052
AIG,2017-04-01 01:35,-89.1107,45.1542,37.80,25.90,61.87,0.00,0.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010135Z AUTO 00000KT 10SM CLR 03/M03 A3003 RMK AO2 T00321034
AIG,2017-04-01 01:55,-89.1107,45.1542,37.00,20.80,51.55,30.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010155Z AUTO 03004KT 10SM CLR 03/M06 A3004 RMK AO2 T00281062
AIG,2017-04-01 02:15,-89.1107,45.1542,36.30,26.10,66.18,20.00,3.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010215Z AUTO 02003KT 10SM CLR 02/M03 A3005 RMK AO2 T00241033
AIG,2017-04-01 02:35,-89.1107,45.1542,36.50,20.30,51.47,350.00,5.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010235Z AUTO 35005KT 10SM CLR 03/M06 A3005 RMK AO2 T00251065
AIG,2017-04-01 02:55,-89.1107,45.1542,36.70,19.00,48.31,350.00,5.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010255Z AUTO 35005KT 10SM CLR 03/M07 A3005 RMK AO2 T00261072
AIG,2017-04-01 03:15,-89.1107,45.1542,34.90,20.70,55.78,10.00,6.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIG 010315Z AUTO 01006KT 10SM CLR 02/M06 A3005 RMK AO2 T00161063
