#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AIK,2017-04-01 00:15,-81.6850,33.6494,68.00,44.60,42.85,280.00,6.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010015Z AUTO 28006KT 10SM CLR 20/07 A2981 RMK AO2
AIK,2017-04-01 00:35,-81.6850,33.6494,66.20,44.60,45.60,290.00,4.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010035Z AUTO 29004KT 10SM CLR 19/07 A2983 RMK AO2
AIK,2017-04-01 00:55,-81.6850,33.6494,66.20,44.60,45.60,280.00,5.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010055Z AUTO 28005KT 10SM CLR 19/07 A2984 RMK AO2
AIK,2017-04-01 01:15,-81.6850,33.6494,64.40,44.60,48.55,290.00,4.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010115Z AUTO 29004KT 10SM CLR 18/07 A2985 RMK AO2
AIK,2017-04-01 01:35,-81.6850,33.6494,64.40,44.60,48.55,300.00,7.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010135Z AUTO 30007KT 10SM CLR 18/07 A2986 RMK AO2
AIK,2017-04-01 01:55,-81.6850,33.6494,64.40,44.60,48.55,290.00,4.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010155Z AUTO 29004KT 10SM CLR 18/07 A2987 RMK AO2
AIK,2017-04-01 02:15,-81.6850,33.6494,62.60,44.60,51.72,300.00,4.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010215Z AUTO 30004KT 10SM CLR 17/07 A2988 RMK AO2
AIK,2017-04-01 02:35,-81.6850,33.6494,60.80,44.60,55.12,290.00,5.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010235Z AUTO 29005KT 10SM CLR 16/07 A2988 RMK AO2
AIK,2017-04-01 02:55,-81.6850,33.6494,60.80,44.60,55.12,280.00,4.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010255Z AUTO 28004KT 10SM CLR 16/07 A2990 RMK AO2
AIK,2017-04-01 03:15,-81.6850,33.6494,60.80,44.60,55.12,300.00,5.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010315Z AUTO 30005KT 10SM CLR 16/07 A2990 RMK AO2
AIK,2017-04-01 03:35,-81.6850,33.6494,60.80,44.60,55.12,290.00,7.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010335Z AUTO 29007KT 10SM CLR 16/07 A2990 RMK AO2
AIK,2017-04-01 03:55,-81.6850,33.6494,60.80,44.60,55.12,300.00,7.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010355Z AUTO 30007KT 10SM CLR 16/07 A2991 RMK AO2
AIK,2017-04-01 04:15,-81.6850,33.6494,60.80,44.60,55.12,290.00,6.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010415Z AUTO 29006KT 10SM CLR 16/07 A2991 RMK AO2
AIK,2017-04-01 04:35,-81.6850,33.6494,60.80,44.60,55.12,300.00,8.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010435Z AUTO 30008KT 10SM CLR 16/07 A2992 RMK AO2
AIK,2017-04-01 04:55,-81.6850,33.6494,59.00,44.60,58.77,300.00,5.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010455Z AUTO 30005KT 10SM CLR 15/07 A2992 RMK AO2
AIK,2017-04-01 05:15,-81.6850,33.6494,59.00,44.60,58.77,300.00,4.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010515Z AUTO 30004KT 10SM CLR 15/07 A2992 RMK AO2
AIK,2017-04-01 05:35,-81.6850,33.6494,59.00,44.60,58.77,300.00,5.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010535Z AUTO 30005KT 10SM CLR 15/07 A2993 RMK AO2
AIK,2017-04-01 05:55,-81.6850,33.6494,57.20,44.60,62.69,280.00,4.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010555Z AUTO 28004KT 10SM CLR 14/07 A2993 RMK AO2
AIK,2017-04-01 06:15,-81.6850,33.6494,55.40,44.60,66.91,270.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010615Z AUTO 27003KT 10SM CLR 13/07 A2992 RMK AO2
AIK,2017-04-01 06:35,-81.6850,33.6494,53.60,44.60,71.45,280.00,4.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010635Z AUTO 28004KT 10SM CLR 12/07 A2992 RMK AO2
AIK,2017-04-01 06:55,-81.6850,33.6494,55.40,44.60,66.91,290.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010655Z AUTO 29003KT 10SM CLR 13/07 A2992 RMK AO2
AIK,2017-04-01 07:15,-81.6850,33.6494,53.60,44.60,71.45,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010715Z AUTO 00000KT 10SM CLR 12/07 A2993 RMK AO2
AIK,2017-04-01 07:35,-81.6850,33.6494,53.60,44.60,71.45,280.00,3.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAIK 010735Z AUTO 28003KT 10SM CLR 12/07 A2993 RMK AO2
