#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AIO,2017-04-01 00:00,-95.0465,41.4059,48.20,41.00,76.01,60.00,7.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KAIO 010000Z AUTO 06007KT 10SM OVC036 09/05 A3003 RMK AO2
AIO,2017-04-01 00:10,-95.0465,41.4059,48.20,41.00,76.01,60.00,7.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KAIO 010010Z AUTO 06007KT 10SM OVC036 09/05 A3003 RMK AO2
AIO,2017-04-01 00:15,-95.0465,41.4059,48.20,41.00,76.01,60.00,8.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KAIO 010015Z AUTO 06008KT 10SM OVC036 09/05 A3003 RMK AO2
AIO,2017-04-01 00:20,-95.0465,41.4059,48.20,41.00,76.01,70.00,9.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3800.00,M,M,M,M,KAIO 010020Z AUTO 07009KT 10SM OVC038 09/05 A3003 RMK AO2
AIO,2017-04-01 00:30,-95.0465,41.4059,48.20,41.00,76.01,70.00,6.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3700.00,M,M,M,M,KAIO 010030Z AUTO 07006KT 10SM OVC037 09/05 A3003 RMK AO2
AIO,2017-04-01 00:35,-95.0465,41.4059,48.20,41.00,76.01,70.00,5.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3700.00,M,M,M,M,KAIO 010035Z AUTO 07005KT 10SM OVC037 09/05 A3003 RMK AO2
AIO,2017-04-01 00:40,-95.0465,41.4059,48.20,41.00,76.01,60.00,5.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3700.00,M,M,M,M,KAIO 010040Z AUTO 06005KT 10SM OVC037 09/05 A3003 RMK AO2
AIO,2017-04-01 00:50,-95.0465,41.4059,48.20,41.00,76.01,70.00,6.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KAIO 010050Z AUTO 07006KT 10SM OVC036 09/05 A3003 RMK AO2
AIO,2017-04-01 00:55,-95.0465,41.4059,48.20,41.00,76.01,60.00,5.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KAIO 010055Z AUTO 06005KT 10SM OVC036 09/05 A3003 RMK AO2
AIO,2017-04-01 01:00,-95.0465,41.4059,46.40,41.00,81.34,70.00,6.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KAIO 010100Z AUTO 07006KT 10SM OVC036 08/05 A3003 RMK AO2
