#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AKO,2017-04-01 00:00,-103.2220,40.1756,M,M,M,80.00,12.00,M,29.98,M,1.25,M,OVC,M,M,M,300.00,M,M,M,BR,KAKO 010000Z AUTO 08012KT 1 1/2SM BR OVC003 A2998 RMK MADISHF
AKO,2017-04-01 00:05,-103.2220,40.1756,M,M,M,80.00,11.00,M,29.99,M,1.25,M,OVC,M,M,M,300.00,M,M,M,BR,KAKO 010005Z AUTO 08011KT 1 1/2SM BR OVC003 A2999 RMK MADISHF
AKO,2017-04-01 00:10,-103.2220,40.1756,M,M,M,80.00,11.00,M,29.99,M,1.50,M,OVC,M,M,M,300.00,M,M,M,BR,KAKO 010010Z AUTO 08011KT 1 1/2SM BR OVC003 A2999 RMK MADISHF
AKO,2017-04-01 00:13,-103.2220,40.1756,34.00,33.10,96.46,80.00,11.00,0.00,29.99,M,1.50,M,OVC,M,M,M,300.00,M,M,M,BR,KAKO 010013Z AUTO 08011KT 1 1/2SM BR OVC003 01/01 A2999 RMK AO2 T00110006
AKO,2017-04-01 00:15,-103.2220,40.1756,M,M,M,90.00,12.00,M,29.99,M,1.50,M,OVC,M,M,M,300.00,M,M,M,BR,KAKO 010015Z AUTO 09012KT 1 1/2SM BR OVC003 A2999 RMK MADISHF
AKO,2017-04-01 00:20,-103.2220,40.1756,M,M,M,90.00,11.00,M,29.99,M,1.50,M,OVC,M,M,M,300.00,M,M,M,BR,KAKO 010020Z AUTO 09011KT 1 1/2SM BR OVC003 A2999 RMK MADISHF
AKO,2017-04-01 00:25,-103.2220,40.1756,M,M,M,90.00,10.00,M,29.99,M,1.50,M,OVC,M,M,M,300.00,M,M,M,BR,KAKO 010025Z AUTO 09010KT 1 1/2SM BR OVC003 A2999 RMK MADISHF
AKO,2017-04-01 00:30,-103.2220,40.1756,M,M,M,90.00,10.00,M,30.00,M,1.50,M,OVC,M,M,M,300.00,M,M,M,BR,KAKO 010030Z AUTO 09010KT 1 1/2SM BR OVC003 A3000 RMK CIG 2V6  MADISHF
AKO,2017-04-01 00:35,-103.2220,40.1756,M,M,M,90.00,12.00,M,30.00,M,1.75,M,OVC,M,M,M,200.00,M,M,M,BR,KAKO 010035Z AUTO 09012KT 2SM BR OVC002 A3000 RMK CIG 2V6  MADISHF
AKO,2017-04-01 00:40,-103.2220,40.1756,M,M,M,100.00,12.00,M,30.00,M,2.00,M,OVC,M,M,M,200.00,M,M,M,BR,KAKO 010040Z AUTO 10012KT 2SM BR OVC002 A3000 RMK CIG 2V6  MADISHF
AKO,2017-04-01 00:43,-103.2220,40.1756,34.00,33.10,96.46,100.00,11.00,0.00,30.00,M,2.00,M,OVC,M,M,M,200.00,M,M,M,BR,KAKO 010043Z AUTO 10011KT 2SM BR OVC002 01/01 A3000 RMK AO2 CIG 002V006 T00110006
AKO,2017-04-01 00:45,-103.2220,40.1756,M,M,M,90.00,10.00,M,30.00,M,2.00,M,OVC,M,M,M,200.00,M,M,M,BR,KAKO 010045Z AUTO 09010KT 2SM BR OVC002 A3000 RMK CIG 2V6  MADISHF
AKO,2017-04-01 00:50,-103.2220,40.1756,M,M,M,90.00,9.00,M,30.00,M,2.00,M,OVC,M,M,M,200.00,M,M,M,BR,KAKO 010050Z AUTO 09009KT 2SM BR OVC002 A3000 RMK MADISHF
AKO,2017-04-01 00:53,-103.2220,40.1756,34.00,33.10,96.46,90.00,11.00,0.00,30.00,1017.80,1.75,M,OVC,M,M,M,200.00,M,M,M,BR,KAKO 010053Z AUTO 09011KT 1 3/4SM BR OVC002 01/01 A3000 RMK AO2 SLP178 T00110006
AKO,2017-04-01 00:55,-103.2220,40.1756,M,M,M,90.00,11.00,M,30.01,M,1.75,M,OVC,M,M,M,200.00,M,M,M,BR,KAKO 010055Z AUTO 09011KT 2SM BR OVC002 A3001 RMK MADISHF
AKO,2017-04-01 01:00,-103.2220,40.1756,M,M,M,90.00,10.00,M,30.01,M,1.50,M,OVC,M,M,M,200.00,M,M,M,BR,KAKO 010100Z AUTO 09010KT 1 1/2SM BR OVC002 A3001 RMK MADISHF
AKO,2017-04-01 01:05,-103.2220,40.1756,M,M,M,90.00,9.00,M,30.01,M,1.50,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KAKO 010105Z AUTO 09009KT 1 1/2SM -RA BR OVC002 A3001 RMK MADISHF
AKO,2017-04-01 01:10,-103.2220,40.1756,M,M,M,80.00,8.00,M,30.01,M,1.50,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KAKO 010110Z AUTO 08008KT 1 1/2SM -RA BR OVC002 A3001 RMK MADISHF
AKO,2017-04-01 01:15,-103.2220,40.1756,M,M,M,70.00,11.00,0.00,30.01,M,2.00,M,OVC,M,M,M,200.00,M,M,M,UP BR,KAKO 010115Z AUTO 07011KT 2SM UP BR OVC002 A3001 RMK P0000 MADISHF
AKO,2017-04-01 01:20,-103.2220,40.1756,34.00,33.10,96.46,80.00,9.00,0.00,30.01,M,2.00,M,OVC,M,M,M,200.00,M,M,M,UP BR,KAKO 010120Z AUTO 08009KT 2SM UP BR OVC002 01/01 A3001 RMK AO2 RAB05E14UPB14 P0000 T00110006
AKO,2017-04-01 01:25,-103.2220,40.1756,M,M,M,70.00,8.00,0.00,30.01,M,2.00,M,OVC,M,M,M,200.00,M,M,M,UP BR,KAKO 010125Z AUTO 07008KT 2SM UP BR OVC002 A3001 RMK P0000 MADISHF
