#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ALB,2017-04-01 00:00,-73.8036,42.7576,M,M,M,20.00,3.00,0.01,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1100.00,1500.00,M,-RA BR,KALB 010000Z AUTO 02003KT 3SM -RA BR FEW007 BKN011 OVC015 A2989 RMK P0001 MADISHF
ALB,2017-04-01 00:05,-73.8036,42.7576,M,M,M,30.00,3.00,0.02,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1100.00,1500.00,M,-RA BR,KALB 010005Z AUTO 03003KT 3SM -RA BR FEW007 BKN011 OVC015 A2989 RMK P0002 MADISHF
ALB,2017-04-01 00:10,-73.8036,42.7576,M,M,M,20.00,3.00,0.02,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1100.00,1500.00,M,-RA BR,KALB 010010Z AUTO 02003KT 3SM -RA BR FEW007 BKN011 OVC015 A2989 RMK P0002 MADISHF
ALB,2017-04-01 00:15,-73.8036,42.7576,M,M,M,20.00,3.00,0.02,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1100.00,1500.00,M,-RA BR,KALB 010015Z AUTO 02003KT 3SM -RA BR FEW007 BKN011 OVC015 A2989 RMK P0002 MADISHF
ALB,2017-04-01 00:20,-73.8036,42.7576,M,M,M,20.00,3.00,0.02,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1300.00,2500.00,M,-RA BR,KALB 010020Z AUTO 02003KT 3SM -RA BR FEW007 BKN013 OVC025 A2989 RMK P0002 MADISHF
ALB,2017-04-01 00:25,-73.8036,42.7576,M,M,M,30.00,3.00,0.03,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1300.00,2500.00,M,-RA BR,KALB 010025Z AUTO 03003KT 3SM -RA BR FEW007 BKN013 OVC025 A2989 RMK P0003 MADISHF
ALB,2017-04-01 00:35,-73.8036,42.7576,M,M,M,0.00,0.00,0.04,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1300.00,2500.00,M,-RA BR,KALB 010035Z AUTO 00000KT 3SM -RA BR FEW007 BKN013 OVC025 A2989 RMK P0004 MADISHF
ALB,2017-04-01 00:36,-73.8036,42.7576,36.00,33.10,89.09,0.00,0.00,0.04,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1300.00,2500.00,M,-RAPL BR,KALB 010036Z 00000KT 3SM -RAPL BR FEW007 BKN013 OVC025 02/01 A2989 RMK AO2 TWR VIS 4 PLB36 P0004 T00220006
ALB,2017-04-01 00:40,-73.8036,42.7576,M,M,M,0.00,0.00,0.04,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1300.00,2500.00,M,-RA -PL BR,KALB 010040Z AUTO 00000KT 3SM -RA -PL BR FEW007 BKN013 OVC025 A2989 RMK P0004 MADISHF
ALB,2017-04-01 00:45,-73.8036,42.7576,M,M,M,10.00,3.00,0.04,29.89,M,3.00,M,FEW,BKN,OVC,M,700.00,1300.00,2500.00,M,-RA -PL BR,KALB 010045Z AUTO 01003KT 3SM -RA -PL BR FEW007 BKN013 OVC025 A2989 RMK P0004 MADISHF
