#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ALM,2017-04-01 00:15,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010015Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 00:35,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010035Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 00:55,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010055Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 01:15,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010115Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 01:35,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010135Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 01:55,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010155Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 02:15,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010215Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 02:35,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010235Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 02:55,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010255Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 03:15,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010315Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 03:35,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010335Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 03:55,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010355Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 04:15,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010415Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 04:35,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010435Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 04:55,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010455Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 05:15,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010515Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 05:35,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010535Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 05:55,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010555Z AUTO RMK AO2 PWINO TSNO
ALM,2017-04-01 06:15,-105.9906,32.8399,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,M,KALM 010615Z AUTO RMK AO2 PWINO TSNO
