#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ALX,2017-04-01 00:15,-85.9630,32.9147,69.40,46.20,43.40,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010015Z AUTO 00000KT 10SM CLR 21/08 A2989 RMK AO2 T02080079
ALX,2017-04-01 00:35,-85.9630,32.9147,67.50,47.50,48.66,300.00,3.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010035Z AUTO 30003KT 10SM CLR 20/09 A2989 RMK AO2 T01970086
ALX,2017-04-01 00:55,-85.9630,32.9147,66.40,47.10,49.79,310.00,3.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010055Z AUTO 31003KT 10SM CLR 19/08 A2990 RMK AO2 T01910084
ALX,2017-04-01 01:15,-85.9630,32.9147,63.90,48.70,57.68,310.00,4.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010115Z AUTO 31004KT 10SM CLR 18/09 A2990 RMK AO2 T01770093
ALX,2017-04-01 01:35,-85.9630,32.9147,64.20,47.70,54.98,320.00,4.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010135Z AUTO 32004KT 10SM CLR 18/09 A2991 RMK AO2 T01790087
ALX,2017-04-01 01:55,-85.9630,32.9147,58.60,50.00,73.05,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010155Z AUTO 00000KT 10SM CLR 15/10 A2992 RMK AO2 T01480100
ALX,2017-04-01 02:15,-85.9630,32.9147,58.30,51.10,76.92,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010215Z AUTO 00000KT 10SM CLR 15/11 A2993 RMK AO2 T01460106
ALX,2017-04-01 02:35,-85.9630,32.9147,56.50,49.50,77.34,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010235Z AUTO 00000KT 10SM CLR 14/10 A2994 RMK AO2 T01360097
ALX,2017-04-01 02:55,-85.9630,32.9147,56.30,49.80,78.77,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010255Z AUTO 00000KT 10SM CLR 14/10 A2994 RMK AO2 T01350099
ALX,2017-04-01 03:15,-85.9630,32.9147,55.20,49.10,79.87,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010315Z AUTO 00000KT 10SM CLR 13/10 A2995 RMK AO2 T01290095
ALX,2017-04-01 03:35,-85.9630,32.9147,55.00,49.10,80.45,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010335Z AUTO 00000KT 10SM CLR 13/10 A2995 RMK AO2 T01280095
ALX,2017-04-01 03:55,-85.9630,32.9147,53.40,49.30,85.93,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010355Z AUTO 00000KT 10SM CLR 12/10 A2996 RMK AO2 T01190096
ALX,2017-04-01 04:15,-85.9630,32.9147,53.80,48.70,82.81,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010415Z AUTO 00000KT 10SM CLR 12/09 A2996 RMK AO2 T01210093
ALX,2017-04-01 04:35,-85.9630,32.9147,52.20,48.90,88.47,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010435Z AUTO 00000KT 10SM CLR 11/09 A2996 RMK AO2 T01120094
ALX,2017-04-01 04:55,-85.9630,32.9147,51.80,48.70,89.12,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010455Z AUTO 00000KT 10SM CLR 11/09 A2996 RMK AO2 T01100093
ALX,2017-04-01 05:15,-85.9630,32.9147,52.00,49.50,91.15,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010515Z AUTO 00000KT 10SM CLR 11/10 A2996 RMK AO2 T01110097
ALX,2017-04-01 05:35,-85.9630,32.9147,52.20,49.30,89.81,10.00,4.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010535Z AUTO 01004KT 10SM CLR 11/10 A2997 RMK AO2 T01120096
ALX,2017-04-01 05:55,-85.9630,32.9147,53.80,49.30,84.68,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010555Z AUTO 00000KT 10SM CLR 12/10 A2997 RMK AO2 T01210096 10213 20110
ALX,2017-04-01 06:15,-85.9630,32.9147,53.60,48.90,84.04,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KALX 010615Z AUTO 00000KT 10SM CLR 12/09 A2997 RMK AO2 T01200094
