#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AMA,2017-04-01 00:00,-101.7059,35.2194,M,M,M,80.00,16.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMA 010000Z AUTO 08016KT 10SM CLR A2972 RMK MADISHF
AMA,2017-04-01 00:05,-101.7059,35.2194,M,M,M,M,M,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMA 010005Z AUTO /////KT 10SM CLR A2972 RMK MADISHF
AMA,2017-04-01 00:10,-101.7059,35.2194,M,M,M,M,M,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMA 010010Z AUTO /////KT 10SM CLR A2973 RMK MADISHF
AMA,2017-04-01 00:15,-101.7059,35.2194,M,M,M,70.00,17.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMA 010015Z AUTO 07017KT 10SM CLR A2973 RMK MADISHF
AMA,2017-04-01 00:20,-101.7059,35.2194,M,M,M,70.00,16.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMA 010020Z AUTO 07016KT 10SM CLR A2973 RMK MADISHF
AMA,2017-04-01 00:25,-101.7059,35.2194,M,M,M,70.00,15.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMA 010025Z AUTO 07015KT 10SM CLR A2973 RMK MADISHF
AMA,2017-04-01 00:30,-101.7059,35.2194,M,M,M,60.00,11.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMA 010030Z AUTO 06011KT 10SM CLR A2974 RMK MADISHF
AMA,2017-04-01 00:35,-101.7059,35.2194,M,M,M,60.00,13.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMA 010035Z AUTO 06013KT 10SM CLR A2975 RMK MADISHF
AMA,2017-04-01 00:40,-101.7059,35.2194,M,M,M,40.00,14.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMA 010040Z AUTO 04014KT 10SM CLR A2975 RMK MADISHF
AMA,2017-04-01 00:45,-101.7059,35.2194,M,M,M,50.00,15.00,M,29.75,M,10.00,20.00,CLR,M,M,M,M,M,M,M,M,KAMA 010045Z AUTO 05015G20KT 10SM CLR A2975 RMK MADISHF
