#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AMG,2017-04-01 00:00,-82.5066,31.5361,M,M,M,260.00,5.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010000Z AUTO 26005KT 10SM CLR A2981 RMK MADISHF
AMG,2017-04-01 00:05,-82.5066,31.5361,M,M,M,270.00,6.00,M,29.81,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KAMG 010005Z AUTO 27006KT 10SM FEW065 A2981 RMK MADISHF
AMG,2017-04-01 00:10,-82.5066,31.5361,M,M,M,270.00,5.00,M,29.82,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KAMG 010010Z AUTO 27005KT 10SM SCT065 A2982 RMK MADISHF
AMG,2017-04-01 00:15,-82.5066,31.5361,M,M,M,260.00,5.00,M,29.82,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KAMG 010015Z AUTO 26005KT 10SM SCT065 A2982 RMK MADISHF
AMG,2017-04-01 00:20,-82.5066,31.5361,M,M,M,260.00,5.00,M,29.82,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KAMG 010020Z AUTO 26005KT 10SM SCT065 A2982 RMK MADISHF
AMG,2017-04-01 00:25,-82.5066,31.5361,M,M,M,250.00,4.00,M,29.82,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KAMG 010025Z AUTO 25004KT 10SM FEW065 A2982 RMK MADISHF
AMG,2017-04-01 00:30,-82.5066,31.5361,M,M,M,260.00,3.00,M,29.82,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KAMG 010030Z AUTO 26003KT 10SM FEW065 A2982 RMK MADISHF
AMG,2017-04-01 00:35,-82.5066,31.5361,M,M,M,250.00,4.00,M,29.83,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KAMG 010035Z AUTO 25004KT 10SM SCT065 A2983 RMK MADISHF
AMG,2017-04-01 00:40,-82.5066,31.5361,M,M,M,260.00,3.00,M,29.83,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KAMG 010040Z AUTO 26003KT 10SM FEW065 A2983 RMK MADISHF
AMG,2017-04-01 00:45,-82.5066,31.5361,M,M,M,260.00,3.00,M,29.83,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KAMG 010045Z AUTO 26003KT 10SM FEW065 A2983 RMK MADISHF
AMG,2017-04-01 00:50,-82.5066,31.5361,M,M,M,260.00,3.00,M,29.83,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KAMG 010050Z AUTO 26003KT 10SM FEW065 A2983 RMK MADISHF
AMG,2017-04-01 00:53,-82.5066,31.5361,72.00,54.00,53.09,0.00,0.00,0.00,29.83,1009.90,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KAMG 010053Z AUTO 00000KT 10SM FEW065 22/12 A2983 RMK AO2 SLP099 T02220122
AMG,2017-04-01 00:55,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.83,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KAMG 010055Z AUTO 00000KT 10SM FEW065 A2983 RMK MADISHF
AMG,2017-04-01 01:00,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.84,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KAMG 010100Z AUTO 00000KT 10SM FEW065 A2984 RMK MADISHF
AMG,2017-04-01 01:05,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010105Z AUTO 00000KT 10SM CLR A2984 RMK MADISHF
AMG,2017-04-01 01:10,-82.5066,31.5361,M,M,M,260.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010110Z AUTO 26003KT 10SM CLR A2984 RMK MADISHF
AMG,2017-04-01 01:15,-82.5066,31.5361,M,M,M,250.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010115Z AUTO 25003KT 10SM CLR A2984 RMK MADISHF
AMG,2017-04-01 01:20,-82.5066,31.5361,M,M,M,250.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010120Z AUTO 25003KT 10SM CLR A2984 RMK MADISHF
AMG,2017-04-01 01:25,-82.5066,31.5361,M,M,M,270.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010125Z AUTO 27003KT 10SM CLR A2984 RMK MADISHF
AMG,2017-04-01 01:30,-82.5066,31.5361,M,M,M,260.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010130Z AUTO 26003KT 10SM CLR A2985 RMK MADISHF
AMG,2017-04-01 01:35,-82.5066,31.5361,M,M,M,270.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010135Z AUTO 27003KT 10SM CLR A2985 RMK MADISHF
AMG,2017-04-01 01:40,-82.5066,31.5361,M,M,M,260.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010140Z AUTO 26003KT 10SM CLR A2985 RMK MADISHF
AMG,2017-04-01 01:45,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010145Z AUTO 00000KT 10SM CLR A2985 RMK MADISHF
AMG,2017-04-01 01:50,-82.5066,31.5361,M,M,M,250.00,3.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010150Z AUTO 25003KT 10SM CLR A2985 RMK MADISHF
AMG,2017-04-01 01:53,-82.5066,31.5361,66.90,55.90,67.74,240.00,3.00,0.00,29.85,1010.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010153Z AUTO 24003KT 10SM CLR 19/13 A2985 RMK AO2 SLP107 T01940133
AMG,2017-04-01 01:55,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010155Z AUTO 00000KT 10SM CLR A2985 RMK MADISHF
AMG,2017-04-01 02:00,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010200Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
AMG,2017-04-01 02:05,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010205Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
AMG,2017-04-01 02:10,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010210Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
AMG,2017-04-01 02:15,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010215Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
AMG,2017-04-01 02:20,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010220Z AUTO 00000KT 10SM CLR A2987 RMK MADISHF
AMG,2017-04-01 02:25,-82.5066,31.5361,M,M,M,0.00,0.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010225Z AUTO 00000KT 10SM CLR A2987 RMK MADISHF
AMG,2017-04-01 02:30,-82.5066,31.5361,M,M,M,230.00,3.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMG 010230Z AUTO 23003KT 10SM CLR A2987 RMK MADISHF
