#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ANB,2017-04-01 00:00,-85.8581,33.5882,M,M,M,290.00,4.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010000Z AUTO 29004KT 10SM CLR A2988 RMK MADISHF
ANB,2017-04-01 00:05,-85.8581,33.5882,M,M,M,290.00,3.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010005Z AUTO 29003KT 10SM CLR A2988 RMK MADISHF
ANB,2017-04-01 00:10,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010010Z AUTO 00000KT 10SM CLR A2988 RMK MADISHF
ANB,2017-04-01 00:15,-85.8581,33.5882,M,M,M,290.00,3.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010015Z AUTO 29003KT 10SM CLR A2988 RMK MADISHF
ANB,2017-04-01 00:20,-85.8581,33.5882,M,M,M,310.00,4.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010020Z AUTO 31004KT 10SM CLR A2988 RMK MADISHF
ANB,2017-04-01 00:25,-85.8581,33.5882,M,M,M,300.00,4.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010025Z AUTO 30004KT 10SM CLR A2988 RMK MADISHF
ANB,2017-04-01 00:30,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010030Z AUTO 00000KT 10SM CLR A2988 RMK MADISHF
ANB,2017-04-01 00:35,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010035Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
ANB,2017-04-01 00:40,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010040Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
ANB,2017-04-01 00:45,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010045Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
ANB,2017-04-01 00:50,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010050Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
ANB,2017-04-01 00:53,-85.8581,33.5882,62.10,48.90,61.91,0.00,0.00,0.00,29.89,1012.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010053Z AUTO 00000KT 10SM CLR 17/09 A2989 RMK AO2 SLP120 T01670094
ANB,2017-04-01 00:55,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010055Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
ANB,2017-04-01 01:00,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010100Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
ANB,2017-04-01 01:05,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010105Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
ANB,2017-04-01 01:10,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010110Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
ANB,2017-04-01 01:15,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010115Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
ANB,2017-04-01 01:20,-85.8581,33.5882,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KANB 010120Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
