#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AND,2017-04-01 00:00,-82.7094,34.4946,M,M,M,310.00,7.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010000Z AUTO 31007KT 10SM CLR A2980 RMK MADISHF
AND,2017-04-01 00:05,-82.7094,34.4946,M,M,M,330.00,5.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010005Z AUTO 33005KT 10SM CLR A2980 RMK MADISHF
AND,2017-04-01 00:10,-82.7094,34.4946,M,M,M,320.00,8.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010010Z AUTO 32008KT 10SM CLR A2981 RMK MADISHF
AND,2017-04-01 00:15,-82.7094,34.4946,M,M,M,320.00,8.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010015Z AUTO 32008KT 10SM CLR A2981 RMK MADISHF
AND,2017-04-01 00:20,-82.7094,34.4946,M,M,M,310.00,10.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010020Z AUTO 31010KT 10SM CLR A2981 RMK MADISHF
AND,2017-04-01 00:25,-82.7094,34.4946,M,M,M,310.00,11.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010025Z AUTO 31011KT 10SM CLR A2981 RMK MADISHF
AND,2017-04-01 00:30,-82.7094,34.4946,M,M,M,310.00,11.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010030Z AUTO 31011KT 10SM CLR A2981 RMK MADISHF
AND,2017-04-01 00:35,-82.7094,34.4946,M,M,M,M,M,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010035Z AUTO /////KT 10SM CLR A2981 RMK MADISHF
AND,2017-04-01 00:40,-82.7094,34.4946,M,M,M,M,M,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010040Z AUTO /////KT 10SM CLR A2981 RMK MADISHF
AND,2017-04-01 00:45,-82.7094,34.4946,M,M,M,M,M,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010045Z AUTO /////KT 10SM CLR A2982 RMK MADISHF
AND,2017-04-01 00:50,-82.7094,34.4946,M,M,M,300.00,13.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010050Z AUTO 30013KT 10SM CLR A2982 RMK MADISHF
AND,2017-04-01 00:55,-82.7094,34.4946,M,M,M,300.00,13.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010055Z AUTO 30013KT 10SM CLR A2982 RMK MADISHF
AND,2017-04-01 00:56,-82.7094,34.4946,64.90,43.00,44.88,300.00,12.00,0.00,29.82,1009.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010056Z AUTO 30012KT 10SM CLR 18/06 A2982 RMK AO2 SLP092 T01830061
AND,2017-04-01 01:00,-82.7094,34.4946,M,M,M,300.00,12.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010100Z AUTO 30012KT 10SM CLR A2983 RMK MADISHF
AND,2017-04-01 01:05,-82.7094,34.4946,M,M,M,300.00,11.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010105Z AUTO 30011KT 10SM CLR A2983 RMK MADISHF
AND,2017-04-01 01:10,-82.7094,34.4946,M,M,M,300.00,12.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010110Z AUTO 30012KT 10SM CLR A2984 RMK MADISHF
AND,2017-04-01 01:15,-82.7094,34.4946,M,M,M,290.00,13.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010115Z AUTO 29013KT 10SM CLR A2984 RMK MADISHF
AND,2017-04-01 01:20,-82.7094,34.4946,M,M,M,300.00,12.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010120Z AUTO 30012KT 10SM CLR A2984 RMK MADISHF
AND,2017-04-01 01:25,-82.7094,34.4946,M,M,M,M,M,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010125Z AUTO /////KT 10SM CLR A2984 RMK MADISHF
AND,2017-04-01 01:30,-82.7094,34.4946,M,M,M,300.00,13.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010130Z AUTO 30013KT 10SM CLR A2984 RMK MADISHF
AND,2017-04-01 01:35,-82.7094,34.4946,M,M,M,300.00,12.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010135Z AUTO 30012KT 10SM CLR A2985 RMK MADISHF
AND,2017-04-01 01:40,-82.7094,34.4946,M,M,M,300.00,10.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010140Z AUTO 30010KT 10SM CLR A2985 RMK MADISHF
AND,2017-04-01 01:45,-82.7094,34.4946,M,M,M,310.00,11.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010145Z AUTO 31011KT 10SM CLR A2986 RMK MADISHF
AND,2017-04-01 01:50,-82.7094,34.4946,M,M,M,300.00,13.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010150Z AUTO 30013KT 10SM CLR A2986 RMK MADISHF
AND,2017-04-01 01:55,-82.7094,34.4946,M,M,M,300.00,13.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010155Z AUTO 30013KT 10SM CLR A2987 RMK MADISHF
AND,2017-04-01 01:56,-82.7094,34.4946,64.00,43.00,46.32,300.00,12.00,0.00,29.87,1010.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010156Z AUTO 30012KT 10SM CLR 18/06 A2987 RMK AO2 SLP107 T01780061
AND,2017-04-01 02:00,-82.7094,34.4946,M,M,M,290.00,13.00,M,29.87,M,10.00,20.00,CLR,M,M,M,M,M,M,M,M,KAND 010200Z AUTO 29013G20KT 10SM CLR A2987 RMK MADISHF
AND,2017-04-01 02:05,-82.7094,34.4946,M,M,M,300.00,14.00,M,29.86,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,KAND 010205Z AUTO 30014G19KT 10SM CLR A2986 RMK MADISHF
AND,2017-04-01 02:10,-82.7094,34.4946,M,M,M,M,M,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010210Z AUTO /////KT 10SM CLR A2986 RMK MADISHF
AND,2017-04-01 02:15,-82.7094,34.4946,M,M,M,300.00,11.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010215Z AUTO 30011KT 10SM CLR A2986 RMK MADISHF
AND,2017-04-01 02:20,-82.7094,34.4946,M,M,M,310.00,9.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010220Z AUTO 31009KT 10SM CLR A2986 RMK MADISHF
AND,2017-04-01 02:25,-82.7094,34.4946,M,M,M,310.00,10.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010225Z AUTO 31010KT 10SM CLR A2987 RMK MADISHF
AND,2017-04-01 02:30,-82.7094,34.4946,M,M,M,320.00,8.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010230Z AUTO 32008KT 10SM CLR A2987 RMK MADISHF
AND,2017-04-01 02:35,-82.7094,34.4946,M,M,M,330.00,6.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010235Z AUTO 33006KT 10SM CLR A2988 RMK MADISHF
AND,2017-04-01 02:40,-82.7094,34.4946,M,M,M,340.00,5.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010240Z AUTO 34005KT 10SM CLR A2988 RMK MADISHF
AND,2017-04-01 02:45,-82.7094,34.4946,M,M,M,330.00,5.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010245Z AUTO 33005KT 10SM CLR A2988 RMK MADISHF
AND,2017-04-01 02:50,-82.7094,34.4946,M,M,M,310.00,7.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010250Z AUTO 31007KT 10SM CLR A2988 RMK MADISHF
AND,2017-04-01 02:55,-82.7094,34.4946,M,M,M,310.00,7.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010255Z AUTO 31007KT 10SM CLR A2988 RMK MADISHF
AND,2017-04-01 02:56,-82.7094,34.4946,61.00,44.10,53.69,310.00,7.00,0.00,29.88,1011.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KAND 010256Z AUTO 31007KT 10SM CLR 16/07 A2988 RMK AO2 SLP110 T01610067 51027
