#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ANQ,2017-04-01 00:15,-85.0835,41.6397,37.40,30.20,74.98,350.00,9.00,0.00,29.86,M,4.00,M,BKN,OVC,M,M,700.00,1200.00,M,M,M,KANQ 010015Z AUTO 35009KT 4SM BKN007 OVC012 03/M01 A2986 RMK
ANQ,2017-04-01 00:35,-85.0835,41.6397,37.40,28.40,69.67,10.00,5.00,0.00,29.87,M,4.00,M,BKN,OVC,M,M,600.00,1200.00,M,M,M,KANQ 010035Z AUTO 01005KT 4SM BKN006 OVC012 03/M02 A2987 RMK
ANQ,2017-04-01 00:55,-85.0835,41.6397,37.40,28.40,69.67,360.00,3.00,0.00,29.88,M,4.00,M,OVC,M,M,M,600.00,M,M,M,M,KANQ 010055Z AUTO 36003KT 4SM OVC006 03/M02 A2988 RMK
ANQ,2017-04-01 01:15,-85.0835,41.6397,37.40,30.20,74.98,350.00,7.00,0.00,29.89,M,4.00,M,BKN,OVC,M,M,800.00,1400.00,M,M,M,KANQ 010115Z AUTO 35007KT 4SM BKN008 OVC014 03/M01 A2989 RMK
ANQ,2017-04-01 01:35,-85.0835,41.6397,37.40,30.20,74.98,350.00,7.00,0.00,29.90,M,8.00,M,BKN,OVC,M,M,1000.00,1400.00,M,M,M,KANQ 010135Z AUTO 35007KT 8SM BKN010 OVC014 03/M01 A2990 RMK
ANQ,2017-04-01 01:55,-85.0835,41.6397,37.40,30.20,74.98,350.00,7.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,1000.00,1600.00,M,M,M,KANQ 010155Z AUTO 35007KT 10SM BKN010 OVC016 03/M01 A2991 RMK
ANQ,2017-04-01 02:15,-85.0835,41.6397,37.40,28.40,69.67,360.00,6.00,0.00,29.92,M,10.00,M,BKN,OVC,M,M,1200.00,1700.00,M,M,M,KANQ 010215Z AUTO 36006KT 10SM BKN012 OVC017 03/M02 A2992 RMK
ANQ,2017-04-01 02:35,-85.0835,41.6397,35.60,28.40,74.80,360.00,5.00,0.00,29.92,M,10.00,M,BKN,OVC,M,M,1000.00,1500.00,M,M,M,KANQ 010235Z AUTO 36005KT 10SM BKN010 OVC015 02/M02 A2992 RMK
ANQ,2017-04-01 02:55,-85.0835,41.6397,35.60,28.40,74.80,10.00,8.00,0.00,29.93,M,10.00,M,BKN,OVC,M,M,1200.00,1800.00,M,M,M,KANQ 010255Z AUTO 01008KT 10SM BKN012 OVC018 02/M02 A2993 RMK
ANQ,2017-04-01 03:15,-85.0835,41.6397,35.60,26.60,69.46,10.00,5.00,0.00,29.93,M,10.00,M,BKN,OVC,M,M,1300.00,1800.00,M,M,M,KANQ 010315Z AUTO 01005KT 10SM BKN013 OVC018 02/M03 A2993 RMK
