#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ANW,2017-04-01 00:15,-99.9930,42.5792,46.40,35.60,65.83,0.00,0.00,0.00,30.06,M,10.00,M,SCT,OVC,M,M,3900.00,9500.00,M,M,M,KANW 010015Z AUTO 00000KT 10SM SCT039 OVC095 08/02 A3006 RMK AO2 T00800020
ANW,2017-04-01 00:35,-99.9930,42.5792,46.00,35.40,66.30,0.00,0.00,0.00,30.07,M,10.00,M,SCT,OVC,M,M,4300.00,9500.00,M,M,M,KANW 010035Z AUTO 00000KT 10SM SCT043 OVC095 08/02 A3007 RMK AO2 T00780019
ANW,2017-04-01 00:55,-99.9930,42.5792,45.00,36.00,70.53,280.00,3.00,0.00,30.08,M,10.00,M,SCT,OVC,M,M,4300.00,9500.00,M,M,M,KANW 010055Z AUTO 28003KT 10SM SCT043 OVC095 07/02 A3008 RMK AO2 T00720022
ANW,2017-04-01 01:15,-99.9930,42.5792,44.10,36.50,74.44,290.00,3.00,0.00,30.08,M,10.00,M,SCT,OVC,M,M,4500.00,9500.00,M,M,M,KANW 010115Z AUTO 29003KT 10SM SCT045 OVC095 07/03 A3008 RMK AO2 T00670025
ANW,2017-04-01 01:35,-99.9930,42.5792,43.90,36.90,76.21,290.00,3.00,0.00,30.08,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KANW 010135Z AUTO 29003KT 10SM OVC095 07/03 A3008 RMK AO2 T00660027
ANW,2017-04-01 01:55,-99.9930,42.5792,43.50,36.70,76.77,280.00,4.00,0.00,30.09,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KANW 010155Z AUTO 28004KT 10SM OVC095 06/03 A3009 RMK AO2 T00640026
ANW,2017-04-01 02:15,-99.9930,42.5792,43.20,36.90,78.28,310.00,4.00,0.00,30.10,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KANW 010215Z AUTO 31004KT 10SM OVC095 06/03 A3010 RMK AO2 T00620027
ANW,2017-04-01 02:35,-99.9930,42.5792,43.20,36.70,77.66,300.00,4.00,0.00,30.11,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KANW 010235Z AUTO 30004KT 10SM OVC095 06/03 A3011 RMK AO2 T00620026
ANW,2017-04-01 02:55,-99.9930,42.5792,43.30,36.70,77.36,310.00,7.00,0.00,30.11,M,10.00,M,BKN,OVC,M,M,9500.00,11000.00,M,M,M,KANW 010255Z AUTO 31007KT 10SM BKN095 OVC110 06/03 A3011 RMK AO2 T00630026
ANW,2017-04-01 03:15,-99.9930,42.5792,43.20,36.70,77.66,320.00,7.00,0.00,30.12,M,10.00,M,BKN,OVC,M,M,9500.00,11000.00,M,M,M,KANW 010315Z AUTO 32007KT 10SM BKN095 OVC110 06/03 A3012 RMK AO2 T00620026
