#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
APN,2017-04-01 00:00,-83.5644,45.0717,M,M,M,350.00,4.00,M,29.95,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KAPN 010000Z AUTO 35004KT 10SM OVC032 A2995 RMK MADISHF
APN,2017-04-01 00:05,-83.5644,45.0717,M,M,M,360.00,3.00,M,29.95,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KAPN 010005Z AUTO 36003KT 10SM OVC032 A2995 RMK MADISHF
APN,2017-04-01 00:10,-83.5644,45.0717,M,M,M,0.00,0.00,M,29.95,M,10.00,M,BKN,BKN,OVC,M,3200.00,3800.00,6000.00,M,M,KAPN 010010Z AUTO 00000KT 10SM BKN032 BKN038 OVC060 A2995 RMK MADISHF
APN,2017-04-01 00:15,-83.5644,45.0717,M,M,M,350.00,3.00,M,29.96,M,10.00,M,BKN,BKN,OVC,M,3100.00,4100.00,6000.00,M,M,KAPN 010015Z AUTO 35003KT 10SM BKN031 BKN041 OVC060 A2996 RMK MADISHF
APN,2017-04-01 00:20,-83.5644,45.0717,M,M,M,360.00,3.00,M,29.96,M,10.00,M,SCT,OVC,M,M,3100.00,4200.00,M,M,M,KAPN 010020Z AUTO 36003KT 10SM SCT031 OVC042 A2996 RMK MADISHF
APN,2017-04-01 00:25,-83.5644,45.0717,M,M,M,360.00,3.00,M,29.95,M,10.00,M,FEW,OVC,M,M,3100.00,4200.00,M,M,M,KAPN 010025Z AUTO 36003KT 10SM FEW031 OVC042 A2995 RMK MADISHF
APN,2017-04-01 00:30,-83.5644,45.0717,M,M,M,330.00,3.00,M,29.96,M,10.00,M,SCT,OVC,M,M,3300.00,4200.00,M,M,M,KAPN 010030Z AUTO 33003KT 10SM SCT033 OVC042 A2996 RMK MADISHF
APN,2017-04-01 00:35,-83.5644,45.0717,M,M,M,0.00,0.00,M,29.96,M,10.00,M,BKN,OVC,M,M,3300.00,4200.00,M,M,M,KAPN 010035Z AUTO 00000KT 10SM BKN033 OVC042 A2996 RMK MADISHF
APN,2017-04-01 00:40,-83.5644,45.0717,M,M,M,320.00,3.00,M,29.96,M,10.00,M,BKN,OVC,M,M,3300.00,4300.00,M,M,M,KAPN 010040Z AUTO 32003KT 10SM BKN033 OVC043 A2996 RMK MADISHF
APN,2017-04-01 00:45,-83.5644,45.0717,M,M,M,310.00,4.00,M,29.96,M,10.00,M,BKN,OVC,M,M,3300.00,4300.00,M,M,M,KAPN 010045Z AUTO 31004KT 10SM BKN033 OVC043 A2996 RMK MADISHF
APN,2017-04-01 00:50,-83.5644,45.0717,M,M,M,310.00,4.00,M,29.97,M,10.00,M,BKN,OVC,M,M,3300.00,4300.00,M,M,M,KAPN 010050Z AUTO 31004KT 10SM BKN033 OVC043 A2997 RMK MADISHF
APN,2017-04-01 00:54,-83.5644,45.0717,36.00,33.10,89.09,310.00,4.00,0.00,29.97,1015.60,10.00,M,BKN,OVC,M,M,3300.00,4300.00,M,M,M,KAPN 010054Z AUTO 31004KT 10SM BKN033 OVC043 02/01 A2997 RMK AO2 SLP156 T00220006
APN,2017-04-01 00:55,-83.5644,45.0717,M,M,M,310.00,4.00,M,29.97,M,10.00,M,BKN,OVC,M,M,3300.00,4300.00,M,M,M,KAPN 010055Z AUTO 31004KT 10SM BKN033 OVC043 A2997 RMK MADISHF
APN,2017-04-01 01:00,-83.5644,45.0717,M,M,M,310.00,4.00,M,29.97,M,10.00,M,SCT,OVC,M,M,3300.00,4300.00,M,M,M,KAPN 010100Z AUTO 31004KT 10SM SCT033 OVC043 A2997 RMK MADISHF
APN,2017-04-01 01:05,-83.5644,45.0717,M,M,M,310.00,4.00,M,29.97,M,10.00,M,SCT,OVC,M,M,3300.00,4500.00,M,M,M,KAPN 010105Z AUTO 31004KT 10SM SCT033 OVC045 A2997 RMK MADISHF
APN,2017-04-01 01:10,-83.5644,45.0717,M,M,M,310.00,4.00,M,29.98,M,10.00,M,FEW,OVC,M,M,3500.00,4500.00,M,M,M,KAPN 010110Z AUTO 31004KT 10SM FEW035 OVC045 A2998 RMK MADISHF
APN,2017-04-01 01:15,-83.5644,45.0717,M,M,M,310.00,4.00,M,29.98,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KAPN 010115Z AUTO 31004KT 10SM OVC045 A2998 RMK MADISHF
APN,2017-04-01 01:20,-83.5644,45.0717,M,M,M,310.00,5.00,M,29.98,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KAPN 010120Z AUTO 31005KT 10SM OVC045 A2998 RMK MADISHF
APN,2017-04-01 01:25,-83.5644,45.0717,M,M,M,320.00,4.00,M,29.98,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KAPN 010125Z AUTO 32004KT 10SM OVC045 A2998 RMK MADISHF
APN,2017-04-01 01:30,-83.5644,45.0717,M,M,M,320.00,5.00,M,29.98,M,10.00,M,OVC,M,M,M,4700.00,M,M,M,M,KAPN 010130Z AUTO 32005KT 10SM OVC047 A2998 RMK MADISHF
APN,2017-04-01 01:35,-83.5644,45.0717,M,M,M,320.00,5.00,M,29.98,M,10.00,M,FEW,OVC,M,M,3000.00,4700.00,M,M,M,KAPN 010135Z AUTO 32005KT 10SM FEW030 OVC047 A2998 RMK MADISHF
APN,2017-04-01 01:40,-83.5644,45.0717,M,M,M,320.00,5.00,M,29.98,M,10.00,M,SCT,OVC,M,M,3000.00,4700.00,M,M,M,KAPN 010140Z AUTO 32005KT 10SM SCT030 OVC047 A2998 RMK MADISHF
APN,2017-04-01 01:45,-83.5644,45.0717,M,M,M,320.00,4.00,M,29.99,M,10.00,M,SCT,OVC,M,M,3000.00,4800.00,M,M,M,KAPN 010145Z AUTO 32004KT 10SM SCT030 OVC048 A2999 RMK MADISHF
APN,2017-04-01 01:50,-83.5644,45.0717,M,M,M,320.00,5.00,M,29.99,M,10.00,M,SCT,BKN,M,M,3100.00,5000.00,M,M,M,KAPN 010150Z AUTO 32005KT 10SM SCT031 BKN050 A2999 RMK MADISHF
APN,2017-04-01 01:54,-83.5644,45.0717,35.10,32.00,88.33,330.00,5.00,0.00,29.99,1016.30,10.00,M,SCT,BKN,M,M,3100.00,5000.00,M,M,M,KAPN 010154Z AUTO 33005KT 10SM SCT031 BKN050 02/00 A2999 RMK AO2 SLP163 T00170000
APN,2017-04-01 01:55,-83.5644,45.0717,M,M,M,330.00,5.00,M,29.99,M,10.00,M,SCT,BKN,M,M,3100.00,5000.00,M,M,M,KAPN 010155Z AUTO 33005KT 10SM SCT031 BKN050 A2999 RMK MADISHF
APN,2017-04-01 02:00,-83.5644,45.0717,M,M,M,330.00,5.00,M,29.99,M,10.00,M,SCT,SCT,M,M,3100.00,5000.00,M,M,M,KAPN 010200Z AUTO 33005KT 10SM SCT031 SCT050 A2999 RMK MADISHF
APN,2017-04-01 02:05,-83.5644,45.0717,M,M,M,330.00,5.00,M,29.99,M,10.00,M,FEW,SCT,M,M,3100.00,5000.00,M,M,M,KAPN 010205Z AUTO 33005KT 10SM FEW031 SCT050 A2999 RMK MADISHF
APN,2017-04-01 02:10,-83.5644,45.0717,M,M,M,330.00,5.00,M,29.99,M,10.00,M,FEW,FEW,FEW,M,2400.00,3100.00,5000.00,M,M,KAPN 010210Z AUTO 33005KT 10SM FEW024 FEW031 FEW050 A2999 RMK MADISHF
APN,2017-04-01 02:15,-83.5644,45.0717,M,M,M,330.00,4.00,M,29.99,M,10.00,M,FEW,M,M,M,2400.00,M,M,M,M,KAPN 010215Z AUTO 33004KT 10SM FEW024 A2999 RMK MADISHF
APN,2017-04-01 02:20,-83.5644,45.0717,M,M,M,340.00,4.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010220Z AUTO 34004KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 02:25,-83.5644,45.0717,M,M,M,350.00,4.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010225Z AUTO 35004KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 02:30,-83.5644,45.0717,M,M,M,350.00,5.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010230Z AUTO 35005KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 02:35,-83.5644,45.0717,M,M,M,350.00,4.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010235Z AUTO 35004KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 02:40,-83.5644,45.0717,M,M,M,350.00,4.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010240Z AUTO 35004KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 02:45,-83.5644,45.0717,M,M,M,350.00,3.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010245Z AUTO 35003KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 02:50,-83.5644,45.0717,M,M,M,350.00,3.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010250Z AUTO 35003KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 02:54,-83.5644,45.0717,32.00,30.90,95.65,360.00,3.00,0.00,29.99,1016.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010254Z AUTO 36003KT 10SM CLR 00/M01 A2999 RMK AO2 SLP163 T00001006 50013
APN,2017-04-01 02:55,-83.5644,45.0717,M,M,M,360.00,3.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010255Z AUTO 36003KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 03:00,-83.5644,45.0717,M,M,M,350.00,3.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010300Z AUTO 35003KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 03:05,-83.5644,45.0717,M,M,M,340.00,3.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010305Z AUTO 34003KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 03:10,-83.5644,45.0717,M,M,M,330.00,3.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010310Z AUTO 33003KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 03:15,-83.5644,45.0717,M,M,M,330.00,3.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010315Z AUTO 33003KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 03:20,-83.5644,45.0717,M,M,M,320.00,4.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010320Z AUTO 32004KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 03:25,-83.5644,45.0717,M,M,M,320.00,5.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010325Z AUTO 32005KT 10SM CLR A2999 RMK MADISHF
APN,2017-04-01 03:30,-83.5644,45.0717,M,M,M,320.00,5.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAPN 010330Z AUTO 32005KT 10SM CLR A3000 RMK MADISHF
