#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AQP,2017-04-01 00:15,-96.0043,45.2275,55.40,26.60,32.76,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010015Z AUTO 00000KT 10SM CLR 13/M03 A3006 RMK AO2
AQP,2017-04-01 00:35,-96.0043,45.2275,53.60,26.60,34.98,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010035Z AUTO 00000KT 10SM CLR 12/M03 A3007 RMK AO2
AQP,2017-04-01 00:55,-96.0043,45.2275,51.80,30.20,43.32,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010055Z AUTO 00000KT 10SM CLR 11/M01 A3007 RMK AO2
AQP,2017-04-01 01:14,-96.0043,45.2275,48.20,30.20,49.53,0.00,0.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010114Z AUTO 00000KT 10SM CLR 09/M01 A3008 RMK AO2
AQP,2017-04-01 01:35,-96.0043,45.2275,46.40,32.00,57.00,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010135Z AUTO 00000KT 10SM CLR 08/00 A3009 RMK AO2
AQP,2017-04-01 01:54,-96.0043,45.2275,48.20,30.20,49.53,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010154Z AUTO 00000KT 10SM CLR 09/M01 A3009 RMK AO2
AQP,2017-04-01 02:14,-96.0043,45.2275,44.60,30.20,56.74,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010214Z AUTO 00000KT 10SM CLR 07/M01 A3010 RMK AO2
AQP,2017-04-01 02:35,-96.0043,45.2275,44.60,30.20,56.74,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010235Z AUTO 00000KT 10SM CLR 07/M01 A3011 RMK AO2
AQP,2017-04-01 02:54,-96.0043,45.2275,39.20,30.20,69.88,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010254Z AUTO 00000KT 10SM CLR 04/M01 A3012 RMK AO2
AQP,2017-04-01 03:15,-96.0043,45.2275,39.20,30.20,69.88,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010315Z AUTO 00000KT 10SM CLR 04/M01 A3013 RMK AO2
AQP,2017-04-01 03:34,-96.0043,45.2275,42.80,30.20,60.79,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010334Z AUTO 00000KT 10SM CLR 06/M01 A3013 RMK AO2
AQP,2017-04-01 03:55,-96.0043,45.2275,42.80,30.20,60.79,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010355Z AUTO 00000KT 10SM CLR 06/M01 A3013 RMK AO2
AQP,2017-04-01 04:15,-96.0043,45.2275,39.20,30.20,69.88,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010415Z AUTO 00000KT 10SM CLR 04/M01 A3013 RMK AO2
AQP,2017-04-01 04:34,-96.0043,45.2275,39.20,32.00,75.16,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010434Z AUTO 00000KT 10SM CLR 04/00 A3014 RMK AO2
AQP,2017-04-01 04:55,-96.0043,45.2275,37.40,32.00,80.65,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010455Z AUTO 00000KT 10SM CLR 03/00 A3014 RMK AO2
AQP,2017-04-01 05:14,-96.0043,45.2275,39.20,33.80,80.79,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010514Z AUTO 00000KT 10SM CLR 04/01 A3014 RMK AO2
AQP,2017-04-01 05:35,-96.0043,45.2275,41.00,30.20,65.16,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010535Z AUTO 00000KT 10SM CLR 05/M01 A3014 RMK AO2
AQP,2017-04-01 05:55,-96.0043,45.2275,39.20,32.00,75.16,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010555Z AUTO 00000KT 10SM CLR 04/00 A3015 RMK AO2
AQP,2017-04-01 06:14,-96.0043,45.2275,39.20,30.20,69.88,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010614Z AUTO 00000KT 10SM CLR 04/M01 A3015 RMK AO2
AQP,2017-04-01 06:34,-96.0043,45.2275,37.40,33.80,86.69,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010634Z AUTO 00000KT 10SM CLR 03/01 A3015 RMK AO2
AQP,2017-04-01 06:54,-96.0043,45.2275,39.20,33.80,80.79,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010654Z AUTO 00000KT 10SM CLR 04/01 A3015 RMK AO2
AQP,2017-04-01 07:15,-96.0043,45.2275,35.60,32.00,86.59,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQP 010715Z AUTO 00000KT 10SM CLR 02/00 A3016 RMK AO2
