#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AQX,2017-04-01 00:15,-81.2703,32.9951,75.20,48.20,38.46,0.00,0.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010015Z AUTO 00000KT 10SM CLR 24/09 A2976 RMK AO2
AQX,2017-04-01 00:35,-81.2703,32.9951,73.40,48.20,40.85,0.00,0.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010035Z AUTO 00000KT 10SM CLR 23/09 A2977 RMK AO2
AQX,2017-04-01 00:55,-81.2703,32.9951,71.60,50.00,46.43,0.00,0.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010055Z AUTO 00000KT 10SM CLR 22/10 A2978 RMK AO2
AQX,2017-04-01 01:15,-81.2703,32.9951,69.80,50.00,49.37,0.00,0.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010115Z AUTO 00000KT 10SM CLR 21/10 A2979 RMK AO2
AQX,2017-04-01 01:35,-81.2703,32.9951,68.00,50.00,52.51,0.00,0.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010135Z AUTO 00000KT 10SM CLR 20/10 A2980 RMK AO2
AQX,2017-04-01 01:55,-81.2703,32.9951,68.00,48.20,49.10,0.00,0.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010155Z AUTO 00000KT 10SM CLR 20/09 A2981 RMK AO2
AQX,2017-04-01 02:15,-81.2703,32.9951,69.80,50.00,49.37,0.00,0.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010215Z AUTO 00000KT 10SM CLR 21/10 A2982 RMK AO2
AQX,2017-04-01 02:35,-81.2703,32.9951,66.20,50.00,55.88,0.00,0.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010235Z AUTO 00000KT 10SM CLR 19/10 A2983 RMK AO2
AQX,2017-04-01 02:55,-81.2703,32.9951,64.40,50.00,59.50,0.00,0.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010255Z AUTO 00000KT 10SM CLR 18/10 A2984 RMK AO2
AQX,2017-04-01 03:15,-81.2703,32.9951,66.20,48.20,52.25,M,4.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010315Z AUTO VRB04KT 10SM CLR 19/09 A2984 RMK AO2
AQX,2017-04-01 03:35,-81.2703,32.9951,66.20,48.20,52.25,M,4.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010335Z AUTO VRB04KT 10SM CLR 19/09 A2985 RMK AO2
AQX,2017-04-01 03:55,-81.2703,32.9951,68.00,46.40,45.88,330.00,5.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010355Z AUTO 33005KT 10SM CLR 20/08 A2986 RMK AO2
AQX,2017-04-01 04:15,-81.2703,32.9951,66.20,46.40,48.83,330.00,5.00,0.00,29.86,M,10.00,10.00,CLR,M,M,M,M,M,M,M,M,KAQX 010415Z AUTO 33005G10KT 10SM CLR 19/08 A2986 RMK AO2
AQX,2017-04-01 04:35,-81.2703,32.9951,66.20,46.40,48.83,M,3.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010435Z AUTO VRB03KT 10SM CLR 19/08 A2987 RMK AO2
AQX,2017-04-01 04:55,-81.2703,32.9951,64.40,46.40,51.98,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010455Z AUTO 00000KT 10SM CLR 18/08 A2987 RMK AO2
AQX,2017-04-01 05:15,-81.2703,32.9951,62.60,48.20,59.26,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010515Z AUTO 00000KT 10SM CLR 17/09 A2987 RMK AO2
AQX,2017-04-01 05:35,-81.2703,32.9951,62.60,48.20,59.26,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010535Z AUTO 00000KT 10SM CLR 17/09 A2987 RMK AO2
AQX,2017-04-01 05:55,-81.2703,32.9951,64.40,46.40,51.98,320.00,3.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010555Z AUTO 32003KT 10SM CLR 18/08 A2987 RMK AO2
AQX,2017-04-01 06:15,-81.2703,32.9951,62.60,46.40,55.37,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010615Z AUTO 00000KT 10SM CLR 17/08 A2988 RMK AO2
AQX,2017-04-01 06:35,-81.2703,32.9951,60.80,50.00,67.54,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010635Z AUTO 00000KT 10SM CLR 16/10 A2988 RMK AO2
AQX,2017-04-01 06:55,-81.2703,32.9951,59.00,48.20,67.33,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010655Z AUTO 00000KT 10SM CLR 15/09 A2988 RMK AO2
AQX,2017-04-01 07:15,-81.2703,32.9951,57.20,48.20,71.83,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010715Z AUTO 00000KT 10SM CLR 14/09 A2989 RMK AO2
AQX,2017-04-01 07:35,-81.2703,32.9951,57.20,48.20,71.83,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010735Z AUTO 00000KT 10SM CLR 14/09 A2989 RMK AO2
AQX,2017-04-01 07:55,-81.2703,32.9951,55.40,50.00,81.99,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010755Z AUTO 00000KT 10SM CLR 13/10 A2989 RMK AO2
AQX,2017-04-01 08:15,-81.2703,32.9951,55.40,50.00,81.99,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010815Z AUTO 00000KT 10SM CLR 13/10 A2990 RMK AO2
AQX,2017-04-01 08:35,-81.2703,32.9951,55.40,48.20,76.66,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010835Z AUTO 00000KT 10SM CLR 13/09 A2990 RMK AO2
AQX,2017-04-01 08:55,-81.2703,32.9951,53.60,48.20,81.87,0.00,0.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010855Z AUTO 00000KT 10SM CLR 12/09 A2991 RMK AO2
AQX,2017-04-01 09:15,-81.2703,32.9951,53.60,48.20,81.87,0.00,0.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010915Z AUTO 00000KT 10SM CLR 12/09 A2991 RMK AO2
AQX,2017-04-01 09:35,-81.2703,32.9951,53.60,50.00,87.56,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010935Z AUTO 00000KT 10SM CLR 12/10 A2992 RMK AO2
AQX,2017-04-01 09:55,-81.2703,32.9951,53.60,48.20,81.87,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 010955Z AUTO 00000KT 10SM CLR 12/09 A2992 RMK AO2
AQX,2017-04-01 10:15,-81.2703,32.9951,51.80,48.20,87.47,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011015Z AUTO 00000KT 10SM CLR 11/09 A2993 RMK AO2
AQX,2017-04-01 10:35,-81.2703,32.9951,51.80,48.20,87.47,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011035Z AUTO 00000KT 10SM CLR 11/09 A2994 RMK AO2
AQX,2017-04-01 10:55,-81.2703,32.9951,51.80,48.20,87.47,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011055Z AUTO 00000KT 10SM CLR 11/09 A2994 RMK AO2
AQX,2017-04-01 11:15,-81.2703,32.9951,51.80,48.20,87.47,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011115Z AUTO 00000KT 10SM CLR 11/09 A2995 RMK AO2
AQX,2017-04-01 11:35,-81.2703,32.9951,51.80,48.20,87.47,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011135Z AUTO 00000KT 10SM CLR 11/09 A2996 RMK AO2
AQX,2017-04-01 11:55,-81.2703,32.9951,53.60,48.20,81.87,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011155Z AUTO 00000KT 10SM CLR 12/09 A2997 RMK AO2
AQX,2017-04-01 12:15,-81.2703,32.9951,55.40,48.20,76.66,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011215Z AUTO 00000KT 10SM CLR 13/09 A2998 RMK AO2
AQX,2017-04-01 12:35,-81.2703,32.9951,57.20,48.20,71.83,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011235Z AUTO 00000KT 10SM CLR 14/09 A2999 RMK AO2
AQX,2017-04-01 12:55,-81.2703,32.9951,59.00,50.00,72.01,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011255Z AUTO 00000KT 10SM CLR 15/10 A2999 RMK AO2
AQX,2017-04-01 13:15,-81.2703,32.9951,62.60,50.00,63.38,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011315Z AUTO 00000KT 10SM CLR 17/10 A2999 RMK AO2
AQX,2017-04-01 13:35,-81.2703,32.9951,64.40,50.00,59.50,M,5.00,0.00,29.99,M,10.00,10.00,CLR,M,M,M,M,M,M,M,M,KAQX 011335Z AUTO VRB05G10KT 10SM CLR 18/10 A2999 RMK AO2
AQX,2017-04-01 13:55,-81.2703,32.9951,64.40,50.00,59.50,340.00,5.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011355Z AUTO 34005KT 10SM CLR 18/10 A2999 RMK AO2
AQX,2017-04-01 14:15,-81.2703,32.9951,66.20,50.00,55.88,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011415Z AUTO 00000KT 10SM CLR 19/10 A2999 RMK AO2
AQX,2017-04-01 14:35,-81.2703,32.9951,68.00,48.20,49.10,M,6.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAQX 011435Z AUTO VRB06KT 10SM CLR 20/09 A2999 RMK AO2
AQX,2017-04-01 14:55,-81.2703,32.9951,68.00,50.00,52.51,M,6.00,0.00,30.00,M,10.00,11.00,CLR,M,M,M,M,M,M,M,M,KAQX 011455Z AUTO VRB06G11KT 10SM CLR 20/10 A3000 RMK AO2
AQX,2017-04-01 15:15,-81.2703,32.9951,69.80,48.20,46.16,M,5.00,0.00,30.00,M,10.00,12.00,CLR,M,M,M,M,M,M,M,M,KAQX 011515Z AUTO VRB05G12KT 10SM CLR 21/09 A3000 RMK AO2
