#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ARR,2017-04-01 00:00,-88.4800,41.7700,M,M,M,320.00,8.00,M,29.99,M,10.00,M,FEW,OVC,M,M,2800.00,3900.00,M,M,M,KARR 010000Z AUTO 32008KT 10SM FEW028 OVC039 A2999 RMK MADISHF
ARR,2017-04-01 00:05,-88.4800,41.7700,M,M,M,320.00,8.00,M,29.99,M,10.00,M,FEW,OVC,M,M,3200.00,3900.00,M,M,M,KARR 010005Z AUTO 32008KT 10SM FEW032 OVC039 A2999 RMK MADISHF
ARR,2017-04-01 00:10,-88.4800,41.7700,M,M,M,320.00,8.00,M,29.99,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,KARR 010010Z AUTO 32008KT 10SM OVC039 A2999 RMK MADISHF
ARR,2017-04-01 00:15,-88.4800,41.7700,M,M,M,310.00,8.00,M,29.99,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KARR 010015Z AUTO 31008KT 10SM OVC041 A2999 RMK MADISHF
ARR,2017-04-01 00:20,-88.4800,41.7700,M,M,M,310.00,7.00,M,29.99,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KARR 010020Z AUTO 31007KT 10SM OVC041 A2999 RMK MADISHF
ARR,2017-04-01 00:25,-88.4800,41.7700,M,M,M,310.00,7.00,M,29.99,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KARR 010025Z AUTO 31007KT 10SM OVC041 A2999 RMK MADISHF
ARR,2017-04-01 00:30,-88.4800,41.7700,M,M,M,310.00,7.00,M,29.99,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,KARR 010030Z AUTO 31007KT 10SM OVC042 A2999 RMK MADISHF
ARR,2017-04-01 00:35,-88.4800,41.7700,M,M,M,310.00,7.00,M,29.99,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,KARR 010035Z AUTO 31007KT 10SM OVC042 A2999 RMK MADISHF
ARR,2017-04-01 00:40,-88.4800,41.7700,M,M,M,310.00,7.00,M,29.99,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,KARR 010040Z AUTO 31007KT 10SM OVC042 A2999 RMK MADISHF
ARR,2017-04-01 00:45,-88.4800,41.7700,M,M,M,290.00,6.00,M,29.99,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,KARR 010045Z AUTO 29006KT 10SM OVC042 A2999 RMK MADISHF
