#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ASJ,2017-04-01 00:00,-77.1700,36.3000,60.10,56.70,88.52,310.00,3.00,0.00,29.62,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010000Z AUTO 31003KT 10SM 16/14 A2962 RMK AO2 T01560137
ASJ,2017-04-01 00:20,-77.1700,36.3000,60.10,56.50,87.88,330.00,3.00,0.01,29.64,M,10.00,M,M,M,M,M,M,M,M,M,+RA,KASJ 010020Z AUTO 33003KT 10SM +RA 16/14 A2964 RMK AO2 P0001 T01560136
ASJ,2017-04-01 00:40,-77.1700,36.3000,59.40,57.20,92.41,330.00,3.00,0.01,29.64,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010040Z AUTO 33003KT 10SM 15/14 A2964 RMK AO2 P0001 T01520140
ASJ,2017-04-01 01:00,-77.1700,36.3000,59.40,57.20,92.41,0.00,0.00,0.01,29.66,M,10.00,M,M,M,M,M,M,M,M,M,RA,KASJ 010100Z AUTO 00000KT 10SM RA 15/14 A2966 RMK AO2 P0001 T01520140
ASJ,2017-04-01 01:20,-77.1700,36.3000,58.30,57.40,96.82,0.00,0.00,0.02,29.68,M,10.00,M,M,M,M,M,M,M,M,M,-RA,KASJ 010120Z AUTO 00000KT 10SM -RA 15/14 A2968 RMK AO2 P0002 T01460141
ASJ,2017-04-01 01:40,-77.1700,36.3000,58.10,57.20,96.81,0.00,0.00,0.03,29.67,M,10.00,M,M,M,M,M,M,M,M,M,-RA,KASJ 010140Z AUTO 00000KT 10SM -RA 15/14 A2967 RMK AO2 P0003 T01450140
ASJ,2017-04-01 02:00,-77.1700,36.3000,58.10,57.20,96.81,0.00,0.00,0.00,29.68,M,10.00,M,M,M,M,M,M,M,M,M,-RA,KASJ 010200Z AUTO 00000KT 10SM -RA 15/14 A2968 RMK AO2 T01450140
ASJ,2017-04-01 02:20,-77.1700,36.3000,58.10,57.20,96.81,0.00,0.00,0.00,29.70,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010220Z AUTO 00000KT 10SM 15/14 A2970 RMK AO2 T01450140
ASJ,2017-04-01 02:40,-77.1700,36.3000,58.10,56.80,95.43,0.00,0.00,0.00,29.70,M,10.00,M,M,M,M,M,M,M,M,M,RA,KASJ 010240Z AUTO 00000KT 10SM RA 15/14 A2970 RMK AO2 T01450138
ASJ,2017-04-01 03:00,-77.1700,36.3000,57.70,56.80,96.81,0.00,0.00,0.00,29.71,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010300Z AUTO 00000KT 10SM 14/14 A2971 RMK AO2 T01430138
ASJ,2017-04-01 03:20,-77.1700,36.3000,57.70,56.70,96.46,0.00,0.00,0.00,29.71,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010320Z AUTO 00000KT 10SM 14/14 A2971 RMK AO2 T01430137
ASJ,2017-04-01 03:40,-77.1700,36.3000,57.40,55.90,94.72,0.00,0.00,0.00,29.72,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010340Z AUTO 00000KT 10SM 14/13 A2972 RMK AO2 T01410133
ASJ,2017-04-01 04:00,-77.1700,36.3000,57.20,54.90,92.00,0.00,0.00,0.00,29.73,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010400Z AUTO 00000KT 10SM 14/13 A2973 RMK AO2 T01400127
ASJ,2017-04-01 04:20,-77.1700,36.3000,55.60,53.60,92.97,0.00,0.00,0.00,29.73,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010420Z AUTO 00000KT 10SM 13/12 A2973 RMK AO2 T01310120
ASJ,2017-04-01 04:40,-77.1700,36.3000,55.00,52.70,91.93,0.00,0.00,0.00,29.74,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010440Z AUTO 00000KT 10SM 13/12 A2974 RMK AO2 T01280115
ASJ,2017-04-01 05:00,-77.1700,36.3000,54.70,52.20,91.25,0.00,0.00,0.00,29.74,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010500Z AUTO 00000KT 10SM 13/11 A2974 RMK AO2 T01260112
ASJ,2017-04-01 05:20,-77.1700,36.3000,54.50,51.80,90.57,0.00,0.00,0.01,29.74,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010520Z AUTO 00000KT 10SM 13/11 A2974 RMK AO2 P0001 T01250110
ASJ,2017-04-01 05:40,-77.1700,36.3000,54.00,51.80,92.24,0.00,0.00,0.01,29.74,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010540Z AUTO 00000KT 10SM 12/11 A2974 RMK AO2 P0001 T01220110
ASJ,2017-04-01 06:00,-77.1700,36.3000,53.60,51.10,91.21,0.00,0.00,0.00,29.75,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010600Z AUTO 00000KT 10SM 12/11 A2975 RMK AO2 T01200106
ASJ,2017-04-01 06:20,-77.1700,36.3000,53.10,50.90,92.21,0.00,0.00,0.00,29.75,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010620Z AUTO 00000KT 10SM 12/11 A2975 RMK AO2 T01170105
ASJ,2017-04-01 06:40,-77.1700,36.3000,52.50,50.20,91.85,0.00,0.00,0.00,29.74,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010640Z AUTO 00000KT 10SM 11/10 A2974 RMK AO2 T01140101
ASJ,2017-04-01 07:00,-77.1700,36.3000,52.30,49.30,89.48,0.00,0.00,0.00,29.75,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010700Z AUTO 00000KT 10SM 11/10 A2975 RMK AO2 T01130096
ASJ,2017-04-01 07:20,-77.1700,36.3000,52.00,48.40,87.48,0.00,0.00,0.00,29.75,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010720Z AUTO 00000KT 10SM 11/09 A2975 RMK AO2 T01110091
ASJ,2017-04-01 07:40,-77.1700,36.3000,50.50,47.80,90.41,0.00,0.00,0.00,29.75,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010740Z AUTO 00000KT 10SM 10/09 A2975 RMK AO2 T01030088
ASJ,2017-04-01 08:00,-77.1700,36.3000,51.10,47.30,86.78,0.00,0.00,0.00,29.75,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010800Z AUTO 00000KT 10SM 11/09 A2975 RMK AO2 T01060085
ASJ,2017-04-01 08:20,-77.1700,36.3000,51.80,46.60,82.36,0.00,0.00,0.00,29.75,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010820Z AUTO 00000KT 10SM 11/08 A2975 RMK AO2 T01100081
ASJ,2017-04-01 08:40,-77.1700,36.3000,50.90,46.60,85.14,0.00,0.00,0.00,29.77,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010840Z AUTO 00000KT 10SM 11/08 A2977 RMK AO2 T01050081
ASJ,2017-04-01 09:00,-77.1700,36.3000,50.50,46.60,86.42,0.00,0.00,0.00,29.77,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010900Z AUTO 00000KT 10SM 10/08 A2977 RMK AO2 T01030081
ASJ,2017-04-01 09:20,-77.1700,36.3000,50.50,46.40,85.77,0.00,0.00,0.00,29.78,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010920Z AUTO 00000KT 10SM 10/08 A2978 RMK AO2 T01030080
ASJ,2017-04-01 09:40,-77.1700,36.3000,50.50,46.40,85.77,0.00,0.00,0.00,29.79,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 010940Z AUTO 00000KT 10SM 10/08 A2979 RMK AO2 T01030080
ASJ,2017-04-01 10:00,-77.1700,36.3000,50.00,46.00,86.06,0.00,0.00,0.00,29.79,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011000Z AUTO 00000KT 10SM 10/08 A2979 RMK AO2 T01000078
ASJ,2017-04-01 10:20,-77.1700,36.3000,49.30,45.70,87.34,0.00,0.00,0.00,29.80,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011020Z AUTO 00000KT 10SM 10/08 A2980 RMK AO2 T00960076
ASJ,2017-04-01 10:40,-77.1700,36.3000,48.90,45.70,88.65,0.00,0.00,0.00,29.81,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011040Z AUTO 00000KT 10SM 09/08 A2981 RMK AO2 T00940076
ASJ,2017-04-01 11:00,-77.1700,36.3000,48.20,45.70,91.01,0.00,0.00,0.00,29.83,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011100Z AUTO 00000KT 10SM 09/08 A2983 RMK AO2 T00900076
ASJ,2017-04-01 11:20,-77.1700,36.3000,47.30,45.50,93.42,0.00,0.00,0.00,29.83,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011120Z AUTO 00000KT 10SM 09/08 A2983 RMK AO2 T00850075
ASJ,2017-04-01 11:40,-77.1700,36.3000,48.20,46.40,93.45,0.00,0.00,0.00,29.84,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011140Z AUTO 00000KT 10SM 09/08 A2984 RMK AO2 T00900080
ASJ,2017-04-01 12:00,-77.1700,36.3000,49.80,47.50,91.75,0.00,0.00,0.00,29.85,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011200Z AUTO 00000KT 10SM 10/09 A2985 RMK AO2 T00990086
ASJ,2017-04-01 12:20,-77.1700,36.3000,51.40,48.40,89.44,0.00,0.00,0.00,29.86,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011220Z AUTO 00000KT 10SM 11/09 A2986 RMK AO2 T01080091
ASJ,2017-04-01 12:40,-77.1700,36.3000,52.70,48.70,86.21,0.00,0.00,0.00,29.87,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011240Z AUTO 00000KT 10SM 12/09 A2987 RMK AO2 T01150093
ASJ,2017-04-01 13:00,-77.1700,36.3000,55.40,48.90,78.70,270.00,3.00,0.00,29.87,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011300Z AUTO 27003KT 10SM 13/09 A2987 RMK AO2 T01300094
ASJ,2017-04-01 13:20,-77.1700,36.3000,57.20,49.10,74.29,0.00,0.00,0.00,29.87,M,10.00,M,M,M,M,M,M,M,M,M,M,KASJ 011320Z AUTO 00000KT 10SM 14/10 A2987 RMK AO2 T01400095
