#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AST,2017-04-01 00:00,-123.8825,46.1569,M,M,M,280.00,8.00,M,30.30,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010000Z AUTO 28008KT 10SM CLR A3030 RMK MADISHF
AST,2017-04-01 00:05,-123.8825,46.1569,M,M,M,280.00,10.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010005Z AUTO 28010KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:10,-123.8825,46.1569,M,M,M,280.00,9.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010010Z AUTO 28009KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:15,-123.8825,46.1569,M,M,M,290.00,8.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010015Z AUTO 29008KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:20,-123.8825,46.1569,M,M,M,280.00,7.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010020Z AUTO 28007KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:25,-123.8825,46.1569,M,M,M,290.00,7.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010025Z AUTO 29007KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:30,-123.8825,46.1569,M,M,M,290.00,8.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010030Z AUTO 29008KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:35,-123.8825,46.1569,M,M,M,280.00,6.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010035Z AUTO 28006KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:40,-123.8825,46.1569,M,M,M,290.00,5.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010040Z AUTO 29005KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:45,-123.8825,46.1569,M,M,M,300.00,6.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010045Z AUTO 30006KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:50,-123.8825,46.1569,M,M,M,300.00,6.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010050Z AUTO 30006KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 00:55,-123.8825,46.1569,51.10,39.90,65.38,280.00,6.00,0.00,30.29,1025.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010055Z AUTO 28006KT 10SM CLR 11/04 A3029 RMK AO2 SLP255 T01060044
AST,2017-04-01 01:00,-123.8825,46.1569,M,M,M,290.00,6.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010100Z AUTO 29006KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 01:05,-123.8825,46.1569,M,M,M,270.00,6.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010105Z AUTO 27006KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 01:10,-123.8825,46.1569,M,M,M,280.00,6.00,M,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010110Z AUTO 28006KT 10SM CLR A3029 RMK MADISHF
AST,2017-04-01 01:15,-123.8825,46.1569,M,M,M,290.00,5.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010115Z AUTO 29005KT 10SM CLR A3028 RMK MADISHF
AST,2017-04-01 01:20,-123.8825,46.1569,M,M,M,280.00,4.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010120Z AUTO 28004KT 10SM CLR A3028 RMK MADISHF
AST,2017-04-01 01:25,-123.8825,46.1569,M,M,M,280.00,4.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010125Z AUTO 28004KT 10SM CLR A3028 RMK MADISHF
AST,2017-04-01 01:30,-123.8825,46.1569,M,M,M,290.00,5.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010130Z AUTO 29005KT 10SM CLR A3028 RMK MADISHF
AST,2017-04-01 01:35,-123.8825,46.1569,M,M,M,280.00,6.00,M,30.28,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010135Z AUTO 28006KT 10SM CLR A3028 RMK MADISHF
AST,2017-04-01 01:40,-123.8825,46.1569,M,M,M,270.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010140Z AUTO 27005KT 10SM CLR A3027 RMK MADISHF
AST,2017-04-01 01:45,-123.8825,46.1569,M,M,M,250.00,5.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010145Z AUTO 25005KT 10SM CLR A3027 RMK MADISHF
AST,2017-04-01 01:50,-123.8825,46.1569,M,M,M,300.00,3.00,M,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010150Z AUTO 30003KT 10SM CLR A3027 RMK MADISHF
AST,2017-04-01 01:55,-123.8825,46.1569,50.00,39.00,65.75,260.00,4.00,0.00,30.26,1024.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010155Z AUTO 26004KT 10SM CLR 10/04 A3026 RMK AO2 SLP247 T01000039
AST,2017-04-01 02:00,-123.8825,46.1569,M,M,M,260.00,3.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010200Z AUTO 26003KT 10SM CLR A3026 RMK MADISHF
AST,2017-04-01 02:05,-123.8825,46.1569,M,M,M,260.00,4.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010205Z AUTO 26004KT 10SM CLR A3026 RMK MADISHF
AST,2017-04-01 02:10,-123.8825,46.1569,M,M,M,240.00,4.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010210Z AUTO 24004KT 10SM CLR A3026 RMK MADISHF
AST,2017-04-01 02:15,-123.8825,46.1569,M,M,M,230.00,3.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010215Z AUTO 23003KT 10SM CLR A3026 RMK MADISHF
AST,2017-04-01 02:20,-123.8825,46.1569,M,M,M,250.00,3.00,M,30.26,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAST 010220Z AUTO 25003KT 10SM CLR A3026 RMK MADISHF
AST,2017-04-01 02:25,-123.8825,46.1569,M,M,M,240.00,4.00,M,30.27,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,KAST 010225Z AUTO 24004KT 10SM SCT060 A3027 RMK MADISHF
AST,2017-04-01 02:30,-123.8825,46.1569,M,M,M,260.00,3.00,M,30.26,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KAST 010230Z AUTO 26003KT 10SM BKN060 A3026 RMK MADISHF
AST,2017-04-01 02:35,-123.8825,46.1569,M,M,M,240.00,4.00,M,30.26,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KAST 010235Z AUTO 24004KT 10SM BKN060 A3026 RMK MADISHF
AST,2017-04-01 02:40,-123.8825,46.1569,M,M,M,270.00,4.00,M,30.27,M,10.00,M,BKN,BKN,M,M,6000.00,12000.00,M,M,M,KAST 010240Z AUTO 27004KT 10SM BKN060 BKN120 A3027 RMK MADISHF
AST,2017-04-01 02:45,-123.8825,46.1569,M,M,M,260.00,5.00,M,30.27,M,10.00,M,BKN,OVC,M,M,6000.00,12000.00,M,M,M,KAST 010245Z AUTO 26005KT 10SM BKN060 OVC120 A3027 RMK MADISHF
AST,2017-04-01 02:50,-123.8825,46.1569,M,M,M,260.00,4.00,M,30.27,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAST 010250Z AUTO 26004KT 10SM OVC060 A3027 RMK MADISHF
AST,2017-04-01 02:55,-123.8825,46.1569,48.90,39.00,68.51,250.00,3.00,0.00,30.26,1024.80,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAST 010255Z AUTO 25003KT 10SM OVC060 09/04 A3026 RMK AO2 SLP248 T00940039 55009
AST,2017-04-01 03:00,-123.8825,46.1569,M,M,M,250.00,4.00,M,30.27,M,10.00,M,BKN,OVC,M,M,6000.00,11000.00,M,M,M,KAST 010300Z AUTO 25004KT 10SM BKN060 OVC110 A3027 RMK MADISHF
AST,2017-04-01 03:05,-123.8825,46.1569,M,M,M,240.00,4.00,M,30.27,M,10.00,M,BKN,OVC,M,M,6000.00,9000.00,M,M,M,KAST 010305Z AUTO 24004KT 10SM BKN060 OVC090 A3027 RMK MADISHF
AST,2017-04-01 03:10,-123.8825,46.1569,M,M,M,240.00,3.00,M,30.27,M,10.00,M,BKN,BKN,OVC,M,6000.00,9000.00,11000.00,M,M,KAST 010310Z AUTO 24003KT 10SM BKN060 BKN090 OVC110 A3027 RMK MADISHF
AST,2017-04-01 03:15,-123.8825,46.1569,M,M,M,240.00,3.00,M,30.27,M,10.00,M,SCT,SCT,OVC,M,6000.00,8500.00,11000.00,M,M,KAST 010315Z AUTO 24003KT 10SM SCT060 SCT085 OVC110 A3027 RMK MADISHF
AST,2017-04-01 03:20,-123.8825,46.1569,M,M,M,240.00,4.00,M,30.27,M,10.00,M,FEW,SCT,OVC,M,6000.00,8500.00,11000.00,M,M,KAST 010320Z AUTO 24004KT 10SM FEW060 SCT085 OVC110 A3027 RMK MADISHF
AST,2017-04-01 03:25,-123.8825,46.1569,M,M,M,240.00,3.00,M,30.27,M,10.00,M,FEW,FEW,OVC,M,6000.00,8500.00,11000.00,M,M,KAST 010325Z AUTO 24003KT 10SM FEW060 FEW085 OVC110 A3027 RMK MADISHF
AST,2017-04-01 03:30,-123.8825,46.1569,M,M,M,260.00,5.00,M,30.28,M,10.00,M,FEW,SCT,OVC,M,6000.00,8500.00,10000.00,M,M,KAST 010330Z AUTO 26005KT 10SM FEW060 SCT085 OVC100 A3028 RMK MADISHF
