#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ATL,2017-04-01 00:00,-84.4418,33.6301,M,M,M,290.00,11.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010000Z AUTO 29011KT 10SM CLR A2986 RMK MADISHF
ATL,2017-04-01 00:05,-84.4418,33.6301,M,M,M,320.00,12.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010005Z AUTO 32012KT 10SM CLR A2986 RMK MADISHF
ATL,2017-04-01 00:10,-84.4418,33.6301,M,M,M,300.00,10.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010010Z AUTO 30010KT 10SM CLR A2986 RMK MADISHF
ATL,2017-04-01 00:15,-84.4418,33.6301,M,M,M,300.00,8.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010015Z AUTO 30008KT 10SM CLR A2986 RMK MADISHF
ATL,2017-04-01 00:20,-84.4418,33.6301,M,M,M,310.00,10.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010020Z AUTO 31010KT 10SM CLR A2986 RMK MADISHF
ATL,2017-04-01 00:25,-84.4418,33.6301,M,M,M,300.00,10.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010025Z AUTO 30010KT 10SM CLR A2986 RMK MADISHF
ATL,2017-04-01 00:30,-84.4418,33.6301,M,M,M,300.00,7.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010030Z AUTO 30007KT 10SM CLR A2986 RMK MADISHF
ATL,2017-04-01 00:35,-84.4418,33.6301,M,M,M,310.00,8.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010035Z AUTO 31008KT 10SM CLR A2987 RMK MADISHF
ATL,2017-04-01 00:40,-84.4418,33.6301,M,M,M,300.00,10.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010040Z AUTO 30010KT 10SM CLR A2987 RMK MADISHF
ATL,2017-04-01 00:45,-84.4418,33.6301,M,M,M,310.00,8.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010045Z AUTO 31008KT 10SM CLR A2987 RMK MADISHF
ATL,2017-04-01 00:50,-84.4418,33.6301,M,M,M,310.00,9.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATL 010050Z AUTO 31009KT 10SM CLR A2987 RMK MADISHF
