#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ATS,2017-04-01 00:15,-104.4677,32.8525,77.00,19.40,11.44,260.00,23.00,0.00,29.56,M,5.00,33.00,CLR,M,M,M,M,M,M,M,HZ,KATS 010015Z AUTO 26023G33KT 5SM HZ CLR 25/M07 A2956 RMK AO2
ATS,2017-04-01 00:35,-104.4677,32.8525,75.20,19.40,12.14,260.00,19.00,0.00,29.57,M,6.00,M,CLR,M,M,M,M,M,M,M,HZ,KATS 010035Z AUTO 26019KT 6SM HZ CLR 24/M07 A2957 RMK AO2
ATS,2017-04-01 00:55,-104.4677,32.8525,75.20,19.40,12.14,280.00,16.00,0.00,29.58,M,8.00,22.00,CLR,M,M,M,M,M,M,M,M,KATS 010055Z AUTO 28016G22KT 8SM CLR 24/M07 A2958 RMK AO2
ATS,2017-04-01 01:15,-104.4677,32.8525,73.40,17.60,11.94,260.00,19.00,0.00,29.59,M,8.00,24.00,CLR,M,M,M,M,M,M,M,M,KATS 010115Z AUTO 26019G24KT 8SM CLR 23/M08 A2959 RMK AO2
ATS,2017-04-01 01:35,-104.4677,32.8525,73.40,17.60,11.94,260.00,11.00,0.00,29.60,M,9.00,19.00,CLR,M,M,M,M,M,M,M,M,KATS 010135Z AUTO 26011G19KT 9SM CLR 23/M08 A2960 RMK AO2
ATS,2017-04-01 01:55,-104.4677,32.8525,71.60,17.60,12.69,260.00,4.00,0.00,29.61,M,10.00,11.00,CLR,M,M,M,M,M,M,M,M,KATS 010155Z AUTO 26004G11KT 10SM CLR 22/M08 A2961 RMK AO2
ATS,2017-04-01 02:15,-104.4677,32.8525,71.60,17.60,12.69,M,5.00,0.00,29.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010215Z AUTO VRB05KT 10SM CLR 22/M08 A2964 RMK AO2
ATS,2017-04-01 02:35,-104.4677,32.8525,71.60,17.60,12.69,250.00,9.00,0.00,29.65,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010235Z AUTO 25009KT 7SM CLR 22/M08 A2965 RMK AO2
ATS,2017-04-01 02:55,-104.4677,32.8525,69.80,17.60,13.49,270.00,10.00,0.00,29.64,M,6.00,M,CLR,M,M,M,M,M,M,M,HZ,KATS 010255Z AUTO 27010KT 6SM HZ CLR 21/M08 A2964 RMK AO2
ATS,2017-04-01 03:15,-104.4677,32.8525,69.80,19.40,14.57,310.00,15.00,0.00,29.66,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010315Z AUTO 31015KT 7SM CLR 21/M07 A2966 RMK AO2
ATS,2017-04-01 03:35,-104.4677,32.8525,68.00,23.00,18.06,320.00,14.00,0.00,29.67,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010335Z AUTO 32014KT 9SM CLR 20/M05 A2967 RMK AO2
ATS,2017-04-01 03:55,-104.4677,32.8525,66.20,24.80,20.72,340.00,12.00,0.00,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010355Z AUTO 34012KT 10SM CLR 19/M04 A2969 RMK AO2
ATS,2017-04-01 04:15,-104.4677,32.8525,66.20,24.80,20.72,330.00,17.00,0.00,29.69,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010415Z AUTO 33017KT 10SM CLR 19/M04 A2969 RMK AO2
ATS,2017-04-01 04:35,-104.4677,32.8525,64.40,24.80,22.06,320.00,18.00,0.00,29.70,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010435Z AUTO 32018KT 10SM CLR 18/M04 A2970 RMK AO2
ATS,2017-04-01 04:55,-104.4677,32.8525,64.40,23.00,20.46,320.00,14.00,0.00,29.71,M,10.00,20.00,CLR,M,M,M,M,M,M,M,M,KATS 010455Z AUTO 32014G20KT 10SM CLR 18/M05 A2971 RMK AO2
ATS,2017-04-01 05:15,-104.4677,32.8525,64.40,24.80,22.06,330.00,9.00,0.00,29.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010515Z AUTO 33009KT 10SM CLR 18/M04 A2971 RMK AO2
ATS,2017-04-01 05:35,-104.4677,32.8525,62.60,23.00,21.79,330.00,10.00,0.00,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010535Z AUTO 33010KT 10SM CLR 17/M05 A2972 RMK AO2
ATS,2017-04-01 05:55,-104.4677,32.8525,62.60,24.80,23.50,350.00,11.00,0.00,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010555Z AUTO 35011KT 10SM CLR 17/M04 A2974 RMK AO2
ATS,2017-04-01 06:15,-104.4677,32.8525,60.80,30.20,31.28,360.00,7.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010615Z AUTO 36007KT 10SM CLR 16/M01 A2976 RMK AO2
ATS,2017-04-01 06:35,-104.4677,32.8525,59.00,44.60,58.77,350.00,17.00,0.00,29.76,M,10.00,24.00,CLR,M,M,M,M,M,M,M,M,KATS 010635Z AUTO 35017G24KT 10SM CLR 15/07 A2976 RMK AO2
ATS,2017-04-01 06:55,-104.4677,32.8525,57.20,44.60,62.69,340.00,15.00,0.00,29.78,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,KATS 010655Z AUTO 34015G22KT 10SM CLR 14/07 A2978 RMK AO2
ATS,2017-04-01 07:15,-104.4677,32.8525,55.40,44.60,66.91,340.00,20.00,0.00,29.79,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,KATS 010715Z AUTO 34020G26KT 10SM CLR 13/07 A2979 RMK AO2
ATS,2017-04-01 07:35,-104.4677,32.8525,53.60,44.60,71.45,330.00,18.00,0.00,29.79,M,10.00,25.00,CLR,M,M,M,M,M,M,M,M,KATS 010735Z AUTO 33018G25KT 10SM CLR 12/07 A2979 RMK AO2
ATS,2017-04-01 07:55,-104.4677,32.8525,53.60,44.60,71.45,330.00,18.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010755Z AUTO 33018KT 10SM CLR 12/07 A2979 RMK AO2
ATS,2017-04-01 08:15,-104.4677,32.8525,51.80,44.60,76.34,340.00,16.00,0.00,29.80,M,10.00,23.00,CLR,M,M,M,M,M,M,M,M,KATS 010815Z AUTO 34016G23KT 10SM CLR 11/07 A2980 RMK AO2
ATS,2017-04-01 08:35,-104.4677,32.8525,51.80,44.60,76.34,330.00,18.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010835Z AUTO 33018KT 10SM CLR 11/07 A2981 RMK AO2
ATS,2017-04-01 08:55,-104.4677,32.8525,51.80,44.60,76.34,340.00,19.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KATS 010855Z AUTO 34019KT 10SM CLR 11/07 A2981 RMK AO2
