#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AUG,2017-04-01 00:00,-69.8000,44.3200,M,M,M,230.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAUG 010000Z AUTO 23004KT 10SM OVC090 A3010 RMK MADISHF
AUG,2017-04-01 00:05,-69.8000,44.3200,M,M,M,230.00,3.00,M,30.10,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAUG 010005Z AUTO 23003KT 10SM OVC090 A3010 RMK MADISHF
AUG,2017-04-01 00:10,-69.8000,44.3200,M,M,M,240.00,5.00,M,30.10,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAUG 010010Z AUTO 24005KT 10SM OVC090 A3010 RMK MADISHF
AUG,2017-04-01 00:15,-69.8000,44.3200,M,M,M,230.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAUG 010015Z AUTO 23004KT 10SM OVC090 A3010 RMK MADISHF
AUG,2017-04-01 00:20,-69.8000,44.3200,M,M,M,220.00,3.00,M,30.10,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,KAUG 010020Z AUTO 22003KT 10SM OVC085 A3010 RMK MADISHF
AUG,2017-04-01 00:25,-69.8000,44.3200,M,M,M,210.00,3.00,M,30.10,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAUG 010025Z AUTO 21003KT 10SM OVC079 A3010 RMK MADISHF
AUG,2017-04-01 00:30,-69.8000,44.3200,M,M,M,220.00,3.00,M,30.10,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAUG 010030Z AUTO 22003KT 10SM OVC079 A3010 RMK MADISHF
AUG,2017-04-01 00:35,-69.8000,44.3200,M,M,M,230.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAUG 010035Z AUTO 23004KT 10SM OVC079 A3010 RMK MADISHF
AUG,2017-04-01 00:40,-69.8000,44.3200,M,M,M,220.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAUG 010040Z AUTO 22004KT 10SM OVC079 A3010 RMK MADISHF
AUG,2017-04-01 00:45,-69.8000,44.3200,M,M,M,220.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAUG 010045Z AUTO 22004KT 10SM OVC079 A3010 RMK MADISHF
AUG,2017-04-01 00:50,-69.8000,44.3200,M,M,M,220.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAUG 010050Z AUTO 22004KT 10SM OVC079 A3010 RMK MADISHF
AUG,2017-04-01 00:53,-69.8000,44.3200,36.00,18.00,47.58,220.00,5.00,0.00,30.10,1019.60,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,KAUG 010053Z AUTO 22005KT 10SM OVC080 02/M08 A3010 RMK AO2 SLP196 T00221078
AUG,2017-04-01 00:55,-69.8000,44.3200,M,M,M,230.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAUG 010055Z AUTO 23004KT 10SM OVC079 A3010 RMK MADISHF
AUG,2017-04-01 01:00,-69.8000,44.3200,M,M,M,250.00,6.00,M,30.10,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAUG 010100Z AUTO 25006KT 10SM OVC079 A3010 RMK MADISHF
AUG,2017-04-01 01:05,-69.8000,44.3200,M,M,M,240.00,6.00,M,30.10,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KAUG 010105Z AUTO 24006KT 10SM OVC075 A3010 RMK MADISHF
AUG,2017-04-01 01:10,-69.8000,44.3200,M,M,M,240.00,6.00,M,30.10,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KAUG 010110Z AUTO 24006KT 10SM OVC075 A3010 RMK MADISHF
AUG,2017-04-01 01:15,-69.8000,44.3200,M,M,M,230.00,3.00,M,30.11,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KAUG 010115Z AUTO 23003KT 10SM OVC075 A3011 RMK VRB03KT  MADISHF
AUG,2017-04-01 01:20,-69.8000,44.3200,M,M,M,240.00,5.00,M,30.10,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KAUG 010120Z AUTO 24005KT 10SM OVC075 A3010 RMK MADISHF
AUG,2017-04-01 01:25,-69.8000,44.3200,M,M,M,240.00,7.00,M,30.10,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KAUG 010125Z AUTO 24007KT 10SM OVC075 A3010 RMK MADISHF
AUG,2017-04-01 01:30,-69.8000,44.3200,M,M,M,240.00,6.00,M,30.11,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KAUG 010130Z AUTO 24006KT 10SM OVC075 A3011 RMK MADISHF
AUG,2017-04-01 01:35,-69.8000,44.3200,M,M,M,230.00,6.00,M,30.11,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KAUG 010135Z AUTO 23006KT 10SM OVC075 A3011 RMK MADISHF
AUG,2017-04-01 01:40,-69.8000,44.3200,M,M,M,230.00,6.00,M,30.11,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KAUG 010140Z AUTO 23006KT 10SM OVC075 A3011 RMK MADISHF
AUG,2017-04-01 01:45,-69.8000,44.3200,M,M,M,250.00,6.00,M,30.11,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KAUG 010145Z AUTO 25006KT 10SM OVC075 A3011 RMK MADISHF
AUG,2017-04-01 01:50,-69.8000,44.3200,M,M,M,230.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KAUG 010150Z AUTO 23005KT 10SM OVC070 A3011 RMK MADISHF
AUG,2017-04-01 01:53,-69.8000,44.3200,33.10,26.10,75.18,240.00,5.00,0.00,30.11,1020.10,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KAUG 010153Z AUTO 24005KT 10SM OVC070 01/M03 A3011 RMK AO2 SLP201 T00061033
AUG,2017-04-01 01:55,-69.8000,44.3200,M,M,M,250.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KAUG 010155Z AUTO 25005KT 10SM OVC070 A3011 RMK MADISHF
AUG,2017-04-01 02:00,-69.8000,44.3200,M,M,M,240.00,4.00,M,30.11,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KAUG 010200Z AUTO 24004KT 10SM OVC070 A3011 RMK MADISHF
AUG,2017-04-01 02:05,-69.8000,44.3200,M,M,M,240.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KAUG 010205Z AUTO 24005KT 10SM OVC065 A3011 RMK MADISHF
AUG,2017-04-01 02:10,-69.8000,44.3200,M,M,M,270.00,6.00,M,30.10,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAUG 010210Z AUTO 27006KT 10SM OVC060 A3010 RMK MADISHF
AUG,2017-04-01 02:15,-69.8000,44.3200,M,M,M,0.00,0.00,M,30.10,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAUG 010215Z AUTO 00000KT 10SM OVC060 A3010 RMK MADISHF
AUG,2017-04-01 02:20,-69.8000,44.3200,M,M,M,250.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAUG 010220Z AUTO 25004KT 10SM OVC060 A3010 RMK MADISHF
AUG,2017-04-01 02:25,-69.8000,44.3200,M,M,M,250.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KAUG 010225Z AUTO 25004KT 10SM OVC065 A3010 RMK MADISHF
AUG,2017-04-01 02:30,-69.8000,44.3200,M,M,M,240.00,3.00,M,30.10,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KAUG 010230Z AUTO 24003KT 10SM OVC065 A3010 RMK MADISHF
AUG,2017-04-01 02:35,-69.8000,44.3200,M,M,M,240.00,3.00,M,30.10,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAUG 010235Z AUTO 24003KT 10SM OVC060 A3010 RMK MADISHF
AUG,2017-04-01 02:40,-69.8000,44.3200,M,M,M,240.00,4.00,M,30.10,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAUG 010240Z AUTO 24004KT 10SM OVC060 A3010 RMK MADISHF
AUG,2017-04-01 02:45,-69.8000,44.3200,M,M,M,240.00,5.00,M,30.10,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAUG 010245Z AUTO 24005KT 10SM OVC060 A3010 RMK MADISHF
AUG,2017-04-01 02:50,-69.8000,44.3200,M,M,M,250.00,5.00,M,30.10,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KAUG 010250Z AUTO 25005KT 10SM OVC055 A3010 RMK MADISHF
AUG,2017-04-01 02:53,-69.8000,44.3200,32.00,26.10,78.58,250.00,4.00,0.00,30.10,1019.60,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KAUG 010253Z AUTO 25004KT 10SM OVC055 00/M03 A3010 RMK AO2 SLP196 T00001033 58001
AUG,2017-04-01 02:55,-69.8000,44.3200,M,M,M,250.00,3.00,M,30.10,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KAUG 010255Z AUTO 25003KT 10SM OVC055 A3010 RMK MADISHF
AUG,2017-04-01 03:00,-69.8000,44.3200,M,M,M,260.00,3.00,M,30.09,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KAUG 010300Z AUTO 26003KT 10SM OVC050 A3009 RMK MADISHF
AUG,2017-04-01 03:05,-69.8000,44.3200,M,M,M,260.00,4.00,M,30.09,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KAUG 010305Z AUTO 26004KT 10SM OVC050 A3009 RMK MADISHF
AUG,2017-04-01 03:10,-69.8000,44.3200,M,M,M,260.00,4.00,M,30.09,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KAUG 010310Z AUTO 26004KT 10SM OVC050 A3009 RMK MADISHF
AUG,2017-04-01 03:15,-69.8000,44.3200,M,M,M,0.00,0.00,M,30.09,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KAUG 010315Z AUTO 00000KT 10SM OVC050 A3009 RMK MADISHF
AUG,2017-04-01 03:20,-69.8000,44.3200,M,M,M,0.00,0.00,M,30.09,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KAUG 010320Z AUTO 00000KT 10SM OVC050 A3009 RMK MADISHF
AUG,2017-04-01 03:25,-69.8000,44.3200,M,M,M,310.00,3.00,M,30.08,M,10.00,M,OVC,M,M,M,4900.00,M,M,M,M,KAUG 010325Z AUTO 31003KT 10SM OVC049 A3008 RMK MADISHF
AUG,2017-04-01 03:30,-69.8000,44.3200,M,M,M,310.00,5.00,M,30.08,M,10.00,M,OVC,M,M,M,4900.00,M,M,M,M,KAUG 010330Z AUTO 31005KT 10SM OVC049 A3008 RMK MADISHF
AUG,2017-04-01 03:35,-69.8000,44.3200,M,M,M,290.00,4.00,M,30.08,M,10.00,M,OVC,M,M,M,4900.00,M,M,M,M,KAUG 010335Z AUTO 29004KT 10SM OVC049 A3008 RMK MADISHF
