#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AUM,2017-04-01 00:16,-92.9333,43.6647,48.20,33.80,57.26,0.00,0.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010016Z AUTO 00000KT 10SM CLR 09/01 A3003 RMK AO2
AUM,2017-04-01 00:36,-92.9333,43.6647,46.40,35.60,65.83,0.00,0.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010036Z AUTO 00000KT 10SM CLR 08/02 A3003 RMK AO2
AUM,2017-04-01 00:56,-92.9333,43.6647,46.40,35.60,65.83,0.00,0.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010056Z AUTO 00000KT 10SM CLR 08/02 A3004 RMK AO2
AUM,2017-04-01 01:16,-92.9333,43.6647,42.80,35.60,75.50,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010116Z AUTO 00000KT 10SM CLR 06/02 A3005 RMK AO2
AUM,2017-04-01 01:37,-92.9333,43.6647,44.60,35.60,70.48,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010137Z AUTO 00000KT 10SM CLR 07/02 A3005 RMK AO2
AUM,2017-04-01 01:56,-92.9333,43.6647,42.80,35.60,75.50,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010156Z AUTO 00000KT 10SM CLR 06/02 A3006 RMK AO2
AUM,2017-04-01 02:16,-92.9333,43.6647,42.80,35.60,75.50,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010216Z AUTO 00000KT 10SM CLR 06/02 A3007 RMK AO2
AUM,2017-04-01 02:36,-92.9333,43.6647,41.00,35.60,80.93,0.00,0.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010236Z AUTO 00000KT 10SM CLR 05/02 A3008 RMK AO2
AUM,2017-04-01 02:56,-92.9333,43.6647,41.00,35.60,80.93,300.00,3.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010256Z AUTO 30003KT 10SM CLR 05/02 A3009 RMK AO2
AUM,2017-04-01 03:16,-92.9333,43.6647,39.20,35.60,86.79,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010316Z AUTO 00000KT 10SM CLR 04/02 A3009 RMK AO2
AUM,2017-04-01 03:36,-92.9333,43.6647,39.20,33.80,80.79,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010336Z AUTO 00000KT 10SM CLR 04/01 A3010 RMK AO2
AUM,2017-04-01 03:56,-92.9333,43.6647,39.20,33.80,80.79,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010356Z AUTO 00000KT 10SM CLR 04/01 A3010 RMK AO2
AUM,2017-04-01 04:17,-92.9333,43.6647,39.20,33.80,80.79,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010417Z AUTO 00000KT 10SM CLR 04/01 A3011 RMK AO2
AUM,2017-04-01 04:36,-92.9333,43.6647,37.40,33.80,86.69,360.00,3.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010436Z AUTO 36003KT 10SM CLR 03/01 A3010 RMK AO2
AUM,2017-04-01 04:56,-92.9333,43.6647,37.40,32.00,80.65,330.00,4.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010456Z AUTO 33004KT 10SM CLR 03/00 A3011 RMK AO2
AUM,2017-04-01 05:16,-92.9333,43.6647,39.20,33.80,80.79,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010516Z AUTO 00000KT 10SM CLR 04/01 A3012 RMK AO2
AUM,2017-04-01 05:36,-92.9333,43.6647,37.40,32.00,80.65,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010536Z AUTO 00000KT 10SM CLR 03/00 A3012 RMK AO2
AUM,2017-04-01 05:56,-92.9333,43.6647,37.40,30.20,74.98,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010556Z AUTO 00000KT 10SM CLR 03/M01 A3013 RMK AO2
AUM,2017-04-01 06:16,-92.9333,43.6647,35.60,30.20,80.51,330.00,3.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010616Z AUTO 33003KT 10SM CLR 02/M01 A3014 RMK AO2
AUM,2017-04-01 06:36,-92.9333,43.6647,33.80,30.20,86.49,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010636Z AUTO 00000KT 10SM CLR 01/M01 A3014 RMK AO2
AUM,2017-04-01 06:56,-92.9333,43.6647,35.60,30.20,80.51,340.00,6.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010656Z AUTO 34006KT 10SM CLR 02/M01 A3014 RMK AO2
AUM,2017-04-01 07:16,-92.9333,43.6647,35.60,30.20,80.51,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010716Z AUTO 00000KT 10SM CLR 02/M01 A3014 RMK AO2
AUM,2017-04-01 07:36,-92.9333,43.6647,35.60,30.20,80.51,340.00,4.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010736Z AUTO 34004KT 10SM CLR 02/M01 A3014 RMK AO2
AUM,2017-04-01 07:56,-92.9333,43.6647,35.60,30.20,80.51,340.00,4.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010756Z AUTO 34004KT 10SM CLR 02/M01 A3015 RMK AO2
AUM,2017-04-01 08:16,-92.9333,43.6647,35.60,30.20,80.51,340.00,3.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010816Z AUTO 34003KT 10SM CLR 02/M01 A3015 RMK AO2
AUM,2017-04-01 08:36,-92.9333,43.6647,35.60,30.20,80.51,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010836Z AUTO 00000KT 10SM CLR 02/M01 A3015 RMK AO2 LTG DSNT S
AUM,2017-04-01 08:56,-92.9333,43.6647,33.80,30.20,86.49,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010856Z AUTO 00000KT 10SM CLR 01/M01 A3016 RMK AO2
AUM,2017-04-01 09:16,-92.9333,43.6647,33.80,30.20,86.49,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010916Z AUTO 00000KT 10SM CLR 01/M01 A3016 RMK AO2
AUM,2017-04-01 09:36,-92.9333,43.6647,33.80,30.20,86.49,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010936Z AUTO 00000KT 10SM CLR 01/M01 A3015 RMK AO2
AUM,2017-04-01 09:56,-92.9333,43.6647,33.80,30.20,86.49,330.00,3.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 010956Z AUTO 33003KT 10SM CLR 01/M01 A3015 RMK AO2
AUM,2017-04-01 10:17,-92.9333,43.6647,33.80,30.20,86.49,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUM 011017Z AUTO 00000KT 10SM CLR 01/M01 A3016 RMK AO2
