#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AUS,2017-04-01 00:00,-97.6699,30.1945,M,M,M,150.00,12.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010000Z AUTO 15012KT 10SM CLR A2972 RMK MADISHF
AUS,2017-04-01 00:05,-97.6699,30.1945,M,M,M,140.00,12.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010005Z AUTO 14012KT 10SM CLR A2972 RMK MADISHF
AUS,2017-04-01 00:10,-97.6699,30.1945,M,M,M,140.00,11.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010010Z AUTO 14011KT 10SM CLR A2972 RMK MADISHF
AUS,2017-04-01 00:15,-97.6699,30.1945,M,M,M,140.00,14.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010015Z AUTO 14014KT 10SM CLR A2972 RMK MADISHF
AUS,2017-04-01 00:20,-97.6699,30.1945,M,M,M,130.00,13.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010020Z AUTO 13013KT 10SM CLR A2972 RMK MADISHF
AUS,2017-04-01 00:25,-97.6699,30.1945,M,M,M,M,M,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010025Z AUTO /////KT 10SM CLR A2972 RMK MADISHF
AUS,2017-04-01 00:30,-97.6699,30.1945,M,M,M,140.00,13.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010030Z AUTO 14013KT 10SM CLR A2972 RMK MADISHF
AUS,2017-04-01 00:35,-97.6699,30.1945,M,M,M,140.00,13.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010035Z AUTO 14013KT 10SM CLR A2972 RMK MADISHF
AUS,2017-04-01 00:40,-97.6699,30.1945,M,M,M,150.00,12.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010040Z AUTO 15012KT 10SM CLR A2972 RMK MADISHF
AUS,2017-04-01 00:45,-97.6699,30.1945,M,M,M,150.00,10.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010045Z AUTO 15010KT 10SM CLR A2973 RMK MADISHF
AUS,2017-04-01 00:50,-97.6699,30.1945,M,M,M,130.00,10.00,M,29.73,M,10.00,M,M,M,M,M,M,M,M,M,M,KAUS 010050Z AUTO 13010KT 10SM A2973 RMK MADISHF
AUS,2017-04-01 00:53,-97.6699,30.1945,77.00,52.00,41.72,140.00,9.00,0.00,29.73,1006.20,10.00,M,FEW,M,M,M,20000.00,M,M,M,M,KAUS 010053Z 14009KT 10SM FEW200 25/11 A2973 RMK AO2 SLP062 T02500111
AUS,2017-04-01 00:55,-97.6699,30.1945,M,M,M,130.00,9.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010055Z AUTO 13009KT 10SM CLR A2973 RMK MADISHF
AUS,2017-04-01 01:00,-97.6699,30.1945,M,M,M,130.00,9.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010100Z AUTO 13009KT 10SM CLR A2973 RMK MADISHF
AUS,2017-04-01 01:05,-97.6699,30.1945,M,M,M,130.00,10.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010105Z AUTO 13010KT 10SM CLR A2974 RMK MADISHF
AUS,2017-04-01 01:10,-97.6699,30.1945,M,M,M,140.00,9.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010110Z AUTO 14009KT 10SM CLR A2974 RMK MADISHF
AUS,2017-04-01 01:15,-97.6699,30.1945,M,M,M,140.00,11.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010115Z AUTO 14011KT 10SM CLR A2974 RMK MADISHF
AUS,2017-04-01 01:20,-97.6699,30.1945,M,M,M,150.00,12.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010120Z AUTO 15012KT 10SM CLR A2974 RMK MADISHF
AUS,2017-04-01 01:25,-97.6699,30.1945,M,M,M,150.00,11.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010125Z AUTO 15011KT 10SM CLR A2975 RMK MADISHF
AUS,2017-04-01 01:30,-97.6699,30.1945,M,M,M,140.00,10.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010130Z AUTO 14010KT 10SM CLR A2975 RMK MADISHF
AUS,2017-04-01 01:35,-97.6699,30.1945,M,M,M,140.00,9.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010135Z AUTO 14009KT 10SM CLR A2975 RMK MADISHF
AUS,2017-04-01 01:40,-97.6699,30.1945,M,M,M,140.00,10.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010140Z AUTO 14010KT 10SM CLR A2975 RMK MADISHF
AUS,2017-04-01 01:45,-97.6699,30.1945,M,M,M,140.00,10.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010145Z AUTO 14010KT 10SM CLR A2975 RMK MADISHF
AUS,2017-04-01 01:50,-97.6699,30.1945,M,M,M,140.00,11.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010150Z AUTO 14011KT 10SM CLR A2975 RMK MADISHF
AUS,2017-04-01 01:53,-97.6699,30.1945,73.90,51.10,44.76,140.00,11.00,0.00,29.75,1006.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010153Z 14011KT 10SM CLR 23/11 A2975 RMK AO2 SLP069 T02330106
AUS,2017-04-01 01:55,-97.6699,30.1945,M,M,M,140.00,10.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010155Z AUTO 14010KT 10SM CLR A2975 RMK MADISHF
AUS,2017-04-01 02:00,-97.6699,30.1945,M,M,M,140.00,8.00,M,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010200Z AUTO 14008KT 10SM CLR A2976 RMK MADISHF
AUS,2017-04-01 02:05,-97.6699,30.1945,M,M,M,140.00,8.00,M,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010205Z AUTO 14008KT 10SM CLR A2976 RMK MADISHF
AUS,2017-04-01 02:10,-97.6699,30.1945,M,M,M,140.00,7.00,M,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010210Z AUTO 14007KT 10SM CLR A2976 RMK MADISHF
AUS,2017-04-01 02:15,-97.6699,30.1945,M,M,M,140.00,8.00,M,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010215Z AUTO 14008KT 10SM CLR A2976 RMK MADISHF
AUS,2017-04-01 02:20,-97.6699,30.1945,M,M,M,150.00,7.00,M,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010220Z AUTO 15007KT 10SM CLR A2977 RMK MADISHF
AUS,2017-04-01 02:25,-97.6699,30.1945,M,M,M,150.00,9.00,M,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010225Z AUTO 15009KT 10SM CLR A2977 RMK MADISHF
AUS,2017-04-01 02:30,-97.6699,30.1945,M,M,M,140.00,10.00,M,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAUS 010230Z AUTO 14010KT 10SM CLR A2977 RMK MADISHF
