#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AVK,2017-04-01 00:15,-98.6700,36.7732,53.60,46.40,76.50,60.00,9.00,0.00,29.89,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KAVK 010015Z AUTO 06009KT 10SM OVC027 12/08 A2989 RMK AO2
AVK,2017-04-01 00:35,-98.6700,36.7732,53.60,46.40,76.50,50.00,6.00,0.00,29.91,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KAVK 010035Z AUTO 05006KT 10SM OVC029 12/08 A2991 RMK AO2
AVK,2017-04-01 00:55,-98.6700,36.7732,53.60,46.40,76.50,40.00,7.00,0.00,29.91,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KAVK 010055Z AUTO 04007KT 10SM OVC029 12/08 A2991 RMK AO2
AVK,2017-04-01 01:15,-98.6700,36.7732,53.60,46.40,76.50,40.00,6.00,0.00,29.93,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KAVK 010115Z AUTO 04006KT 10SM OVC031 12/08 A2993 RMK AO2
AVK,2017-04-01 01:35,-98.6700,36.7732,53.60,46.40,76.50,10.00,9.00,0.00,29.94,M,10.00,M,OVC,M,M,M,3300.00,M,M,M,M,KAVK 010135Z AUTO 01009KT 10SM OVC033 12/08 A2994 RMK AO2
AVK,2017-04-01 01:55,-98.6700,36.7732,51.80,46.40,81.74,20.00,11.00,0.00,29.95,M,10.00,M,OVC,M,M,M,3500.00,M,M,M,M,KAVK 010155Z AUTO 02011KT 10SM OVC035 11/08 A2995 RMK AO2 LTG DSNT N AND E
AVK,2017-04-01 02:15,-98.6700,36.7732,50.00,44.60,81.61,20.00,15.00,0.00,29.96,M,10.00,19.00,OVC,M,M,M,3500.00,M,M,M,-RA,KAVK 010215Z AUTO 02015G19KT 10SM -RA OVC035 10/07 A2996 RMK AO2
AVK,2017-04-01 02:35,-98.6700,36.7732,50.00,44.60,81.61,20.00,12.00,0.00,29.97,M,10.00,M,OVC,M,M,M,3500.00,M,M,M,M,KAVK 010235Z AUTO 02012KT 10SM OVC035 10/07 A2997 RMK AO2
AVK,2017-04-01 02:55,-98.6700,36.7732,50.00,44.60,81.61,20.00,15.00,0.00,29.97,M,10.00,20.00,OVC,M,M,M,3500.00,M,M,M,M,KAVK 010255Z AUTO 02015G20KT 10SM OVC035 10/07 A2997 RMK AO2
AVK,2017-04-01 03:15,-98.6700,36.7732,48.20,44.60,87.28,50.00,12.00,0.00,29.96,M,10.00,M,OVC,M,M,M,3500.00,M,M,M,M,KAVK 010315Z AUTO 05012KT 10SM OVC035 09/07 A2996 RMK AO2
