#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AVL,2017-04-01 00:00,-82.5375,35.4319,M,M,M,350.00,7.00,M,29.83,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KAVL 010000Z AUTO 35007KT 10SM OVC055 A2983 RMK MADISHF
AVL,2017-04-01 00:05,-82.5375,35.4319,M,M,M,350.00,8.00,M,29.83,M,10.00,M,FEW,OVC,M,M,4500.00,6000.00,M,M,M,KAVL 010005Z AUTO 35008KT 10SM FEW045 OVC060 A2983 RMK MADISHF
AVL,2017-04-01 00:10,-82.5375,35.4319,M,M,M,350.00,9.00,M,29.83,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,KAVL 010010Z AUTO 35009KT 10SM BKN050 OVC060 A2983 RMK MADISHF
AVL,2017-04-01 00:15,-82.5375,35.4319,M,M,M,340.00,9.00,M,29.83,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,KAVL 010015Z AUTO 34009KT 10SM BKN050 OVC060 A2983 RMK MADISHF
AVL,2017-04-01 00:20,-82.5375,35.4319,M,M,M,320.00,9.00,M,29.83,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,KAVL 010020Z AUTO 32009KT 10SM BKN050 OVC060 A2983 RMK MADISHF
AVL,2017-04-01 00:25,-82.5375,35.4319,M,M,M,320.00,9.00,M,29.83,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,KAVL 010025Z AUTO 32009KT 10SM BKN050 OVC060 A2983 RMK MADISHF
AVL,2017-04-01 00:30,-82.5375,35.4319,M,M,M,300.00,4.00,M,29.83,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,KAVL 010030Z AUTO 30004KT 10SM BKN050 OVC060 A2983 RMK MADISHF
AVL,2017-04-01 00:35,-82.5375,35.4319,M,M,M,290.00,11.00,M,29.84,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,KAVL 010035Z AUTO 29011KT 10SM BKN050 OVC060 A2984 RMK MADISHF
AVL,2017-04-01 00:40,-82.5375,35.4319,M,M,M,300.00,9.00,M,29.84,M,10.00,M,OVC,M,M,M,4900.00,M,M,M,M,KAVL 010040Z AUTO 30009KT 10SM OVC049 A2984 RMK MADISHF
AVL,2017-04-01 00:45,-82.5375,35.4319,M,M,M,290.00,6.00,M,29.84,M,10.00,M,BKN,OVC,M,M,4900.00,6000.00,M,M,M,KAVL 010045Z AUTO 29006KT 10SM BKN049 OVC060 A2984 RMK MADISHF
AVL,2017-04-01 00:50,-82.5375,35.4319,M,M,M,280.00,11.00,M,29.84,M,10.00,M,OVC,M,M,M,4900.00,M,M,M,M,KAVL 010050Z AUTO 28011KT 10SM OVC049 A2984 RMK MADISHF
AVL,2017-04-01 00:54,-82.5375,35.4319,57.00,39.00,50.88,290.00,9.00,0.00,29.85,1009.30,10.00,15.00,OVC,M,M,M,4900.00,M,M,M,M,KAVL 010054Z 29009G15KT 10SM OVC049 14/04 A2985 RMK AO2 SLP093 T01390039
AVL,2017-04-01 00:55,-82.5375,35.4319,M,M,M,M,M,M,29.85,M,10.00,M,OVC,M,M,M,4900.00,M,M,M,M,KAVL 010055Z AUTO /////KT 10SM OVC049 A2985 RMK MADISHF
AVL,2017-04-01 01:00,-82.5375,35.4319,M,M,M,290.00,8.00,M,29.85,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KAVL 010100Z AUTO 29008KT 10SM OVC050 A2985 RMK MADISHF
AVL,2017-04-01 01:05,-82.5375,35.4319,M,M,M,310.00,8.00,M,29.85,M,10.00,M,BKN,OVC,M,M,4700.00,5500.00,M,M,M,KAVL 010105Z AUTO 31008KT 10SM BKN047 OVC055 A2985 RMK MADISHF
AVL,2017-04-01 01:10,-82.5375,35.4319,M,M,M,320.00,5.00,M,29.86,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KAVL 010110Z AUTO 32005KT 10SM OVC045 A2986 RMK MADISHF
AVL,2017-04-01 01:15,-82.5375,35.4319,M,M,M,330.00,4.00,M,29.86,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KAVL 010115Z AUTO 33004KT 10SM OVC045 A2986 RMK MADISHF
AVL,2017-04-01 01:20,-82.5375,35.4319,M,M,M,330.00,5.00,M,29.86,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KAVL 010120Z AUTO 33005KT 10SM OVC045 A2986 RMK MADISHF
AVL,2017-04-01 01:25,-82.5375,35.4319,M,M,M,350.00,7.00,M,29.86,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010125Z AUTO 35007KT 10SM OVC043 A2986 RMK MADISHF
AVL,2017-04-01 01:30,-82.5375,35.4319,M,M,M,360.00,4.00,M,29.87,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010130Z AUTO 36004KT 10SM OVC041 A2987 RMK MADISHF
AVL,2017-04-01 01:35,-82.5375,35.4319,M,M,M,350.00,6.00,M,29.87,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010135Z AUTO 35006KT 10SM OVC041 A2987 RMK MADISHF
AVL,2017-04-01 01:40,-82.5375,35.4319,M,M,M,360.00,5.00,M,29.87,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010140Z AUTO 36005KT 10SM OVC041 A2987 RMK MADISHF
AVL,2017-04-01 01:45,-82.5375,35.4319,M,M,M,10.00,5.00,M,29.87,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010145Z AUTO 01005KT 10SM OVC041 A2987 RMK MADISHF
AVL,2017-04-01 01:50,-82.5375,35.4319,M,M,M,350.00,5.00,M,29.87,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010150Z AUTO 35005KT 10SM OVC041 A2987 RMK MADISHF
AVL,2017-04-01 01:54,-82.5375,35.4319,55.90,39.00,52.94,350.00,5.00,0.00,29.88,1010.20,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010154Z 35005KT 10SM OVC041 13/04 A2988 RMK AO2 SLP102 T01330039
AVL,2017-04-01 01:55,-82.5375,35.4319,M,M,M,340.00,4.00,M,29.88,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010155Z AUTO 34004KT 10SM OVC041 A2988 RMK MADISHF
AVL,2017-04-01 02:00,-82.5375,35.4319,M,M,M,350.00,5.00,M,29.88,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010200Z AUTO 35005KT 10SM OVC041 A2988 RMK VRB05KT  MADISHF
AVL,2017-04-01 02:05,-82.5375,35.4319,M,M,M,360.00,5.00,M,29.88,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010205Z AUTO 36005KT 10SM OVC041 A2988 RMK MADISHF
AVL,2017-04-01 02:10,-82.5375,35.4319,M,M,M,360.00,7.00,M,29.88,M,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KAVL 010210Z AUTO 36007KT 10SM OVC041 A2988 RMK MADISHF
AVL,2017-04-01 02:15,-82.5375,35.4319,M,M,M,350.00,6.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010215Z AUTO 35006KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 02:20,-82.5375,35.4319,M,M,M,350.00,7.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010220Z AUTO 35007KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 02:25,-82.5375,35.4319,M,M,M,350.00,7.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010225Z AUTO 35007KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 02:30,-82.5375,35.4319,M,M,M,350.00,9.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010230Z AUTO 35009KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 02:35,-82.5375,35.4319,M,M,M,340.00,12.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010235Z AUTO 34012KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 02:40,-82.5375,35.4319,M,M,M,340.00,9.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010240Z AUTO 34009KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 02:45,-82.5375,35.4319,M,M,M,350.00,9.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010245Z AUTO 35009KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 02:50,-82.5375,35.4319,M,M,M,340.00,10.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010250Z AUTO 34010KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 02:54,-82.5375,35.4319,55.00,39.90,56.66,340.00,11.00,0.00,29.88,1010.50,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010254Z AUTO 34011KT 10SM OVC043 13/04 A2988 RMK AO2 SLP105 T01280044 51019
AVL,2017-04-01 02:55,-82.5375,35.4319,M,M,M,340.00,12.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010255Z AUTO 34012KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 03:00,-82.5375,35.4319,M,M,M,330.00,8.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010300Z AUTO 33008KT 10SM OVC043 A2988 RMK MADISHF
AVL,2017-04-01 03:05,-82.5375,35.4319,M,M,M,330.00,12.00,M,29.88,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KAVL 010305Z AUTO 33012KT 10SM OVC043 A2988 RMK MADISHF
