#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AVX,2017-04-01 00:00,-118.4158,33.4050,M,M,M,260.00,9.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010000Z AUTO 26009KT 10SM CLR A2982 RMK MADISHF
AVX,2017-04-01 00:05,-118.4158,33.4050,M,M,M,240.00,7.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010005Z AUTO 24007KT 10SM CLR A2983 RMK MADISHF
AVX,2017-04-01 00:10,-118.4158,33.4050,M,M,M,250.00,8.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010010Z AUTO 25008KT 10SM CLR A2983 RMK MADISHF
AVX,2017-04-01 00:15,-118.4158,33.4050,M,M,M,250.00,7.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010015Z AUTO 25007KT 10SM CLR A2983 RMK MADISHF
AVX,2017-04-01 00:20,-118.4158,33.4050,M,M,M,260.00,8.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010020Z AUTO 26008KT 10SM CLR A2983 RMK MADISHF
AVX,2017-04-01 00:25,-118.4158,33.4050,M,M,M,260.00,7.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010025Z AUTO 26007KT 10SM CLR A2983 RMK MADISHF
AVX,2017-04-01 00:30,-118.4158,33.4050,M,M,M,240.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010030Z AUTO 24006KT 10SM CLR A2983 RMK MADISHF
AVX,2017-04-01 00:35,-118.4158,33.4050,M,M,M,240.00,7.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010035Z AUTO 24007KT 10SM CLR A2982 RMK MADISHF
AVX,2017-04-01 00:40,-118.4158,33.4050,M,M,M,250.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010040Z AUTO 25006KT 10SM CLR A2983 RMK MADISHF
AVX,2017-04-01 00:45,-118.4158,33.4050,M,M,M,250.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAVX 010045Z AUTO 25006KT 10SM CLR A2983 RMK MADISHF
