#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AWO,2017-04-01 00:00,-122.1590,48.1608,M,M,M,290.00,7.00,M,30.31,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,KAWO 010000Z AUTO 29007KT 10SM BKN090 A3031 RMK MADISHF
AWO,2017-04-01 00:05,-122.1590,48.1608,M,M,M,0.00,0.00,M,30.31,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,KAWO 010005Z AUTO 00000KT 10SM BKN090 A3031 RMK MADISHF
AWO,2017-04-01 00:10,-122.1590,48.1608,M,M,M,330.00,7.00,M,30.30,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAWO 010010Z AUTO 33007KT 10SM OVC090 A3030 RMK MADISHF
AWO,2017-04-01 00:15,-122.1590,48.1608,55.40,37.40,50.64,310.00,7.00,0.00,30.30,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAWO 010015Z AUTO 31007KT 10SM OVC090 13/03 A3030 RMK AO1
AWO,2017-04-01 00:20,-122.1590,48.1608,M,M,M,320.00,6.00,M,30.30,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAWO 010020Z AUTO 32006KT 10SM OVC090 A3030 RMK MADISHF
AWO,2017-04-01 00:25,-122.1590,48.1608,M,M,M,310.00,7.00,M,30.30,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAWO 010025Z AUTO 31007KT 10SM OVC090 A3030 RMK MADISHF
AWO,2017-04-01 00:30,-122.1590,48.1608,M,M,M,330.00,8.00,M,30.30,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAWO 010030Z AUTO 33008KT 10SM OVC090 A3030 RMK MADISHF
AWO,2017-04-01 00:35,-122.1590,48.1608,53.60,37.40,54.07,320.00,7.00,0.00,30.30,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAWO 010035Z AUTO 32007KT 10SM OVC090 12/03 A3030 RMK AO1
AWO,2017-04-01 00:40,-122.1590,48.1608,M,M,M,320.00,9.00,M,30.30,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAWO 010040Z AUTO 32009KT 10SM OVC079 A3030 RMK MADISHF
AWO,2017-04-01 00:45,-122.1590,48.1608,M,M,M,320.00,9.00,M,30.30,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAWO 010045Z AUTO 32009KT 10SM OVC079 A3030 RMK MADISHF
AWO,2017-04-01 00:50,-122.1590,48.1608,M,M,M,320.00,9.00,M,30.30,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAWO 010050Z AUTO 32009KT 10SM OVC079 A3030 RMK MADISHF
AWO,2017-04-01 00:55,-122.1590,48.1608,53.60,35.60,50.36,330.00,8.00,0.00,30.30,M,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,KAWO 010055Z AUTO 33008KT 10SM OVC080 12/02 A3030 RMK AO1
AWO,2017-04-01 01:00,-122.1590,48.1608,M,M,M,330.00,7.00,M,30.30,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAWO 010100Z AUTO 33007KT 10SM OVC079 A3030 RMK MADISHF
AWO,2017-04-01 01:05,-122.1590,48.1608,M,M,M,330.00,7.00,M,30.30,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAWO 010105Z AUTO 33007KT 10SM OVC079 A3030 RMK MADISHF
AWO,2017-04-01 01:10,-122.1590,48.1608,M,M,M,340.00,8.00,M,30.30,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KAWO 010110Z AUTO 34008KT 10SM OVC079 A3030 RMK MADISHF
AWO,2017-04-01 01:15,-122.1590,48.1608,53.60,37.40,54.07,330.00,6.00,0.00,30.30,M,10.00,M,SCT,OVC,M,M,7000.00,8000.00,M,M,M,KAWO 010115Z AUTO 33006KT 10SM SCT070 OVC080 12/03 A3030 RMK AO1
AWO,2017-04-01 01:20,-122.1590,48.1608,M,M,M,320.00,8.00,M,30.30,M,10.00,M,SCT,OVC,M,M,7000.00,7999.00,M,M,M,KAWO 010120Z AUTO 32008KT 10SM SCT070 OVC079 A3030 RMK MADISHF
