#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AXA,2017-04-01 00:00,-94.2724,43.0796,42.80,37.40,81.07,40.00,8.00,0.00,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KAXA 010000Z AUTO 04008KT 10SM OVC024 06/03 A3005 RMK AO2
AXA,2017-04-01 00:10,-94.2724,43.0796,42.80,37.40,81.07,50.00,8.00,0.00,30.05,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KAXA 010010Z AUTO 05008KT 10SM OVC025 06/03 A3005 RMK AO2
AXA,2017-04-01 00:15,-94.2724,43.0796,42.80,37.40,81.07,50.00,7.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2600.00,M,M,M,M,KAXA 010015Z AUTO 05007KT 10SM OVC026 06/03 A3006 RMK AO2
AXA,2017-04-01 00:20,-94.2724,43.0796,42.80,37.40,81.07,50.00,7.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KAXA 010020Z AUTO 05007KT 10SM OVC027 06/03 A3006 RMK AO2
AXA,2017-04-01 00:30,-94.2724,43.0796,42.80,37.40,81.07,60.00,6.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KAXA 010030Z AUTO 06006KT 10SM OVC027 06/03 A3006 RMK AO2
AXA,2017-04-01 00:35,-94.2724,43.0796,42.80,37.40,81.07,60.00,5.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KAXA 010035Z AUTO 06005KT 10SM OVC028 06/03 A3006 RMK AO2
AXA,2017-04-01 00:40,-94.2724,43.0796,42.80,37.40,81.07,60.00,5.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KAXA 010040Z AUTO 06005KT 10SM OVC028 06/03 A3006 RMK AO2
AXA,2017-04-01 00:50,-94.2724,43.0796,41.00,37.40,86.89,0.00,0.00,0.00,30.07,M,10.00,M,BKN,M,M,M,2800.00,M,M,M,M,KAXA 010050Z AUTO 00000KT 10SM BKN028 05/03 A3007 RMK AO2
AXA,2017-04-01 00:55,-94.2724,43.0796,41.00,37.40,86.89,0.00,0.00,0.00,30.07,M,10.00,M,BKN,M,M,M,2800.00,M,M,M,M,KAXA 010055Z AUTO 00000KT 10SM BKN028 05/03 A3007 RMK AO2
AXA,2017-04-01 01:00,-94.2724,43.0796,41.00,37.40,86.89,0.00,0.00,0.00,30.07,M,10.00,M,SCT,M,M,M,2800.00,M,M,M,M,KAXA 010100Z AUTO 00000KT 10SM SCT028 05/03 A3007 RMK AO2
AXA,2017-04-01 01:10,-94.2724,43.0796,41.00,37.40,86.89,0.00,0.00,0.00,30.08,M,10.00,M,FEW,M,M,M,2800.00,M,M,M,M,KAXA 010110Z AUTO 00000KT 10SM FEW028 05/03 A3008 RMK AO2
AXA,2017-04-01 01:15,-94.2724,43.0796,41.00,37.40,86.89,0.00,0.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXA 010115Z AUTO 00000KT 10SM CLR 05/03 A3008 RMK AO2
