#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AXN,2017-04-01 00:00,-95.3947,45.8663,M,M,M,20.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010000Z AUTO 02004KT 10SM CLR A3006 RMK MADISHF
AXN,2017-04-01 00:05,-95.3947,45.8663,M,M,M,10.00,5.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010005Z AUTO 01005KT 10SM CLR A3006 RMK MADISHF
AXN,2017-04-01 00:10,-95.3947,45.8663,M,M,M,20.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010010Z AUTO 02004KT 10SM CLR A3006 RMK MADISHF
AXN,2017-04-01 00:15,-95.3947,45.8663,M,M,M,20.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010015Z AUTO 02004KT 10SM CLR A3006 RMK MADISHF
AXN,2017-04-01 00:20,-95.3947,45.8663,M,M,M,20.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010020Z AUTO 02004KT 10SM CLR A3006 RMK MADISHF
AXN,2017-04-01 00:25,-95.3947,45.8663,M,M,M,30.00,5.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010025Z AUTO 03005KT 10SM CLR A3007 RMK MADISHF
AXN,2017-04-01 00:30,-95.3947,45.8663,M,M,M,20.00,5.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010030Z AUTO 02005KT 10SM CLR A3007 RMK MADISHF
AXN,2017-04-01 00:35,-95.3947,45.8663,M,M,M,20.00,4.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010035Z AUTO 02004KT 10SM CLR A3007 RMK MADISHF
AXN,2017-04-01 00:40,-95.3947,45.8663,M,M,M,30.00,5.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010040Z AUTO 03005KT 10SM CLR A3007 RMK MADISHF
AXN,2017-04-01 00:45,-95.3947,45.8663,M,M,M,30.00,5.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010045Z AUTO 03005KT 10SM CLR A3007 RMK MADISHF
AXN,2017-04-01 00:50,-95.3947,45.8663,M,M,M,30.00,5.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010050Z AUTO 03005KT 10SM CLR A3007 RMK MADISHF
AXN,2017-04-01 00:53,-95.3947,45.8663,51.10,28.90,42.16,40.00,4.00,0.00,30.07,1019.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010053Z AUTO 04004KT 10SM CLR 11/M02 A3007 RMK AO2 SLP196 T01061017
AXN,2017-04-01 00:55,-95.3947,45.8663,M,M,M,40.00,4.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010055Z AUTO 04004KT 10SM CLR A3007 RMK MADISHF
AXN,2017-04-01 01:00,-95.3947,45.8663,M,M,M,40.00,4.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXN 010100Z AUTO 04004KT 10SM CLR A3007 RMK MADISHF
