#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AXX,2017-04-01 00:15,-105.2899,36.4220,38.30,30.90,74.46,110.00,14.00,0.00,29.78,M,10.00,22.00,SCT,SCT,BKN,M,1200.00,5000.00,6500.00,M,-RA,KAXX 010015Z AUTO 11014G22KT 10SM -RA SCT012 SCT050 BKN065 04/M01 A2978 RMK AO2 T00351006
AXX,2017-04-01 00:35,-105.2899,36.4220,39.20,28.90,66.27,120.00,11.00,0.00,29.79,M,10.00,20.00,SCT,SCT,BKN,M,1000.00,5000.00,11000.00,M,M,KAXX 010035Z AUTO 12011G20KT 10SM SCT010 SCT050 BKN110 04/M02 A2979 RMK AO2 T00401017
AXX,2017-04-01 00:55,-105.2899,36.4220,38.10,28.90,69.18,110.00,17.00,0.00,29.80,M,10.00,23.00,SCT,BKN,OVC,M,3600.00,4800.00,10000.00,M,M,KAXX 010055Z AUTO 11017G23KT 10SM SCT036 BKN048 OVC100 03/M02 A2980 RMK AO2 T00341017
AXX,2017-04-01 01:15,-105.2899,36.4220,35.40,31.10,84.17,110.00,10.00,0.00,29.84,M,4.00,27.00,SCT,BKN,OVC,M,1300.00,2100.00,4700.00,M,-RA,KAXX 010115Z AUTO 11010G27KT 4SM -RA SCT013 BKN021 OVC047 02/00 A2984 RMK AO2 T00191005
AXX,2017-04-01 01:30,-105.2899,36.4220,34.30,31.80,90.46,0.00,0.00,0.00,29.84,M,7.00,M,SCT,BKN,OVC,M,1300.00,3300.00,5000.00,M,-RA,KAXX 010130Z AUTO 00000KT 7SM -RA SCT013 BKN033 OVC050 01/00 A2984 RMK AO2 T00131001
AXX,2017-04-01 01:55,-105.2899,36.4220,35.60,30.00,79.86,210.00,10.00,0.00,29.86,M,7.00,20.00,SCT,BKN,OVC,M,1300.00,2800.00,5000.00,M,-SN,KAXX 010155Z AUTO 21010G20KT 7SM -SN SCT013 BKN028 OVC050 02/M01 A2986 RMK AO2 T00201011
AXX,2017-04-01 02:15,-105.2899,36.4220,33.10,30.70,90.77,240.00,7.00,0.00,29.86,M,10.00,M,SCT,SCT,BKN,M,1300.00,2000.00,2600.00,M,-SN,KAXX 010215Z AUTO 24007KT 10SM -SN SCT013 SCT020 BKN026 01/M01 A2986 RMK AO2 T00061007
AXX,2017-04-01 02:35,-105.2899,36.4220,32.70,30.20,90.39,250.00,5.00,0.00,29.88,M,10.00,M,SCT,M,M,M,2900.00,M,M,M,M,KAXX 010235Z AUTO 25005KT 10SM SCT029 00/M01 A2988 RMK AO2 T00041010
AXX,2017-04-01 02:55,-105.2899,36.4220,32.00,29.30,89.63,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAXX 010255Z AUTO 00000KT 10SM CLR 00/M01 A2989 RMK AO2 T00001015
AXX,2017-04-01 03:15,-105.2899,36.4220,32.00,29.30,89.63,0.00,0.00,0.00,29.90,M,10.00,M,SCT,M,M,M,3200.00,M,M,M,M,KAXX 010315Z AUTO 00000KT 10SM SCT032 00/M01 A2990 RMK AO2 T00001015
AXX,2017-04-01 03:35,-105.2899,36.4220,32.00,29.50,90.36,0.00,0.00,0.00,29.91,M,10.00,M,SCT,OVC,M,M,2600.00,3400.00,M,M,M,KAXX 010335Z AUTO 00000KT 10SM SCT026 OVC034 00/M01 A2991 RMK AO2 T00001014
AXX,2017-04-01 03:50,-105.2899,36.4220,32.00,29.80,91.47,0.00,0.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,2600.00,3200.00,M,M,M,KAXX 010350Z AUTO 00000KT 10SM BKN026 OVC032 00/M01 A2991 RMK AO2 T00001012
