#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BAM,2017-04-01 00:15,-116.8743,40.5990,50.00,32.00,49.81,320.00,9.00,0.00,30.04,M,10.00,M,BKN,OVC,M,M,4100.00,4700.00,M,M,M,KBAM 010015Z AUTO 32009KT 10SM BKN041 OVC047 10/00 A3004 RMK AO1
BAM,2017-04-01 00:35,-116.8743,40.5990,50.00,33.80,53.54,330.00,7.00,0.00,30.05,M,10.00,M,OVC,M,M,M,4400.00,M,M,M,M,KBAM 010035Z AUTO 33007KT 10SM OVC044 10/01 A3005 RMK AO1
BAM,2017-04-01 00:55,-116.8743,40.5990,50.00,33.80,53.54,330.00,7.00,0.00,30.06,M,10.00,M,OVC,M,M,M,4400.00,M,M,M,M,KBAM 010055Z AUTO 33007KT 10SM OVC044 10/01 A3006 RMK AO1
BAM,2017-04-01 01:15,-116.8743,40.5990,50.00,33.80,53.54,20.00,10.00,0.00,30.06,M,10.00,M,OVC,M,M,M,4400.00,M,M,M,M,KBAM 010115Z AUTO 02010KT 10SM OVC044 10/01 A3006 RMK AO1
BAM,2017-04-01 01:35,-116.8743,40.5990,48.20,33.80,57.26,20.00,6.00,0.00,30.06,M,10.00,M,OVC,M,M,M,4600.00,M,M,M,M,KBAM 010135Z AUTO 02006KT 10SM OVC046 09/01 A3006 RMK AO1
BAM,2017-04-01 01:55,-116.8743,40.5990,48.20,32.00,53.27,20.00,9.00,0.00,30.07,M,10.00,15.00,OVC,M,M,M,4600.00,M,M,M,M,KBAM 010155Z AUTO 02009G15KT 10SM OVC046 09/00 A3007 RMK AO1
BAM,2017-04-01 02:15,-116.8743,40.5990,46.40,32.00,57.00,20.00,13.00,0.00,30.07,M,10.00,19.00,BKN,BKN,M,M,4800.00,7000.00,M,M,M,KBAM 010215Z AUTO 02013G19KT 10SM BKN048 BKN070 08/00 A3007 RMK AO1
BAM,2017-04-01 02:35,-116.8743,40.5990,46.40,33.80,61.28,360.00,13.00,0.00,30.08,M,10.00,M,BKN,OVC,M,M,5000.00,7000.00,M,M,M,KBAM 010235Z AUTO 36013KT 10SM BKN050 OVC070 08/01 A3008 RMK AO1
BAM,2017-04-01 02:55,-116.8743,40.5990,46.40,32.00,57.00,10.00,13.00,0.00,30.09,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KBAM 010255Z AUTO 01013KT 10SM OVC050 08/00 A3009 RMK AO1
BAM,2017-04-01 03:15,-116.8743,40.5990,46.40,32.00,57.00,10.00,13.00,0.00,30.09,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KBAM 010315Z AUTO 01013KT 10SM OVC050 08/00 A3009 RMK AO1
