#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BAX,2017-04-01 00:16,-82.9854,43.7802,34.30,33.10,95.31,30.00,10.00,0.00,29.87,M,10.00,17.00,OVC,M,M,M,600.00,M,M,M,M,KBAX 010016Z AUTO 03010G17KT 10SM OVC006 01/01 A2987 RMK AO2 T00130006
BAX,2017-04-01 00:36,-82.9854,43.7802,34.30,33.10,95.31,30.00,13.00,0.00,29.87,M,10.00,20.00,OVC,M,M,M,600.00,M,M,M,M,KBAX 010036Z AUTO 03013G20KT 10SM OVC006 01/01 A2987 RMK AO2 T00130006
BAX,2017-04-01 00:56,-82.9854,43.7802,34.70,33.10,93.81,30.00,12.00,0.00,29.88,M,10.00,17.00,OVC,M,M,M,600.00,M,M,M,M,KBAX 010056Z AUTO 03012G17KT 10SM OVC006 02/01 A2988 RMK AO2 T00150006
BAX,2017-04-01 01:16,-82.9854,43.7802,34.70,32.90,93.06,20.00,11.00,0.00,29.90,M,10.00,17.00,OVC,M,M,M,800.00,M,M,M,M,KBAX 010116Z AUTO 02011G17KT 10SM OVC008 02/01 A2990 RMK AO2 T00150005
BAX,2017-04-01 01:36,-82.9854,43.7802,34.70,32.70,92.31,20.00,10.00,0.00,29.91,M,10.00,14.00,OVC,M,M,M,800.00,M,M,M,M,KBAX 010136Z AUTO 02010G14KT 10SM OVC008 02/00 A2991 RMK AO2 T00150004
BAX,2017-04-01 01:56,-82.9854,43.7802,34.70,32.50,91.57,20.00,12.00,0.00,29.92,M,10.00,17.00,OVC,M,M,M,800.00,M,M,M,M,KBAX 010156Z AUTO 02012G17KT 10SM OVC008 02/00 A2992 RMK AO2 T00150003
BAX,2017-04-01 02:16,-82.9854,43.7802,34.70,32.50,91.57,20.00,11.00,0.00,29.92,M,10.00,15.00,OVC,M,M,M,800.00,M,M,M,M,KBAX 010216Z AUTO 02011G15KT 10SM OVC008 02/00 A2992 RMK AO2 T00150003
BAX,2017-04-01 02:36,-82.9854,43.7802,34.70,32.50,91.57,10.00,10.00,0.00,29.93,M,10.00,19.00,OVC,M,M,M,800.00,M,M,M,M,KBAX 010236Z AUTO 01010G19KT 10SM OVC008 02/00 A2993 RMK AO2 T00150003
BAX,2017-04-01 02:56,-82.9854,43.7802,34.70,32.40,91.20,20.00,10.00,0.00,29.93,M,10.00,16.00,OVC,M,M,M,800.00,M,M,M,M,KBAX 010256Z AUTO 02010G16KT 10SM OVC008 02/00 A2993 RMK AO2 T00150002
BAX,2017-04-01 03:16,-82.9854,43.7802,34.50,32.20,91.20,10.00,8.00,0.00,29.93,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KBAX 010316Z AUTO 01008KT 10SM OVC008 01/00 A2993 RMK AO2 T00140001
BAX,2017-04-01 03:36,-82.9854,43.7802,34.30,32.40,92.67,20.00,10.00,0.00,29.94,M,10.00,15.00,OVC,M,M,M,800.00,M,M,M,M,KBAX 010336Z AUTO 02010G15KT 10SM OVC008 01/00 A2994 RMK AO2 T00130002
BAX,2017-04-01 03:56,-82.9854,43.7802,34.20,32.40,93.04,20.00,6.00,0.00,29.93,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KBAX 010356Z AUTO 02006KT 10SM OVC008 01/00 A2993 RMK AO2 T00120002
BAX,2017-04-01 04:16,-82.9854,43.7802,34.30,32.40,92.67,20.00,8.00,0.00,29.93,M,10.00,14.00,OVC,M,M,M,800.00,M,M,M,M,KBAX 010416Z AUTO 02008G14KT 10SM OVC008 01/00 A2993 RMK AO2 T00130002
BAX,2017-04-01 04:36,-82.9854,43.7802,34.30,32.00,91.19,10.00,7.00,0.00,29.95,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KBAX 010436Z AUTO 01007KT 10SM OVC010 01/00 A2995 RMK AO2 T00130000
BAX,2017-04-01 04:56,-82.9854,43.7802,34.30,32.00,91.19,10.00,7.00,0.00,29.96,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KBAX 010456Z AUTO 01007KT 10SM OVC010 01/00 A2996 RMK AO2 T00130000
BAX,2017-04-01 05:17,-82.9854,43.7802,34.30,32.00,91.19,360.00,8.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KBAX 010517Z AUTO 36008KT 10SM OVC010 01/00 A2997 RMK AO2 T00130000
BAX,2017-04-01 05:36,-82.9854,43.7802,34.30,32.20,91.93,10.00,5.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KBAX 010536Z AUTO 01005KT 10SM OVC010 01/00 A2997 RMK AO2 T00130001
BAX,2017-04-01 05:56,-82.9854,43.7802,34.70,32.00,89.75,10.00,6.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KBAX 010556Z AUTO 01006KT 10SM OVC010 02/00 A2997 RMK AO2 T00150000 10015 20012 400250010
BAX,2017-04-01 06:17,-82.9854,43.7802,34.30,32.00,91.19,360.00,8.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KBAX 010617Z AUTO 36008KT 10SM OVC012 01/00 A2997 RMK AO2 T00130000
BAX,2017-04-01 06:36,-82.9854,43.7802,34.30,32.00,91.19,360.00,7.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KBAX 010636Z AUTO 36007KT 10SM OVC012 01/00 A2998 RMK AO2 T00130000
BAX,2017-04-01 06:56,-82.9854,43.7802,34.30,32.00,91.19,350.00,7.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KBAX 010656Z AUTO 35007KT 10SM OVC012 01/00 A2998 RMK AO2 T00130000
BAX,2017-04-01 07:16,-82.9854,43.7802,34.20,32.00,91.55,350.00,7.00,0.00,29.99,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KBAX 010716Z AUTO 35007KT 10SM OVC012 01/00 A2999 RMK AO2 T00120000
BAX,2017-04-01 07:36,-82.9854,43.7802,33.80,32.00,93.03,350.00,6.00,0.00,29.99,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBAX 010736Z AUTO 35006KT 10SM OVC016 01/00 A2999 RMK AO2 T00100000
BAX,2017-04-01 07:56,-82.9854,43.7802,33.30,32.00,94.91,350.00,6.00,0.00,30.00,M,10.00,M,BKN,M,M,M,1400.00,M,M,M,M,KBAX 010756Z AUTO 35006KT 10SM BKN014 01/00 A3000 RMK AO2 T00070000
BAX,2017-04-01 08:16,-82.9854,43.7802,32.40,31.50,96.44,350.00,5.00,0.00,30.00,M,10.00,M,SCT,SCT,M,M,1200.00,1800.00,M,M,M,KBAX 010816Z AUTO 35005KT 10SM SCT012 SCT018 00/00 A3000 RMK AO2 T00021003
BAX,2017-04-01 08:36,-82.9854,43.7802,32.00,31.10,96.43,340.00,5.00,0.00,30.01,M,10.00,M,SCT,M,M,M,1700.00,M,M,M,M,KBAX 010836Z AUTO 34005KT 10SM SCT017 00/00 A3001 RMK AO2 T00001005
BAX,2017-04-01 08:56,-82.9854,43.7802,31.60,30.70,96.42,330.00,6.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 010856Z AUTO 33006KT 10SM CLR 00/M01 A3003 RMK AO2 T10021007
BAX,2017-04-01 09:16,-82.9854,43.7802,31.50,30.60,96.42,320.00,5.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 010916Z AUTO 32005KT 10SM CLR 00/M01 A3004 RMK AO2 T10031008
BAX,2017-04-01 09:36,-82.9854,43.7802,30.90,30.00,96.41,350.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 010936Z AUTO 35004KT 10SM CLR M01/M01 A3004 RMK AO2 T10061011
BAX,2017-04-01 09:56,-82.9854,43.7802,30.20,29.30,96.40,330.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 010956Z AUTO 33004KT 10SM CLR M01/M01 A3004 RMK AO2 T10101015
BAX,2017-04-01 10:16,-82.9854,43.7802,29.80,29.10,97.19,330.00,3.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011016Z AUTO 33003KT 10SM CLR M01/M02 A3005 RMK AO2 T10121016
BAX,2017-04-01 10:36,-82.9854,43.7802,30.20,29.30,96.40,310.00,4.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011036Z AUTO 31004KT 10SM CLR M01/M01 A3007 RMK AO2 T10101015
BAX,2017-04-01 10:56,-82.9854,43.7802,29.30,28.40,96.39,310.00,4.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011056Z AUTO 31004KT 10SM CLR M01/M02 A3008 RMK AO2 T10151020
BAX,2017-04-01 11:16,-82.9854,43.7802,30.20,29.30,96.40,330.00,5.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011116Z AUTO 33005KT 10SM CLR M01/M01 A3010 RMK AO2 T10101015
BAX,2017-04-01 11:36,-82.9854,43.7802,31.30,30.40,96.42,330.00,5.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011136Z AUTO 33005KT 10SM CLR 00/M01 A3010 RMK AO2 T10041009
BAX,2017-04-01 11:56,-82.9854,43.7802,32.00,30.70,94.88,350.00,5.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011156Z AUTO 35005KT 10SM CLR 00/M01 A3011 RMK AO2 T00001007 10015 21015
BAX,2017-04-01 12:16,-82.9854,43.7802,32.70,31.50,95.28,350.00,4.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011216Z AUTO 35004KT 10SM CLR 00/00 A3011 RMK AO2 T00041003
BAX,2017-04-01 12:36,-82.9854,43.7802,33.80,31.80,92.28,350.00,5.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011236Z AUTO 35005KT 10SM CLR 01/00 A3011 RMK AO2 T00101001
BAX,2017-04-01 12:56,-82.9854,43.7802,35.10,32.00,88.33,340.00,5.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011256Z AUTO 34005KT 10SM CLR 02/00 A3012 RMK AO2 T00170000
BAX,2017-04-01 13:16,-82.9854,43.7802,36.30,32.00,84.23,350.00,6.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011316Z AUTO 35006KT 10SM CLR 02/00 A3012 RMK AO2 T00240000
BAX,2017-04-01 13:36,-82.9854,43.7802,37.40,32.20,81.30,350.00,7.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011336Z AUTO 35007KT 10SM CLR 03/00 A3012 RMK AO2 T00300001
BAX,2017-04-01 13:57,-82.9854,43.7802,39.20,32.20,75.77,340.00,7.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011357Z AUTO 34007KT 10SM CLR 04/00 A3012 RMK AO2 T00400001
BAX,2017-04-01 14:16,-82.9854,43.7802,39.70,32.00,73.71,360.00,8.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011416Z AUTO 36008KT 10SM CLR 04/00 A3013 RMK AO2 T00430000
BAX,2017-04-01 14:36,-82.9854,43.7802,41.00,31.50,68.68,350.00,8.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011436Z AUTO 35008KT 10SM CLR 05/00 A3014 RMK AO2 T00501003
BAX,2017-04-01 14:57,-82.9854,43.7802,42.60,31.50,64.57,340.00,6.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011457Z AUTO 34006KT 10SM CLR 06/00 A3014 RMK AO2 T00591003
BAX,2017-04-01 15:16,-82.9854,43.7802,43.20,31.30,62.59,350.00,5.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBAX 011516Z AUTO 35005KT 10SM CLR 06/00 A3013 RMK AO2 T00621004
