#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BBG,2017-04-01 00:51,-93.2005,36.5321,51.80,44.60,76.34,350.00,4.00,0.00,29.95,M,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,KBBG 010051Z 35004KT 10SM SCT250 11/07 A2995
BBG,2017-04-01 01:48,-93.2005,36.5321,50.00,44.60,81.61,20.00,3.00,0.00,29.98,M,10.00,M,SCT,M,M,M,25000.00,M,M,M,M,KBBG 010148Z 02003KT 10SM SCT250 10/07 A2998
BBG,2017-04-01 04:15,-93.2005,36.5321,46.40,42.80,87.19,70.00,4.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBBG 010415Z AUTO 07004KT 10SM CLR 08/06 A3003 RMK AO2
BBG,2017-04-01 04:55,-93.2005,36.5321,44.60,42.80,93.35,80.00,4.00,0.00,30.04,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KBBG 010455Z AUTO 08004KT 10SM OVC043 07/06 A3004 RMK AO2
BBG,2017-04-01 05:15,-93.2005,36.5321,44.60,41.00,87.09,0.00,0.00,0.00,30.04,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KBBG 010515Z AUTO 00000KT 10SM OVC045 07/05 A3004 RMK AO2
BBG,2017-04-01 05:35,-93.2005,36.5321,44.60,41.00,87.09,0.00,0.00,0.00,30.05,M,10.00,M,OVC,M,M,M,4700.00,M,M,M,M,KBBG 010535Z AUTO 00000KT 10SM OVC047 07/05 A3005 RMK AO2
BBG,2017-04-01 05:55,-93.2005,36.5321,44.60,41.00,87.09,0.00,0.00,0.00,30.06,M,10.00,M,OVC,M,M,M,4900.00,M,M,M,M,KBBG 010555Z AUTO 00000KT 10SM OVC049 07/05 A3006 RMK AO2
BBG,2017-04-01 06:15,-93.2005,36.5321,44.60,41.00,87.09,80.00,4.00,0.00,30.06,M,10.00,M,BKN,M,M,M,4900.00,M,M,M,M,KBBG 010615Z AUTO 08004KT 10SM BKN049 07/05 A3006 RMK AO2
BBG,2017-04-01 06:35,-93.2005,36.5321,44.60,41.00,87.09,0.00,0.00,0.00,30.06,M,10.00,M,FEW,M,M,M,4500.00,M,M,M,M,KBBG 010635Z AUTO 00000KT 10SM FEW045 07/05 A3006 RMK AO2
BBG,2017-04-01 06:55,-93.2005,36.5321,44.60,41.00,87.09,90.00,5.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBBG 010655Z AUTO 09005KT 10SM CLR 07/05 A3006 RMK AO2
