#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BBW,2017-04-01 00:00,-99.6385,41.4365,M,M,M,60.00,6.00,M,30.04,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KBBW 010000Z AUTO 06006KT 10SM OVC028 A3004 RMK MADISHF
BBW,2017-04-01 00:05,-99.6385,41.4365,M,M,M,70.00,6.00,M,30.04,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KBBW 010005Z AUTO 07006KT 10SM OVC028 A3004 RMK MADISHF
BBW,2017-04-01 00:10,-99.6385,41.4365,M,M,M,50.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KBBW 010010Z AUTO 05006KT 10SM OVC030 A3005 RMK MADISHF
BBW,2017-04-01 00:13,-99.6385,41.4365,46.00,36.00,67.90,50.00,6.00,0.00,30.05,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KBBW 010013Z AUTO 05006KT 10SM OVC030 08/02 A3005 RMK AO2 T00780022
BBW,2017-04-01 00:15,-99.6385,41.4365,M,M,M,50.00,5.00,M,30.05,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KBBW 010015Z AUTO 05005KT 10SM OVC030 A3005 RMK MADISHF
BBW,2017-04-01 00:20,-99.6385,41.4365,M,M,M,60.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KBBW 010020Z AUTO 06007KT 10SM OVC032 A3005 RMK MADISHF
BBW,2017-04-01 00:25,-99.6385,41.4365,M,M,M,50.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KBBW 010025Z AUTO 05006KT 10SM OVC032 A3005 RMK MADISHF
BBW,2017-04-01 00:30,-99.6385,41.4365,M,M,M,50.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KBBW 010030Z AUTO 05006KT 10SM OVC032 A3005 RMK MADISHF
BBW,2017-04-01 00:35,-99.6385,41.4365,M,M,M,50.00,5.00,M,30.05,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KBBW 010035Z AUTO 05005KT 10SM OVC032 A3005 RMK MADISHF
BBW,2017-04-01 00:40,-99.6385,41.4365,M,M,M,50.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KBBW 010040Z AUTO 05006KT 10SM OVC032 A3005 RMK MADISHF
BBW,2017-04-01 00:45,-99.6385,41.4365,M,M,M,50.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KBBW 010045Z AUTO 05006KT 10SM OVC032 A3005 RMK MADISHF
BBW,2017-04-01 00:50,-99.6385,41.4365,M,M,M,50.00,5.00,M,30.05,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KBBW 010050Z AUTO 05005KT 10SM OVC032 A3005 RMK MADISHF
BBW,2017-04-01 00:53,-99.6385,41.4365,46.00,36.00,67.90,50.00,5.00,0.00,30.05,1018.50,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KBBW 010053Z AUTO 05005KT 10SM OVC030 08/02 A3005 RMK AO2 SLP185 T00780022
BBW,2017-04-01 00:55,-99.6385,41.4365,M,M,M,50.00,5.00,M,30.05,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KBBW 010055Z AUTO 05005KT 10SM OVC030 A3005 RMK MADISHF
BBW,2017-04-01 01:00,-99.6385,41.4365,M,M,M,50.00,5.00,M,30.05,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KBBW 010100Z AUTO 05005KT 10SM OVC030 A3005 RMK MADISHF
BBW,2017-04-01 01:05,-99.6385,41.4365,M,M,M,40.00,5.00,M,30.05,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KBBW 010105Z AUTO 04005KT 10SM OVC028 A3005 RMK MADISHF
BBW,2017-04-01 01:07,-99.6385,41.4365,46.00,36.00,67.90,30.00,5.00,0.00,30.05,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KBBW 010107Z AUTO 03005KT 10SM OVC028 08/02 A3005 RMK AO2 T00780022
BBW,2017-04-01 01:10,-99.6385,41.4365,M,M,M,30.00,5.00,M,30.05,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KBBW 010110Z AUTO 03005KT 10SM OVC028 A3005 RMK MADISHF
BBW,2017-04-01 01:15,-99.6385,41.4365,M,M,M,30.00,3.00,M,30.05,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KBBW 010115Z AUTO 03003KT 10SM OVC028 A3005 RMK MADISHF
BBW,2017-04-01 01:20,-99.6385,41.4365,M,M,M,20.00,3.00,M,30.06,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KBBW 010120Z AUTO 02003KT 10SM OVC027 A3006 RMK MADISHF
