#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BCE,2017-04-01 00:00,-112.1456,37.7064,M,M,M,140.00,10.00,M,M,M,10.00,M,SCT,BKN,OVC,M,3999.00,5000.00,7999.00,M,M,KBCE 010000Z AUTO 14010KT 10SM SCT039 BKN050 OVC079 RMK MADISHF
BCE,2017-04-01 00:05,-112.1456,37.7064,M,M,M,150.00,11.00,M,M,M,10.00,M,SCT,BKN,OVC,M,3600.00,4300.00,7000.00,M,M,KBCE 010005Z AUTO 15011KT 10SM SCT036 BKN043 OVC070 RMK MADISHF
BCE,2017-04-01 00:10,-112.1456,37.7064,M,M,M,140.00,10.00,M,M,M,10.00,M,FEW,BKN,OVC,M,1800.00,4300.00,5500.00,M,M,KBCE 010010Z AUTO 14010KT 10SM FEW018 BKN043 OVC055 RMK MADISHF
BCE,2017-04-01 00:15,-112.1456,37.7064,M,M,M,150.00,10.00,M,M,M,10.00,M,SCT,BKN,OVC,M,1999.00,3900.00,5500.00,M,M,KBCE 010015Z AUTO 15010KT 10SM SCT019 BKN039 OVC055 RMK MADISHF
BCE,2017-04-01 00:20,-112.1456,37.7064,M,M,M,160.00,10.00,M,M,M,10.00,M,BKN,BKN,OVC,M,1800.00,3600.00,5000.00,M,M,KBCE 010020Z AUTO 16010KT 10SM BKN018 BKN036 OVC050 RMK MADISHF
BCE,2017-04-01 00:24,-112.1456,37.7064,36.00,30.90,81.53,150.00,10.00,0.00,29.76,M,10.00,M,BKN,BKN,OVC,M,1800.00,3600.00,4300.00,M,M,KBCE 010024Z AUTO 15010KT 10SM BKN018 BKN036 OVC043 02/M01 A2976 RMK AO2 T00221006
BCE,2017-04-01 00:25,-112.1456,37.7064,M,M,M,140.00,10.00,M,M,M,10.00,M,BKN,BKN,OVC,M,1800.00,3600.00,4800.00,M,M,KBCE 010025Z AUTO 14010KT 10SM BKN018 BKN036 OVC048 RMK MADISHF
BCE,2017-04-01 00:30,-112.1456,37.7064,M,M,M,150.00,9.00,M,29.76,M,10.00,M,BKN,BKN,OVC,M,1800.00,3500.00,4800.00,M,M,KBCE 010030Z AUTO 15009KT 10SM BKN018 BKN035 OVC048 A2976 RMK MADISHF
BCE,2017-04-01 00:35,-112.1456,37.7064,M,M,M,140.00,8.00,M,M,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KBCE 010035Z AUTO 14008KT 10SM OVC018 RMK MADISHF
BCE,2017-04-01 00:40,-112.1456,37.7064,M,M,M,140.00,8.00,M,M,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KBCE 010040Z AUTO 14008KT 10SM OVC018 RMK MADISHF
BCE,2017-04-01 00:45,-112.1456,37.7064,M,M,M,140.00,8.00,M,M,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KBCE 010045Z AUTO 14008KT 10SM OVC018 RMK MADISHF
BCE,2017-04-01 00:50,-112.1456,37.7064,M,M,M,140.00,8.00,M,29.78,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,-SN,KBCE 010050Z AUTO 14008KT 10SM -SN OVC018 A2978 RMK MADISHF
