#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BCK,2017-04-01 00:15,-90.8553,44.2507,54.50,15.60,21.23,40.00,6.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010015Z AUTO 04006KT 10SM CLR 13/M09 A2999 RMK AO2 T01251091
BCK,2017-04-01 00:35,-90.8553,44.2507,48.70,17.60,28.68,0.00,0.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010035Z AUTO 00000KT 10SM CLR 09/M08 A3000 RMK AO2 T00931080
BCK,2017-04-01 00:55,-90.8553,44.2507,42.30,19.60,39.85,0.00,0.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010055Z AUTO 00000KT 10SM CLR 06/M07 A3001 RMK AO2 T00571069
BCK,2017-04-01 01:15,-90.8553,44.2507,38.50,21.40,49.85,0.00,0.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010115Z AUTO 00000KT 10SM CLR 04/M06 A3001 RMK AO2 T00361059
BCK,2017-04-01 01:35,-90.8553,44.2507,36.70,24.10,59.94,0.00,0.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010135Z AUTO 00000KT 10SM CLR 03/M04 A3001 RMK AO2 T00261044
BCK,2017-04-01 01:55,-90.8553,44.2507,34.70,23.70,63.81,0.00,0.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010155Z AUTO 00000KT 10SM CLR 02/M05 A3002 RMK AO2 T00151046
BCK,2017-04-01 02:15,-90.8553,44.2507,32.20,24.30,72.32,0.00,0.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010215Z AUTO 00000KT 10SM CLR 00/M04 A3003 RMK AO2 T00011043
BCK,2017-04-01 02:35,-90.8553,44.2507,31.80,24.30,73.50,0.00,0.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010235Z AUTO 00000KT 10SM CLR 00/M04 A3004 RMK AO2 T10011043
BCK,2017-04-01 02:55,-90.8553,44.2507,30.00,23.70,77.10,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010255Z AUTO 00000KT 10SM CLR M01/M05 A3005 RMK AO2 T10111046
BCK,2017-04-01 03:15,-90.8553,44.2507,28.60,23.50,80.95,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010315Z AUTO 00000KT 10SM CLR M02/M05 A3006 RMK AO2 T10191047
BCK,2017-04-01 03:35,-90.8553,44.2507,28.60,23.20,79.94,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010335Z AUTO 00000KT 10SM CLR M02/M05 A3006 RMK AO2 T10191049
BCK,2017-04-01 03:55,-90.8553,44.2507,29.10,22.50,76.05,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010355Z AUTO 00000KT 10SM CLR M02/M05 A3006 RMK AO2 T10161053
BCK,2017-04-01 04:15,-90.8553,44.2507,27.70,22.80,81.56,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBCK 010415Z AUTO 00000KT 10SM CLR M02/M05 A3007 RMK AO2 T10241051
