#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BDG,2017-04-01 00:15,-109.4831,37.5828,34.50,34.00,98.02,110.00,10.00,0.00,29.85,M,10.00,M,BKN,OVC,M,M,700.00,1400.00,M,M,M,KBDG 010015Z AUTO 11010KT 10SM BKN007 OVC014 01/01 A2985 RMK AO1 T00140011
BDG,2017-04-01 00:35,-109.4831,37.5828,33.80,33.80,100.00,120.00,7.00,0.00,29.85,M,7.00,M,BKN,BKN,OVC,M,400.00,700.00,1400.00,M,M,KBDG 010035Z AUTO 12007KT 7SM BKN004 BKN007 OVC014 01/01 A2985 RMK AO1 T00100010
BDG,2017-04-01 00:55,-109.4831,37.5828,33.80,33.80,100.00,110.00,5.00,0.00,29.85,M,10.00,M,BKN,OVC,M,M,400.00,4000.00,M,M,M,KBDG 010055Z AUTO 11005KT 10SM BKN004 OVC040 01/01 A2985 RMK AO1 T00100010
BDG,2017-04-01 01:15,-109.4831,37.5828,33.80,33.60,99.20,0.00,0.00,0.00,29.86,M,10.00,M,BKN,OVC,M,M,400.00,900.00,M,M,M,KBDG 010115Z AUTO 00000KT 10SM BKN004 OVC009 01/01 A2986 RMK AO1 T00100009
BDG,2017-04-01 01:35,-109.4831,37.5828,34.00,33.80,99.20,110.00,5.00,0.00,29.88,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KBDG 010135Z AUTO 11005KT 10SM OVC008 01/01 A2988 RMK AO1 T00110010
BDG,2017-04-01 01:55,-109.4831,37.5828,34.00,33.80,99.20,100.00,5.00,0.00,29.88,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KBDG 010155Z AUTO 10005KT 10SM OVC009 01/01 A2988 RMK AO1 T00110010
BDG,2017-04-01 02:15,-109.4831,37.5828,34.00,33.80,99.20,90.00,4.00,0.00,29.90,M,10.00,M,BKN,OVC,M,M,800.00,1200.00,M,M,M,KBDG 010215Z AUTO 09004KT 10SM BKN008 OVC012 01/01 A2990 RMK AO1 T00110010
BDG,2017-04-01 02:35,-109.4831,37.5828,33.80,33.10,97.24,0.00,0.00,0.00,29.90,M,10.00,M,SCT,BKN,M,M,600.00,1200.00,M,M,M,KBDG 010235Z AUTO 00000KT 10SM SCT006 BKN012 01/01 A2990 RMK AO1 T00100006
BDG,2017-04-01 02:55,-109.4831,37.5828,32.90,32.90,100.00,60.00,3.00,0.00,29.92,M,10.00,M,SCT,SCT,M,M,600.00,1000.00,M,M,M,KBDG 010255Z AUTO 06003KT 10SM SCT006 SCT010 01/01 A2992 RMK AO1 T00050005
BDG,2017-04-01 03:15,-109.4831,37.5828,32.20,32.20,100.00,10.00,3.00,0.00,29.93,M,10.00,M,SCT,M,M,M,600.00,M,M,M,M,KBDG 010315Z AUTO 01003KT 10SM SCT006 00/00 A2993 RMK AO1 T00010001
BDG,2017-04-01 03:35,-109.4831,37.5828,32.00,32.00,100.00,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 010335Z AUTO 00000KT 10SM CLR 00/00 A2992 RMK AO1 T00000000
BDG,2017-04-01 03:55,-109.4831,37.5828,31.60,31.60,100.00,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 010355Z AUTO 00000KT 10SM CLR 00/00 A2994 RMK AO1 T10021002
BDG,2017-04-01 04:15,-109.4831,37.5828,32.00,32.00,100.00,360.00,3.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 010415Z AUTO 36003KT 10SM CLR 00/00 A2995 RMK AO1 T00000000
BDG,2017-04-01 04:35,-109.4831,37.5828,32.00,32.00,100.00,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 010435Z AUTO 00000KT 10SM CLR 00/00 A2995 RMK AO1 T00000000
BDG,2017-04-01 04:55,-109.4831,37.5828,31.80,31.80,100.00,360.00,4.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 010455Z AUTO 36004KT 10SM CLR 00/00 A2995 RMK AO1 T10011001
BDG,2017-04-01 05:15,-109.4831,37.5828,32.00,31.50,98.00,10.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 010515Z AUTO 01005KT 10SM CLR 00/00 A2996 RMK AO1 T00001003
BDG,2017-04-01 05:35,-109.4831,37.5828,32.00,31.60,98.40,10.00,6.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 010535Z AUTO 01006KT 10SM CLR 00/00 A2996 RMK AO1 T00001002
BDG,2017-04-01 05:55,-109.4831,37.5828,32.00,31.60,98.40,360.00,3.00,0.00,29.96,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KBDG 010555Z AUTO 36003KT 10SM BKN110 00/00 A2996 RMK AO1 T00001002 10018 21003
BDG,2017-04-01 06:15,-109.4831,37.5828,32.00,31.80,99.20,10.00,3.00,0.00,29.97,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KBDG 010615Z AUTO 01003KT 10SM OVC110 00/00 A2997 RMK AO1 T00001001
BDG,2017-04-01 06:35,-109.4831,37.5828,32.00,31.80,99.20,0.00,0.00,0.00,29.98,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KBDG 010635Z AUTO 00000KT 10SM OVC110 00/00 A2998 RMK AO1 T00001001
BDG,2017-04-01 06:55,-109.4831,37.5828,32.00,31.80,99.20,360.00,4.00,0.00,29.98,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,KBDG 010655Z AUTO 36004KT 10SM OVC120 00/00 A2998 RMK AO1 T00001001 401081003
BDG,2017-04-01 07:15,-109.4831,37.5828,32.40,31.80,97.61,10.00,3.00,0.00,29.98,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,KBDG 010715Z AUTO 01003KT 10SM OVC120 00/00 A2998 RMK AO1 T00021001
BDG,2017-04-01 07:35,-109.4831,37.5828,32.00,31.50,98.00,20.00,6.00,0.00,29.98,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,KBDG 010735Z AUTO 02006KT 10SM OVC120 00/00 A2998 RMK AO1 T00001003
BDG,2017-04-01 07:55,-109.4831,37.5828,32.00,30.90,95.65,20.00,5.00,0.00,29.98,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KBDG 010755Z AUTO 02005KT 10SM SCT120 00/M01 A2998 RMK AO1 T00001006
BDG,2017-04-01 08:15,-109.4831,37.5828,32.00,30.70,94.88,10.00,5.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 010815Z AUTO 01005KT 10SM CLR 00/M01 A2998 RMK AO1 T00001007
BDG,2017-04-01 08:35,-109.4831,37.5828,32.00,31.10,96.43,0.00,0.00,0.00,29.98,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,KBDG 010835Z AUTO 00000KT 10SM BKN120 00/00 A2998 RMK AO1 T00001005
BDG,2017-04-01 08:55,-109.4831,37.5828,32.00,31.10,96.43,20.00,3.00,0.00,29.98,M,10.00,M,BKN,M,M,M,12000.00,M,M,M,M,KBDG 010855Z AUTO 02003KT 10SM BKN120 00/00 A2998 RMK AO1 T00001005
BDG,2017-04-01 09:15,-109.4831,37.5828,32.50,31.30,95.28,0.00,0.00,0.00,29.98,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KBDG 010915Z AUTO 00000KT 10SM OVC110 00/00 A2998 RMK AO1 T00031004
BDG,2017-04-01 09:35,-109.4831,37.5828,32.00,31.30,97.21,0.00,0.00,0.00,29.98,M,10.00,M,OVC,M,M,M,12000.00,M,M,M,M,KBDG 010935Z AUTO 00000KT 10SM OVC120 00/00 A2998 RMK AO1 T00001004
BDG,2017-04-01 09:55,-109.4831,37.5828,32.00,31.30,97.21,0.00,0.00,0.00,29.98,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KBDG 010955Z AUTO 00000KT 10SM SCT120 00/00 A2998 RMK AO1 T00001004
BDG,2017-04-01 10:15,-109.4831,37.5828,32.00,31.30,97.21,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011015Z AUTO 00000KT 10SM CLR 00/00 A2999 RMK AO1 T00001004
BDG,2017-04-01 10:35,-109.4831,37.5828,32.00,31.50,98.00,0.00,0.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011035Z AUTO 00000KT 10SM CLR 00/00 A3000 RMK AO1 T00001003
BDG,2017-04-01 10:55,-109.4831,37.5828,32.00,31.30,97.21,0.00,0.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011055Z AUTO 00000KT 10SM CLR 00/00 A3000 RMK AO1 T00001004
BDG,2017-04-01 11:15,-109.4831,37.5828,32.00,30.00,92.22,10.00,3.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011115Z AUTO 01003KT 10SM CLR 00/M01 A3000 RMK AO1 T00001011
BDG,2017-04-01 11:35,-109.4831,37.5828,31.80,29.10,89.62,20.00,7.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011135Z AUTO 02007KT 10SM CLR 00/M02 A3000 RMK AO1 T10011016
BDG,2017-04-01 11:55,-109.4831,37.5828,31.30,28.80,90.33,30.00,7.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011155Z AUTO 03007KT 10SM CLR 00/M02 A3001 RMK AO1 T10041018 10005 21004
BDG,2017-04-01 12:15,-109.4831,37.5828,31.10,28.60,90.32,30.00,7.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011215Z AUTO 03007KT 10SM CLR 00/M02 A3002 RMK AO1 T10051019
BDG,2017-04-01 12:35,-109.4831,37.5828,30.90,28.40,90.31,30.00,8.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011235Z AUTO 03008KT 10SM CLR M01/M02 A3003 RMK AO1 T10061020
BDG,2017-04-01 12:55,-109.4831,37.5828,32.00,29.10,88.90,40.00,9.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011255Z AUTO 04009KT 10SM CLR 00/M02 A3004 RMK AO1 T00001016
BDG,2017-04-01 13:15,-109.4831,37.5828,30.90,28.60,91.06,30.00,5.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011315Z AUTO 03005KT 10SM CLR M01/M02 A3004 RMK AO1 T10061019
BDG,2017-04-01 13:35,-109.4831,37.5828,29.80,28.40,94.44,10.00,5.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011335Z AUTO 01005KT 10SM CLR M01/M02 A3004 RMK AO1 T10121020
BDG,2017-04-01 13:55,-109.4831,37.5828,29.50,28.20,94.82,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011355Z AUTO 00000KT 10SM CLR M01/M02 A3006 RMK AO1 T10141021
BDG,2017-04-01 14:15,-109.4831,37.5828,30.60,28.90,93.31,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011415Z AUTO 00000KT 10SM CLR M01/M02 A3006 RMK AO1 T10081017
BDG,2017-04-01 14:35,-109.4831,37.5828,30.70,28.80,92.55,30.00,4.00,0.00,30.06,M,10.00,M,SCT,M,M,M,7500.00,M,M,M,M,KBDG 011435Z AUTO 03004KT 10SM SCT075 M01/M02 A3006 RMK AO1 T10071018
BDG,2017-04-01 14:55,-109.4831,37.5828,32.00,30.00,92.22,0.00,0.00,0.00,30.06,M,10.00,M,SCT,SCT,M,M,7500.00,12000.00,M,M,M,KBDG 011455Z AUTO 00000KT 10SM SCT075 SCT120 00/M01 A3006 RMK AO1 T00001011
BDG,2017-04-01 15:15,-109.4831,37.5828,32.40,30.90,94.12,350.00,3.00,0.00,30.07,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KBDG 011515Z AUTO 35003KT 10SM SCT120 00/M01 A3007 RMK AO1 T00021006
BDG,2017-04-01 15:35,-109.4831,37.5828,34.70,31.80,89.03,0.00,0.00,0.00,30.07,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KBDG 011535Z AUTO 00000KT 10SM SCT120 02/00 A3007 RMK AO1 T00151001
BDG,2017-04-01 15:55,-109.4831,37.5828,37.20,32.90,84.28,250.00,4.00,0.00,30.07,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KBDG 011555Z AUTO 25004KT 10SM SCT120 03/01 A3007 RMK AO1 T00290005
BDG,2017-04-01 16:15,-109.4831,37.5828,40.10,34.30,79.58,0.00,0.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011615Z AUTO 00000KT 10SM CLR 05/01 A3008 RMK AO1 T00450013
BDG,2017-04-01 16:35,-109.4831,37.5828,42.10,32.40,68.26,340.00,3.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011635Z AUTO 34003KT 10SM CLR 06/00 A3009 RMK AO1 T00560002
BDG,2017-04-01 16:55,-109.4831,37.5828,43.20,30.20,59.86,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011655Z AUTO 00000KT 10SM CLR 06/M01 A3009 RMK AO1 T00621010
BDG,2017-04-01 17:15,-109.4831,37.5828,44.20,30.70,58.80,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011715Z AUTO 00000KT 10SM CLR 07/M01 A3009 RMK AO1 T00681007
BDG,2017-04-01 17:35,-109.4831,37.5828,45.00,31.60,59.15,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011735Z AUTO 00000KT 10SM CLR 07/00 A3009 RMK AO1 T00721002
BDG,2017-04-01 17:55,-109.4831,37.5828,45.90,31.30,56.47,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011755Z AUTO 00000KT 10SM CLR 08/00 A3009 RMK AO1 T00771004 10077 21015
BDG,2017-04-01 18:15,-109.4831,37.5828,47.10,31.30,53.97,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011815Z AUTO 00000KT 10SM CLR 08/00 A3009 RMK AO1 T00841004
BDG,2017-04-01 18:35,-109.4831,37.5828,48.60,32.40,53.33,330.00,3.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBDG 011835Z AUTO 33003KT 10SM CLR 09/00 A3008 RMK AO1 T00920002
BDG,2017-04-01 18:55,-109.4831,37.5828,48.90,31.60,51.06,120.00,5.00,0.00,30.08,M,10.00,M,SCT,SCT,SCT,M,4700.00,5000.00,8000.00,M,M,KBDG 011855Z AUTO 12005KT 10SM SCT047 SCT050 SCT080 09/00 A3008 RMK AO1 T00941002
BDG,2017-04-01 19:15,-109.4831,37.5828,49.50,31.80,50.33,0.00,0.00,0.00,30.08,M,10.00,M,SCT,BKN,OVC,M,4200.00,4800.00,5000.00,M,M,KBDG 011915Z AUTO 00000KT 10SM SCT042 BKN048 OVC050 10/00 A3008 RMK AO1 T00971001
BDG,2017-04-01 19:35,-109.4831,37.5828,49.60,32.20,50.96,0.00,0.00,0.00,30.07,M,10.00,M,BKN,OVC,M,M,4400.00,6000.00,M,M,M,KBDG 011935Z AUTO 00000KT 10SM BKN044 OVC060 10/00 A3007 RMK AO1 T00980001
BDG,2017-04-01 19:55,-109.4831,37.5828,49.30,30.70,48.50,260.00,4.00,0.00,30.07,M,10.00,M,BKN,OVC,M,M,4600.00,5500.00,M,M,M,KBDG 011955Z AUTO 26004KT 10SM BKN046 OVC055 10/M01 A3007 RMK AO1 T00961007
BDG,2017-04-01 20:15,-109.4831,37.5828,49.30,33.30,53.86,330.00,3.00,0.00,30.06,M,10.00,M,BKN,OVC,M,M,4600.00,5500.00,M,M,M,KBDG 012015Z AUTO 33003KT 10SM BKN046 OVC055 10/01 A3006 RMK AO1 T00960007
BDG,2017-04-01 20:35,-109.4831,37.5828,51.10,31.30,46.48,60.00,4.00,0.00,30.06,M,10.00,M,SCT,BKN,OVC,M,4400.00,5500.00,7500.00,M,M,KBDG 012035Z AUTO 06004KT 10SM SCT044 BKN055 OVC075 11/00 A3006 RMK AO1 T01061004
BDG,2017-04-01 20:55,-109.4831,37.5828,50.40,31.50,48.09,30.00,3.00,0.00,30.06,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBDG 012055Z AUTO 03003KT 10SM OVC065 10/00 A3006 RMK AO1 T01021003
BDG,2017-04-01 21:15,-109.4831,37.5828,50.50,31.30,47.53,0.00,0.00,0.00,30.06,M,10.00,M,SCT,OVC,M,M,4900.00,6000.00,M,M,M,KBDG 012115Z AUTO 00000KT 10SM SCT049 OVC060 10/00 A3006 RMK AO1 T01031004
BDG,2017-04-01 21:35,-109.4831,37.5828,52.30,32.70,47.05,280.00,5.00,0.00,30.05,M,10.00,M,SCT,BKN,BKN,M,4700.00,6000.00,8500.00,M,M,KBDG 012135Z AUTO 28005KT 10SM SCT047 BKN060 BKN085 11/00 A3005 RMK AO1 T01130004
BDG,2017-04-01 21:55,-109.4831,37.5828,52.00,31.10,44.60,20.00,4.00,0.00,30.06,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,KBDG 012155Z AUTO 02004KT 10SM OVC085 11/00 A3006 RMK AO1 T01111005
BDG,2017-04-01 22:15,-109.4831,37.5828,50.90,32.50,49.15,320.00,12.00,0.00,30.06,M,10.00,M,SCT,BKN,OVC,M,4600.00,5000.00,8000.00,M,M,KBDG 012215Z AUTO 32012KT 10SM SCT046 BKN050 OVC080 11/00 A3006 RMK AO1 T01050003
BDG,2017-04-01 22:35,-109.4831,37.5828,48.70,36.10,61.58,350.00,4.00,0.00,30.06,M,10.00,M,SCT,SCT,BKN,M,3100.00,4400.00,5000.00,M,M,KBDG 012235Z AUTO 35004KT 10SM SCT031 SCT044 BKN050 09/02 A3006 RMK AO1 T00930023
BDG,2017-04-01 22:55,-109.4831,37.5828,51.10,33.40,50.58,310.00,5.00,0.00,30.06,M,10.00,8.00,SCT,M,M,M,9000.00,M,M,M,M,KBDG 012255Z AUTO 31005G08KT 260V340 10SM SCT090 11/01 A3006 RMK AO1 T01060008
BDG,2017-04-01 23:15,-109.4831,37.5828,52.70,33.80,48.45,300.00,9.00,0.00,30.04,M,10.00,M,SCT,M,M,M,7500.00,M,M,M,M,KBDG 012315Z AUTO 30009KT 10SM SCT075 12/01 A3004 RMK AO1 T01150010
BDG,2017-04-01 23:35,-109.4831,37.5828,52.00,32.20,46.62,310.00,8.00,0.00,30.05,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,KBDG 012335Z AUTO 31008G14KT 10SM CLR 11/00 A3005 RMK AO1 T01110001
BDG,2017-04-01 23:55,-109.4831,37.5828,52.70,31.60,44.35,280.00,7.00,0.00,30.06,M,10.00,M,SCT,BKN,M,M,6000.00,7000.00,M,M,M,KBDG 012355Z AUTO 28007KT 10SM SCT060 BKN070 12/00 A3006 RMK AO1 T01151002 10121 20077
