#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BDR,2017-04-01 00:00,-73.1289,41.1583,M,M,M,M,M,M,29.87,M,5.00,M,OVC,M,M,M,1300.00,M,M,M,-RA BR,KBDR 010000Z AUTO /////KT 5SM -RA BR OVC013 A2987 RMK MADISHF
BDR,2017-04-01 00:05,-73.1289,41.1583,M,M,M,M,M,M,29.86,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010005Z AUTO /////KT 5SM -RA BR OVC011 A2986 RMK MADISHF
BDR,2017-04-01 00:10,-73.1289,41.1583,M,M,M,M,M,0.01,29.86,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010010Z AUTO /////KT 5SM -RA BR OVC011 A2986 RMK P0001 MADISHF
BDR,2017-04-01 00:15,-73.1289,41.1583,M,M,M,M,M,0.01,29.86,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010015Z AUTO /////KT 5SM -RA BR OVC011 A2986 RMK P0001 CIG 8V16  MADISHF
BDR,2017-04-01 00:20,-73.1289,41.1583,M,M,M,M,M,0.01,29.86,M,4.00,M,OVC,M,M,M,1100.00,M,M,M,RA BR,KBDR 010020Z AUTO /////KT 4SM RA BR OVC011 A2986 RMK P0001 MADISHF
BDR,2017-04-01 00:25,-73.1289,41.1583,M,M,M,M,M,0.02,29.85,M,4.00,M,BKN,OVC,M,M,1100.00,1400.00,M,M,RA BR,KBDR 010025Z AUTO /////KT 4SM RA BR BKN011 OVC014 A2985 RMK P0002 MADISHF
BDR,2017-04-01 00:30,-73.1289,41.1583,M,M,M,M,M,0.03,29.85,M,4.00,M,OVC,M,M,M,1400.00,M,M,M,-RA BR,KBDR 010030Z AUTO /////KT 4SM -RA BR OVC014 A2985 RMK P0003 MADISHF
BDR,2017-04-01 00:35,-73.1289,41.1583,M,M,M,M,M,0.03,29.85,M,4.00,M,OVC,M,M,M,1400.00,M,M,M,-RA BR,KBDR 010035Z AUTO /////KT 4SM -RA BR OVC014 A2985 RMK P0003 MADISHF
BDR,2017-04-01 00:40,-73.1289,41.1583,M,M,M,M,M,0.03,29.85,M,4.00,M,OVC,M,M,M,1400.00,M,M,M,RA BR,KBDR 010040Z AUTO /////KT 4SM RA BR OVC014 A2985 RMK P0003 MADISHF
BDR,2017-04-01 00:45,-73.1289,41.1583,M,M,M,M,M,0.04,29.85,M,4.00,M,OVC,M,M,M,1400.00,M,M,M,-RA BR,KBDR 010045Z AUTO /////KT 4SM -RA BR OVC014 A2985 RMK P0004 MADISHF
BDR,2017-04-01 00:50,-73.1289,41.1583,M,M,M,80.00,25.00,0.04,29.85,M,5.00,M,OVC,M,M,M,1400.00,M,M,M,-RA BR,KBDR 010050Z AUTO 08025KT 5SM -RA BR OVC014 A2985 RMK P0004 MADISHF
BDR,2017-04-01 00:52,-73.1289,41.1583,39.00,35.10,85.76,80.00,27.00,0.04,29.85,1010.70,5.00,36.00,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010052Z 08027G36KT 5SM -RA BR OVC011 04/02 A2985 RMK AO2 PK WND 07036/0011 SLP107 P0004 T00390017
BDR,2017-04-01 00:55,-73.1289,41.1583,M,M,M,M,M,M,29.85,M,4.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010055Z AUTO /////KT 4SM -RA BR OVC011 A2985 RMK MADISHF
BDR,2017-04-01 01:00,-73.1289,41.1583,M,M,M,M,M,M,29.84,M,4.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010100Z AUTO /////KT 4SM -RA BR OVC011 A2984 RMK MADISHF
BDR,2017-04-01 01:05,-73.1289,41.1583,M,M,M,M,M,M,29.84,M,4.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KBDR 010105Z AUTO /////KT 4SM -RA OVC012 A2984 RMK MADISHF
BDR,2017-04-01 01:10,-73.1289,41.1583,M,M,M,M,M,M,29.84,M,4.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KBDR 010110Z AUTO /////KT 4SM -RA OVC012 A2984 RMK MADISHF
BDR,2017-04-01 01:15,-73.1289,41.1583,M,M,M,M,M,0.01,29.85,M,4.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KBDR 010115Z AUTO /////KT 4SM -RA OVC012 A2985 RMK P0001 MADISHF
BDR,2017-04-01 01:20,-73.1289,41.1583,M,M,M,M,M,0.01,29.84,M,3.50,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KBDR 010120Z AUTO /////KT 3SM -RA BR OVC012 A2984 RMK P0001 MADISHF
BDR,2017-04-01 01:25,-73.1289,41.1583,M,M,M,M,M,0.02,29.84,M,3.50,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010125Z AUTO /////KT 3SM -RA BR OVC011 A2984 RMK P0002 MADISHF
BDR,2017-04-01 01:30,-73.1289,41.1583,M,M,M,M,M,0.02,29.84,M,4.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010130Z AUTO /////KT 4SM -RA BR OVC011 A2984 RMK P0002 MADISHF
BDR,2017-04-01 01:35,-73.1289,41.1583,M,M,M,M,M,0.02,29.84,M,4.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010135Z AUTO /////KT 4SM -RA BR OVC011 A2984 RMK P0002 MADISHF
BDR,2017-04-01 01:40,-73.1289,41.1583,M,M,M,M,M,0.02,29.84,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010140Z AUTO /////KT 5SM -RA BR OVC011 A2984 RMK P0002 MADISHF
BDR,2017-04-01 01:45,-73.1289,41.1583,M,M,M,M,M,0.02,29.84,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010145Z AUTO /////KT 5SM -RA BR OVC011 A2984 RMK P0002 MADISHF
BDR,2017-04-01 01:50,-73.1289,41.1583,M,M,M,70.00,27.00,0.03,29.84,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010150Z AUTO 07027KT 5SM -RA BR OVC011 A2984 RMK P0003 MADISHF
BDR,2017-04-01 01:52,-73.1289,41.1583,39.00,35.10,85.76,70.00,25.00,0.03,29.83,1010.20,5.00,32.00,OVC,M,M,M,1100.00,M,M,M,-RA BR,KBDR 010152Z 07025G32KT 5SM -RA BR OVC011 04/02 A2983 RMK AO2 PK WND 08037/0110 SLP102 P0003 T00390017
BDR,2017-04-01 01:55,-73.1289,41.1583,M,M,M,M,M,M,29.83,M,5.00,M,BKN,OVC,M,M,900.00,1300.00,M,M,-RA BR,KBDR 010155Z AUTO /////KT 5SM -RA BR BKN009 OVC013 A2983 RMK CIG 8V12  MADISHF
